R,T
8.9002156,25.1370414
8.6350631,23.6337823
8.5529302,23.1403376
8.4747716,22.6566226
8.3940610,22.1414591
8.3183891,21.6425666
8.2457480,21.1479385
8.1758212,20.6564899
8.1083777,20.1661896
8.0451017,19.6909102
7.9836781,19.2144757
7.9244963,18.7395634
7.8675660,18.2678566
7.8134716,17.8053302
7.7611950,17.3423368
7.7101696,16.8763107
7.6609769,16.4133786
7.6129656,15.9464486
7.5671594,15.4878825
7.5218546,15.0207712
7.4781616,14.5576661
7.4345797,14.0843315
7.3919943,13.6100847
7.3502375,13.1344216
7.3062930,12.6251746
7.3063443,12.6258517
7.2665006,12.1563120
7.2263818,11.6777364
7.1866570,11.1991276
7.1498623,10.7540574
7.1452429,10.7004229
7.1052970,10.2188604
7.0656414,9.7439551
7.0516049,9.5771161
7.0602624,9.6801358
