R,Rstd,T,Tstd
6.520679,0.0000635,8.384740,0.0001263
6.558656,0.0000615,4.672167,0.0001875
6.640019,0.0000546,5.331705,0.0001372
6.669758,0.0000556,5.587769,0.0001455
6.698550,0.0000605,5.843525,0.0001905
6.751634,0.0000513,6.335660,0.0001101
6.771563,0.0000566,6.527250,0.0000837
6.793843,0.0000622,6.746045,0.0001497
6.819050,0.0000565,6.999557,0.0000862
6.843437,0.0000522,7.249998,0.0001143
6.866742,0.0000609,7.493969,0.0000943
6.891159,0.0000576,7.755544,0.0000980
6.913118,0.0000601,7.994585,0.0000927
6.936978,0.0000552,8.259603,0.0001094
6.959581,0.0000639,8.513933,0.0001564
6.980737,0.0000595,8.755797,0.0000912
7.003462,0.0000565,9.018023,0.0001109
7.024140,0.0000633,9.257870,0.0000975
7.046919,0.0000599,9.526841,0.0001918
7.066827,0.0000551,9.763889,0.0001643
