R,Rstd,T,Tstd
9.664139352,7.05683E-07,24.55611239,0.00005656
9.544590787,6.7287E-07,23.85923618,0.00003005
9.43282183,5.8672E-07,23.18110764,0.00004895
9.328430145,5.54637E-07,22.52311074,0.00004997
9.328298475,6.12036E-07,22.5219284,0.00002807
9.230705442,6.10616E-07,21.88153048,0.00002907
9.139468806,5.49293E-07,21.25989483,0.00002934
9.018462952,5.17981E-07,20.39511508,0.00002621
8.974328883,5.35326E-07,20.06754425,0.00002736
8.89990168,5.55409E-07,19.49959723,0.00003306
8.830007084,5.55682E-07,18.94641089,0.00002967
8.7641035,5.14595E-07,18.40655544,0.00002656
8.702272327,5.59598E-07,17.88324557,0.00004469
8.644226762,4.89645E-07,17.37562651,0.00004767
8.602590198,5.17859E-07,17.00157265,0.00003298
8.537727915,4.2664E-07,16.40192588,0.00002182
8.48875317,4.8079E-07,15.93546712,0.00004367
8.442390938,3.82759E-07,15.48254601,0.00005397
8.306906215,4.44122E-07,14.09959865,0.00003686
8.278897284,4.85462E-07,13.80353481,0.00002195
8.175558556,2.44814E-06,12.68741326,0.00008816
8.083126019,4.57851E-07,11.66810159,0.00004242
8.039995722,5.17196E-07,11.1905284,0.00005427
7.919561123,4.58365E-07,9.870963954,0.00004353
7.881894256,4.91433E-07,9.467347927,0.00002617
7.80917295,5.61049E-07,8.707871954,0.000077012
7.773907751,5.01543E-07,8.350556102,0.00007974
7.705330372,5.92938E-07,7.678171721,0.00001847
7.671910628,6.5603E-07,7.362734803,0.00002803
7.639064449,5.51201E-07,7.060429727,0.00006314
7.54332694,6.03967E-07,6.22531403,0.00008879
7.512127225,5.89728E-07,5.967898903,0.00004822
