R_original,Residual_original,R_comparison,Residual_comparison
7.05525996,0.00017163,8.90021560,0.00031655
7.06700903,0.00029461,8.63506310,0.00003958
7.08682147,-0.00023532,8.55293020,0.00006342
7.10665091,-0.00029222,8.47477160,0.00003537
7.12674477,0.00068862,8.39406100,0.00009894
7.16937828,0.00054566,8.31838910,0.00008048
7.17675242,-0.00031189,8.24574800,-0.00000980
7.18611045,0.00003675,8.17582120,0.00030958
7.16685962,-0.00024301,8.10837770,0.00015260
7.18736434,0.00029169,8.04510170,0.00005479
7.20703227,0.00008890,7.98367810,0.00024085
7.22753678,-0.00071861,7.92449630,-0.00002528
7.24730282,-0.00044102,7.86756600,0.00019449
7.26762142,0.00000622,7.81347160,0.00097165
7.28747252,0.00012343,7.76119500,0.00034596
7.30747002,0.00045840,7.71016960,0.00025631
7.32850224,-0.00046859,7.66097690,0.00087689
7.34862089,0.00005999,7.61296560,0.00052001
7.36921547,-0.00056765,7.56715940,0.00058381
7.39138715,-0.00025106,7.52185460,0.00039620
7.41287507,0.00027505,7.47816160,-0.00030576
7.43362567,0.00029565,7.43457970,-0.00007254
7.45526347,-0.00013583,7.39199430,-0.00013661
7.47687568,-0.00040711,7.35023750,-0.00062451
7.49875498,-0.00008293,7.30629300,-0.00004363
7.52221989,-0.00019949,7.30634430,0.00003304
7.54460866,0.00063198,7.26650060,0.00007449
7.56752020,0.00041253,7.22638180,-0.00014711
7.58997414,0.00022134,7.18665700,-0.00134636
7.61356975,0.00009633,7.14986230,-0.00258846
7.63743830,0.00005887,7.14524290,-0.00047979
7.66147850,-0.00049740,7.10529700,-0.00069366
7.68573118,0.00017626,7.06564140,-0.00074657
7.71044563,0.00010394,7.05160490,-0.00072454
7.73562270,0.00070441,7.06026240,-0.00053128
7.76155500,-0.00022675,,
7.76144381,0.00061714,,
7.78750828,0.00001242,,
7.81378231,-0.00057751,,
7.84054394,-0.00017435,,
7.86787369,0.00091947,,
7.89590356,0.00021946,,
7.92470814,-0.00043958,,
7.95404604,-0.00022541,,
7.98404664,-0.00036592,,
8.01446677,0.00038043,,
8.04549735,0.00002585,,
8.07700848,-0.00089078,,
8.10882062,-0.00015646,,
8.14162328,-0.00009865,,
8.17640993,0.00046648,,
8.21152070,0.00003162,,
8.24639809,0.00001117,,
8.28090705,-0.00008582,,
8.31867003,-0.00017754,,
8.35716802,-0.00013748,,
8.39481658,-0.00010093,,
8.43525853,0.00041009,,
8.43523299,0.00001137,,
8.47496024,-0.00013327,,
8.51457125,0.00009673,,
8.55303197,0.00012214,,
8.59554899,-0.00005744,,
8.63510683,0.00008399,,
8.67847165,0.00004262,,
8.72198211,-0.00011932,,
8.76653162,-0.00000642,,
8.80988921,0.00009336,,
8.85634674,-0.00009492,,
8.90043159,0.00028302,,
