n;m;aic;bic;reduced_chi_squared;sum_of_absolute_residuals
2;11;-1234.36199171;-1199.83927805;0.47422478;0.03855282
3;7;-1237.74165246;-1210.61666316;0.47764522;0.03863049
4;17;-1237.53266918;-1183.28269057;0.25894058;0.03067098
5;8;-1244.45906952;-1209.93635586;0.24482346;0.02921530
6;7;-1246.38543087;-1211.86271721;0.23920487;0.02825099
7;6;-1246.30696000;-1211.78424634;0.23841121;0.02800161
8;6;-1244.38499661;-1207.39637483;0.24238014;0.02826731
9;4;-1246.36221148;-1211.83949782;0.23862196;0.02773172
10;4;-1244.88004840;-1207.89142662;0.24112919;0.02765486
11;4;-1242.72704558;-1203.27251568;0.24437435;0.02754372
12;4;-1240.40418032;-1198.48374231;0.24827491;0.02767981
13;4;-1237.95001363;-1193.56366750;0.25354573;0.02800602
14;4;-1235.37457524;-1188.52232098;0.25873205;0.02832660
15;4;-1233.29210204;-1183.97393967;0.26312150;0.02839466
16;9;-1234.92285026;-1170.80923917;0.25077590;0.02916260
17;5;-1240.39715468;-1183.68126795;0.24356454;0.02936900
18;2;-1229.20994386;-1177.42587337;0.28287111;0.03109193
19;3;-1225.51068429;-1168.79479756;0.28941819;0.03008189
20;4;-1224.42156045;-1162.77385748;0.27904093;0.02798945
21;2;-1225.08978212;-1165.90798727;0.28161052;0.02932672
22;8;-1224.51031529;-1148.06716361;0.27633047;0.02899896
23;2;-1220.11524693;-1156.00163585;0.29319800;0.03050241
24;4;-1224.94210796;-1153.43077252;0.28327494;0.03155624
25;4;-1214.85432952;-1140.87708596;0.30425621;0.02756422
26;2;-1215.79981036;-1144.28847491;0.29938849;0.02883796
27;2;-1213.48619753;-1139.50895397;0.30589997;0.02901483
28;2;-1212.43279310;-1135.98964142;0.30440768;0.02820553
