R_original,Residual_original,R_comparison,Residual_comparison
6.55865620,-0.00000664,8.90021560,-0.00014322
6.64001960,0.00009165,8.63506310,0.00007700
6.66975800,0.00001846,8.55293020,0.00007995
6.69855090,-0.00006058,8.47477160,0.00004999
6.75163420,-0.00006955,8.39406100,0.00011044
6.77156400,-0.00015527,8.31838910,0.00009989
6.79384320,-0.00009373,8.24574800,0.00004973
6.81905050,0.00028981,8.17582120,0.00044862
6.84343800,0.00020193,8.10837770,0.00039541
6.86674230,-0.00029926,8.04510170,0.00039055
6.89115950,-0.00003377,7.98367810,0.00062699
6.91311870,-0.00033808,7.92449630,0.00034212
6.93697880,0.00018356,7.86756600,0.00046791
6.95958180,-0.00004481,7.81347160,0.00109504
6.98073790,0.00032912,7.76119500,0.00029656
7.00346240,0.00021308,7.71016960,0.00005328
7.02414010,-0.00030103,7.66097690,0.00057938
7.04691950,0.00279628,7.61296560,0.00019848
7.06682770,0.00461346,7.56715940,0.00027278
7.05526000,-0.00081311,7.52185460,0.00002741
7.06700900,-0.00013737,7.47816160,-0.00027823
7.08682150,-0.00045472,7.43457970,0.00012266
7.10665090,-0.00050256,7.39199430,0.00005849
7.12674480,0.00050629,7.35023750,-0.00049921
7.16937830,0.00048304,7.30629300,0.00001505
7.17675240,-0.00035585,7.30634430,0.00009178
7.18611040,0.00001317,7.26650060,0.00010819
7.16685960,-0.00031183,7.22638180,-0.00012479
7.18736430,0.00027044,7.18665700,-0.00136943
7.20703230,0.00009590,7.14986230,-0.00270657
7.22753680,-0.00069597,7.14524290,-0.00061170
7.24730280,-0.00041155,7.10529700,-0.00090473
7.26762140,0.00004044,7.06564140,-0.00121879
7.28747250,0.00016657,7.05160490,-0.00199529
7.30747000,0.00051856,7.06026240,-0.00121762
7.32850220,-0.00038018,,
7.34862090,0.00018221,,
7.36921550,-0.00040788,,
7.39138720,-0.00005726,,
7.41287510,0.00048458,,
7.43362570,0.00049200,,
7.45526350,0.00000569,,
7.47687570,-0.00037171,,
7.49875500,-0.00021337,,
7.52221990,-0.00057261,,
7.54460870,0.00030889,,
7.56752020,0.00010154,,
7.58997410,-0.00009410,,
7.61356980,-0.00022575,,
7.63743830,-0.00025839,,
7.66147850,-0.00079434,,
7.68573120,-0.00008246,,
7.71044560,-0.00009807,,
7.73562270,0.00057336,,
7.76155500,-0.00027415,,
7.76144380,0.00056869,,
7.78750830,0.00005077,,
7.81378230,-0.00045299,,
7.84054390,0.00003048,,
7.89590360,0.00054864,,
7.92470810,-0.00007166,,
7.95404600,0.00016130,,
7.98404660,0.00002044,,
8.01446680,0.00074825,,
8.04549740,0.00036069,,
8.07700850,-0.00059918,,
8.10882060,0.00008578,,
8.14162330,0.00009110,,
8.17640990,0.00060489,,
8.21152070,0.00012523,,
8.24639810,0.00007006,,
8.28090700,-0.00005051,,
8.31867000,-0.00015798,,
8.35716800,-0.00012486,,
8.39481660,-0.00008953,,
8.43523300,0.00002441,,
8.47496020,-0.00011840,,
8.51457130,0.00011180,,
8.55303200,0.00013849,,
8.59554900,-0.00003503,,
8.63510680,0.00012157,,
8.67847170,0.00011106,,
8.72198210,-0.00000501,,
8.76653160,0.00015200,,
8.80988920,0.00024768,,
8.85634670,-0.00009639,,
8.90043160,-0.00018017,,
