R_original_avg,Residual_original_avg,R_comparison_avg,Residual_comparison_avg
6.55865620,0.00003449,8.90021560,0.00000458
6.64001960,0.00001072,8.63506310,0.00001593
6.66975800,-0.00000533,8.55293020,0.00003483
6.69855090,-0.00003506,8.47477160,0.00008345
6.75163420,-0.00007214,8.39406100,0.00007800
6.77156400,-0.00001787,8.31838910,0.00015173
6.79384320,0.00003464,8.24574800,0.00022082
6.81905050,-0.00001131,8.17582120,0.00027684
6.84343800,0.00001300,8.10837770,0.00038226
6.86674230,-0.00003587,8.04510170,0.00044074
6.89115950,-0.00005713,7.98367810,0.00044460
6.91311870,-0.00010647,7.92449630,0.00058452
6.93697880,0.00001920,7.86756600,0.00056573
6.95958180,0.00006857,7.81347160,0.00045098
6.98073790,0.00007598,7.76119500,0.00049844
7.00346240,0.00059853,7.71016960,0.00044455
7.02414010,0.00153018,7.66097690,0.00028010
7.04691950,0.00130174,7.61296560,0.00022627
7.06682770,0.00123165,7.56715940,0.00015996
7.05526000,0.00120091,7.52185460,0.00006862
7.06700900,0.00054114,7.47816160,0.00004062
7.08682150,-0.00028029,7.43457970,-0.00011378
7.10665090,-0.00002106,7.39199430,-0.00011625
7.12674480,-0.00006476,7.35023750,-0.00004225
7.16937830,0.00002882,7.30629300,-0.00004514
7.17675240,0.00006696,7.30634430,-0.00008180
7.18611040,0.00001980,7.26650060,-0.00025584
7.16685960,-0.00005763,7.22638180,-0.00080016
7.18736430,-0.00012566,7.18665700,-0.00094086
7.20703230,-0.00021060,7.14986230,-0.00114344
7.22753680,-0.00014015,7.14524290,-0.00136224
7.24730280,-0.00016092,7.10529700,-0.00148742
7.26762140,-0.00007639,7.06564140,-0.00118963
7.28747250,-0.00001323,7.05160490,-0.00133411
7.30747000,0.00010552,7.06026240,-0.00147723
7.32850220,0.00001586,,
7.34862090,-0.00002891,,
7.36921550,-0.00003571,,
7.39138720,0.00013873,,
7.41287510,0.00010343,,
7.43362570,0.00011066,,
7.45526350,0.00007944,,
7.47687570,-0.00013200,,
7.49875500,-0.00016862,,
7.52221990,-0.00014945,,
7.54460870,-0.00009393,,
7.56752020,-0.00009641,,
7.58997410,-0.00003356,,
7.61356980,-0.00025421,,
7.63743830,-0.00029101,,
7.66147850,-0.00029180,,
7.68573120,-0.00013198,,
7.71044560,-0.00013513,,
7.73562270,0.00013747,,
7.76155500,0.00016412,,
7.76144380,0.00009314,,
7.78750830,-0.00001544,,
7.81378230,0.00014912,,
7.84054390,0.00002105,,
7.89590360,0.00004316,,
7.92470810,0.00013784,,
7.95404600,0.00028140,,
7.98404660,0.00024380,,
8.01446680,0.00013830,,
8.04549740,0.00012320,,
8.07700850,0.00013733,,
8.10882060,0.00010866,,
8.14162330,0.00006156,,
8.17640990,0.00019541,,
8.21152070,0.00016816,,
8.24639810,0.00011834,,
8.28090700,-0.00002761,,
8.31867000,-0.00007056,,
8.35716800,-0.00007969,,
8.39481660,-0.00009327,,
8.43523300,-0.00003932,,
8.47496020,0.00001335,,
8.51457130,0.00002425,,
8.55303200,0.00004369,,
8.59554900,0.00008958,,
8.63510680,0.00006622,,
8.67847170,0.00006892,,
8.72198210,0.00012546,,
8.76653160,0.00008187,,
8.80988920,0.00002362,,
8.85634670,0.00003078,,
8.90043160,-0.00000963,,
