n;m;aic;bic;reduced_chi_squared;sum_of_absolute_residuals
2;25;-1235.42609614;-1165.74427779;0.58720682;0.03927853
3;22;-1252.92978657;-1188.22524096;0.29917020;0.03557495
4;26;-1239.29801907;-1162.15029161;0.31781303;0.03168722
5;11;-1264.82310507;-1222.51628679;0.26285182;0.03152644
6;12;-1265.52121980;-1218.23712878;0.25731752;0.02862272
7;13;-1261.51209241;-1209.25072865;0.26499194;0.02865714
8;10;-1265.20607312;-1217.92198210;0.25764899;0.02876305
9;9;-1265.21943366;-1217.93534264;0.25779067;0.02871661
10;10;-1261.39757036;-1209.13620659;0.26455143;0.02857413
11;15;-1249.45065843;-1182.25747645;0.29103825;0.02865371
12;14;-1249.31791096;-1182.12472898;0.29099173;0.02868317
13;11;-1253.22052373;-1191.00461449;0.28187440;0.02871268
14;11;-1250.98653807;-1186.28199246;0.28675382;0.02875884
15;8;-1255.60694590;-1195.87967303;0.27717684;0.02865242
16;11;-1247.37398381;-1177.69216546;0.29488225;0.02884254
17;8;-1251.18731967;-1186.48277406;0.28583279;0.02909515
18;8;-1249.26038924;-1182.06720726;0.29021054;0.02910177
19;8;-1247.33389804;-1177.65207969;0.29625274;0.02879024
20;7;-1247.55353714;-1177.87171879;0.29496277;0.02873501
21;7;-1245.46171949;-1173.29126477;0.30114805;0.02873719
22;5;-1247.71153625;-1178.02971789;0.29497957;0.02880772
23;5;-1245.65104775;-1173.48059303;0.30076994;0.02897046
24;5;-1242.97369459;-1168.31460350;0.31212002;0.02916159
25;5;-1241.00043201;-1163.85270455;0.31038371;0.02922617
26;4;-1237.37078207;-1160.22305461;0.32314296;0.03114119
27;3;-1236.15486974;-1159.00714228;0.33968797;0.03317897
28;2;-1239.91100492;-1162.76327746;0.31279115;0.03033868
