PARAMETER,VALUE,UNIT,COMMENT
Function_Type,Rational Function,-,Model type
X_Transformation,x = R (Raw Resistance),-,Representation
,,,
--- LIMITS ---,-,-,-
T_LIMIT_LOW,4.3847,K,Min temperature
T_LIMIT_HIGH,25.1382,K,Max temperature
R_MIN,6.520679200000e+00,Ohm,Min resistance
R_MAX,8.900431600000e+00,Ohm,Max resistance
--- DIAGNOSTICS ---,-,-,-
MODEL_STRUCTURE,n=7 m=6,-,Rational order
TRANS_METHOD,x = (R-Rmin)/(Rmax-Rmin),-,Scaling formula
REDUCED_CHI_SQUARED,0.2406,-,-
AIC,-1275.4012,-,-
BIC,-1240.5603,-,-
--- MODEL ---,-,-,-
N_0,+4.384745901318e+00,1.212157e-03,Numerator
N_1,-3.242612261831e+01,4.473309e+00,Numerator
N_2,+3.950099907814e+01,2.585835e+01,Numerator
N_3,+7.468443973188e+01,3.437354e+01,Numerator
N_4,-1.815221346530e+01,4.775130e+02,Numerator
N_5,-9.292425654308e+02,1.938053e+03,Numerator
N_6,+4.814704438500e+03,4.221966e+03,Numerator
N_7,+2.468519709684e+03,5.646564e+02,Numerator
M_1,-1.141120838787e+01,1.033977e+00,Denominator
M_2,+4.910041643022e+01,1.053220e+01,Denominator
M_3,-1.152142044379e+02,4.099995e+01,Denominator
M_4,+1.721797909055e+02,8.669672e+01,Denominator
M_5,-1.393222423219e+02,9.738422e+01,Denominator
M_6,+2.991335525052e+02,9.495247e+01,Denominator
