n;m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;2;5;0.999933;177411.541072;2112.042156;-533.396563;-520.953381;5.721888;145.052987;3.632447;0.140081;22.921694;0.000011
2;3;6;0.999992;19678.985828;237.096215;-724.384593;-709.452775;5.721888;57.763058;1.197439;0.186031;23.015514;0.000010
2;4;7;0.999998;4326.893139;52.766990;-856.280455;-838.860000;5.721888;29.107419;0.553076;0.234941;22.972021;0.000010
2;5;8;0.999999;1563.581135;19.303471;-944.260398;-924.351307;5.721888;19.919566;0.323208;0.300924;24.812278;0.000004
2;6;9;1.000000;971.684228;12.146053;-982.840762;-960.443035;5.721888;18.347157;0.235682;0.359129;25.752757;0.000003
2;7;10;1.000000;600.559877;7.602024;-1022.244450;-997.358086;5.721888;16.542855;0.167054;0.458638;24.813167;0.000004
2;8;11;1.000000;49.971595;0.640661;-1232.008581;-1204.633581;5.721888;3.320485;0.055697;0.890549;11.473541;0.003225
2;9;12;1.000000;38.941072;0.505728;-1258.840023;-1228.976387;5.721888;3.143884;0.042224;1.051280;7.415891;0.024528
2;10;13;1.000000;36.781596;0.483968;-1262.851364;-1230.499091;5.721888;3.151819;0.040494;1.114058;6.322380;0.042375
2;11;14;1.000000;37.346546;0.497954;-1259.685827;-1224.844918;5.721888;3.139653;0.040855;1.102214;6.574501;0.037356
2;12;15;1.000000;35.634617;0.481549;-1260.788233;-1223.458687;5.721888;3.179057;0.040137;1.132546;6.030125;0.049043
2;14;17;1.000000;36.561137;0.507794;-1255.286900;-1212.980082;5.721888;3.140643;0.041059;1.116148;6.235527;0.044256
2;15;18;1.000000;36.770806;0.517899;-1252.964142;-1208.168687;5.721888;3.133129;0.041204;1.112666;6.315760;0.042516
2;16;19;1.000000;36.287440;0.518392;-1251.764818;-1204.480726;5.721888;3.148847;0.040524;1.121154;6.323904;0.042343
2;17;20;1.000000;35.866497;0.519804;-1250.593282;-1200.820555;5.721888;3.150567;0.040234;1.136834;6.092827;0.047529
2;18;21;1.000000;36.109580;0.531023;-1248.201804;-1195.940441;5.721888;3.138727;0.040464;1.133786;6.132744;0.046590
2;19;22;1.000000;36.427810;0.543699;-1245.711140;-1190.961140;5.721888;3.123749;0.040832;1.130628;6.148978;0.046213
2;20;23;1.000000;36.917765;0.559360;-1243.186778;-1185.948142;5.721888;3.095439;0.041349;1.129076;6.117883;0.046937
2;21;24;1.000000;38.106059;0.586247;-1239.948542;-1180.221269;5.721888;3.032935;0.042391;1.126909;5.997094;0.049859
2;22;25;1.000000;38.664388;0.604131;-1237.224192;-1175.008283;5.721888;3.011563;0.042912;1.125036;5.918194;0.051866
2;23;26;1.000000;36.230658;0.575090;-1239.397102;-1174.692556;5.721888;3.083884;0.039678;1.146711;6.125453;0.046760
2;24;27;1.000000;38.286462;0.617524;-1232.895784;-1165.702602;5.721888;3.053973;0.042606;1.116145;6.158657;0.045990
2;25;28;1.000000;35.819616;0.587207;-1235.426096;-1165.744278;5.721888;3.122745;0.039279;1.138742;6.296728;0.042922
2;26;29;1.000000;35.977486;0.599625;-1233.095208;-1160.924754;5.721888;3.117014;0.039507;1.135634;6.328299;0.042250
2;27;30;1.000000;36.050552;0.611026;-1231.214980;-1156.555889;5.721888;3.107246;0.039642;1.138353;6.293585;0.042990
2;28;31;1.000000;36.257978;0.625138;-1228.986333;-1151.838606;5.721888;3.095519;0.039906;1.137315;6.301380;0.042823
3;2;6;0.999997;7665.900563;92.360248;-809.174196;-794.242378;4.179458;29.982069;0.754059;0.152446;21.417530;0.000086
3;3;7;1.000000;361.245676;4.405435;-1082.213658;-1064.793204;4.179458;9.292276;0.146559;0.457260;33.279079;0.000000
3;4;8;1.000000;187.764762;2.318083;-1138.918397;-1119.009306;4.179458;5.111257;0.108733;0.485882;17.128906;0.000665
3;5;9;1.000000;66.155222;0.826940;-1227.804977;-1205.407250;4.179458;2.776979;0.063006;0.800278;8.992251;0.029394
3;6;10;1.000000;40.802375;0.516486;-1265.043849;-1240.157485;4.179458;2.921111;0.041894;1.070958;10.795354;0.012886
3;7;11;1.000000;37.042082;0.474898;-1266.020840;-1238.645840;4.179458;3.147797;0.039831;1.095211;10.627309;0.013922
3;8;12;1.000000;36.958161;0.479976;-1264.941564;-1235.077928;4.179458;3.135325;0.039801;1.107768;10.552449;0.014409
3;9;13;1.000000;35.046962;0.461144;-1265.277046;-1232.924773;4.179458;3.244142;0.039451;1.158340;9.571527;0.022582
3;10;14;1.000000;34.834701;0.464463;-1263.645916;-1228.805007;4.179458;3.250620;0.039950;1.168675;9.355974;0.024914
3;11;15;1.000000;34.315030;0.463717;-1261.800487;-1224.470942;4.179458;3.296326;0.039583;1.175458;9.044234;0.028709
3;12;16;1.000000;34.066187;0.466660;-1259.765630;-1219.947448;4.179458;3.322652;0.039414;1.181038;8.755145;0.032730
3;13;17;1.000000;34.098401;0.473589;-1257.905167;-1215.598349;4.179458;3.313174;0.039432;1.179072;8.822943;0.031740
3;14;18;1.000000;33.519284;0.472103;-1256.070617;-1211.275163;4.179458;3.380277;0.038868;1.188888;8.367625;0.038995
3;15;19;1.000000;33.505183;0.478645;-1253.639289;-1206.355198;4.179458;3.412543;0.038842;1.191292;8.099041;0.044009
3;16;20;1.000000;33.720821;0.488708;-1251.614620;-1201.841892;4.179458;3.383412;0.038932;1.188753;8.331355;0.039638
3;17;21;1.000000;32.322046;0.475324;-1249.936402;-1197.675039;4.179458;3.546639;0.038593;1.204544;7.148268;0.067319
3;18;22;1.000000;23.629227;0.352675;-1243.730028;-1188.980028;4.179458;4.782156;0.038917;1.449660;2.239062;0.524295
3;19;23;1.000000;25.007807;0.378906;-1239.673110;-1182.434473;4.179458;4.783281;0.040071;1.439759;2.183216;0.535262
3;20;24;1.000000;24.751910;0.380799;-1239.622545;-1179.895272;4.179458;4.765021;0.039080;1.457760;2.239747;0.524162
3;21;25;1.000000;23.827605;0.372306;-1240.712203;-1178.496294;4.179458;4.740870;0.037401;1.480295;2.361113;0.500915
