Segment;T_measured_K;R_measured_Ohm;T_fitted_K;Residual_K;Residual_mK
1;4.67216720;6.55865620;4.67211330;0.00005390;0.05390404
1;5.33170520;6.64001960;5.33204978;-0.00034458;-0.34457807
1;5.58776910;6.66975800;5.58789515;-0.00012605;-0.12604729
1;5.84352590;6.69855090;5.84344919;0.00007671;0.07670769
1;6.33566030;6.75163420;6.33533608;0.00032422;0.32422424
1;6.52725060;6.77156400;6.52703648;0.00021412;0.21411873
1;6.74604590;6.79384320;6.74587014;0.00017576;0.17576016
1;6.99955710;6.81905050;6.99917888;0.00037822;0.37821614
1;7.24999810;6.84343800;7.24991195;0.00008615;0.08615303
1;7.49396940;6.86674230;7.49455862;-0.00058922;-0.58921632
1;7.75554410;6.89115950;7.75597140;-0.00042730;-0.42730452
1;7.99458530;6.91311870;7.99529041;-0.00070511;-0.70510961
1;8.25960370;6.93697880;8.25957795;0.00002575;0.02575337
1;8.51393320;6.95958180;8.51373004;0.00020316;0.20315875
1;8.75579770;6.98073790;8.75467349;0.00112421;1.12420971
1;9.01802350;7.00346240;9.01646440;0.00155910;1.55910129
1;9.25787050;7.02414010;9.25708501;0.00078549;0.78548685
1;9.52684130;7.04691950;9.52450979;0.00233151;2.33150661
1;9.62138680;7.05526000;9.62297921;-0.00159241;-1.59240981
1;9.76129420;7.06700900;9.76214963;-0.00085543;-0.85543194
1;9.76388910;7.06682770;9.75999817;0.00389093;3.89093120
1;9.99755430;7.08682150;9.99795121;-0.00039691;-0.39691112
1;10.23554160;7.10665090;10.23520824;0.00033336;0.33336104
1;10.47847660;7.12674480;10.47675698;0.00171962;1.71961841
1;10.96151240;7.16685960;10.96191184;-0.00039944;-0.39943522
1;10.99268700;7.16937830;10.99249299;0.00019401;0.19400610
2;10.99268700;7.16937830;10.99268946;-0.00000246;-0.00246382
2;11.08077120;7.17675240;11.08077091;0.00000029;0.00028689
2;11.19392510;7.18611040;11.19403545;-0.00011035;-0.11035067
2;11.20928810;7.18736430;11.20911237;0.00017573;0.17573288
2;11.44578210;7.20703230;11.44552028;0.00026182;0.26182374
2;11.69099840;7.22753680;11.69145723;-0.00045883;-0.45883331
2;11.92748430;7.24730280;11.92768069;-0.00019639;-0.19638945
2;12.16953550;7.26762140;12.16933989;0.00019561;0.19561114
2;12.40430850;7.28747250;12.40405367;0.00025483;0.25482884
2;12.63944980;7.30747000;12.63890609;0.00054371;0.54371476
2;12.88357580;7.32850220;12.88398891;-0.00041311;-0.41311463
2;13.11651980;7.34862090;13.11641916;0.00010064;0.10064208
2;13.35163340;7.36921550;13.35216732;-0.00053392;-0.53391916
2;13.60313140;7.39138720;13.60335587;-0.00022447;-0.22446993
2;13.84437190;7.41287510;13.84408189;0.00029001;0.29001188
2;14.07419820;7.43362570;14.07390362;0.00029458;0.29457548
2;14.31053580;7.45526350;14.31068610;-0.00015030;-0.15030134
2;14.54376670;7.47687570;14.54417961;-0.00041291;-0.41291344
2;14.77738790;7.49875500;14.77741426;-0.00002636;-0.02635856
2;15.02398860;7.52221990;15.02395219;0.00003641;0.03641300
3;15.02398860;7.52221990;15.02399922;-0.00001062;-0.01062170
3;15.25718950;7.54460870;15.25715982;0.00002968;0.02967675
3;15.49137620;7.56752020;15.49136922;0.00000698;0.00697516
3;15.71762160;7.58997410;15.71763823;-0.00001663;-0.01662884
3;15.95198500;7.61356980;15.95202929;-0.00004429;-0.04428556
3;16.18559210;7.63743830;16.18563022;-0.00003812;-0.03812350
3;16.41680410;7.66147850;16.41738458;-0.00058048;-0.58048147
3;16.64774220;7.68573120;16.64764524;0.00009696;0.09696315
3;16.87871910;7.71044560;16.87868819;0.00003091;0.03090823
3;17.11103570;7.73562270;17.11039128;0.00064442;0.64441961
3;17.34484400;7.76144380;17.34426412;0.00057988;0.57988073
3;17.34500000;7.76155500;17.34526321;-0.00026321;-0.26321164
3;17.57658350;7.78750830;17.57657847;0.00000503;0.00503337
3;17.80648540;7.81378230;17.80703559;-0.00055019;-0.55018918
3;18.03792210;7.84054390;18.03803385;-0.00011175;-0.11174555
3;18.50473280;7.89590360;18.50439370;0.00033910;0.33909939
3;18.74087640;7.92470810;18.74117869;-0.00030229;-0.30229280
3;18.97831860;7.95404600;18.97839976;-0.00008116;-0.08115782
3;19.21677610;7.98404660;19.21700008;-0.00022398;-0.22397513
3;19.45548580;8.01446680;19.45497234;0.00051346;0.51345867
3;19.69390100;8.04549740;19.69374490;0.00015610;0.15610170
3;19.93150370;8.07700850;19.93150375;-0.00000005;-0.00004747
3;20.16915300;8.10882060;20.16931440;-0.00016140;-0.16139539
3;20.40957440;8.14162330;20.40967821;-0.00010381;-0.10380629
3;20.66085500;8.17640990;20.66040296;0.00045204;0.45203931
3;20.90927770;8.21152070;20.90926516;0.00001254;0.01253757
3;21.15245700;8.24639810;21.15246147;-0.00000447;-0.00446722
3;21.38921850;8.28090700;21.38930851;-0.00009001;-0.09000895
3;21.64419060;8.31867000;21.64435441;-0.00016381;-0.16380777
3;21.89999580;8.35716800;21.90009878;-0.00010298;-0.10297927
3;22.14616110;8.39481660;22.14620939;-0.00004829;-0.04829405
3;22.40628330;8.43523300;22.40620632;0.00007698;0.07698050
3;22.65763890;8.47496020;22.65770338;-0.00006448;-0.06448265
3;22.90477960;8.51457130;22.90462174;0.00015786;0.15786263
3;23.14101690;8.55303200;23.14084754;0.00016936;0.16936060
3;23.39808980;8.59554900;23.39811707;-0.00002727;-0.02726975
3;23.63408560;8.63510680;23.63398055;0.00010505;0.10504898
3;23.88889990;8.67847170;23.88883034;0.00006956;0.06956399
3;24.14073100;8.72198210;24.14079461;-0.00006361;-0.06360905
3;24.39515220;8.76653160;24.39506010;0.00009210;0.09210090
3;24.63927590;8.80988920;24.63906465;0.00021125;0.21124884
