m;p0;p0_err;p1;p1_err;p2;p2_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err
2;1.50227195e+01;6.66831255e-04;1.93338113e+01;6.99983963e-01;-4.21434274e+00;8.61043628e-01;3.22882758e-01;4.59943276e-02;-1.23871142e-01;1.61267318e-02;;;;;;;;;;;;;;;;;;;;;;;;
3;1.50246792e+01;1.12868317e-03;1.14005289e+02;7.56022937e+01;1.41723441e+02;1.15891772e+02;6.63085059e+00;5.03571363e+00;3.45385043e+00;2.82563648e+00;-3.14255267e-01;2.43683300e-01;;;;;;;;;;;;;;;;;;;;;;
4;1.50245499e+01;1.08638551e-03;6.05497266e+01;7.03164924e+01;6.22125162e+01;1.07004192e+02;3.07182098e+00;4.68327339e+00;1.59949483e+00;2.58239429e+00;-2.14070470e-01;2.09014917e-01;2.39364570e-02;2.01762311e-02;;;;;;;;;;;;;;;;;;;;
5;1.50245305e+01;1.10681649e-03;4.02678308e+01;1.30518839e+02;3.41628165e+01;1.87385802e+02;1.72169586e+00;8.69016476e+00;1.03219452e+00;4.09757950e+00;-2.77125629e-01;3.09984210e-01;1.05034236e-01;3.81841268e-01;-2.32706571e-02;1.08742807e-01;;;;;;;;;;;;;;;;;;
6;1.50239907e+01;1.34419423e-03;1.01303622e+05;3.34562043e+07;1.11449371e+05;3.68269339e+07;6.74154751e+03;2.22675915e+06;9.54393876e+02;3.16071479e+05;1.90753019e+03;6.29414511e+05;-1.95948733e+03;6.46568291e+05;1.07846234e+03;3.55800421e+05;-2.59576715e+02;8.56237082e+04;;;;;;;;;;;;;;;;
7;1.50239887e+01;1.34419984e-03;6.30115166e+05;2.18872473e+08;2.95071869e+05;1.02626165e+08;4.19365397e+04;1.45671228e+07;-2.05027412e+04;7.11358783e+06;3.63423234e+04;1.26163834e+07;-4.18475671e+04;1.45273227e+07;3.38767390e+04;1.17595613e+07;-1.66459869e+04;5.77792037e+06;3.64460088e+03;1.26498580e+06;;;;;;;;;;;;;;
8;1.50239897e+01;1.34419316e-03;2.09014478e+04;1.39858674e+06;-1.22844252e+04;8.05630687e+05;1.39012727e+03;9.30825252e+04;-2.14705949e+03;1.42625834e+05;2.59856216e+03;1.72950484e+05;-3.23955607e+03;2.15624655e+05;3.20157770e+03;2.13101173e+05;-2.21061364e+03;1.47166686e+05;9.20758143e+02;6.13153574e+04;-1.71412146e+02;1.14188451e+04;;;;;;;;;;;;
9;1.50239882e+01;1.34414552e-03;6.18991950e+02;1.46205804e+04;7.38699655e+03;8.11590785e+04;4.02314434e+01;9.73063103e+02;4.53813121e+02;5.86245011e+03;-4.21793603e+02;5.83996397e+03;6.04645797e+02;7.93878165e+03;-8.04938638e+02;9.57528562e+03;8.51623913e+02;9.04509444e+03;-6.29992970e+02;6.01830420e+03;2.79367833e+02;2.44291663e+03;-5.48799994e+01;4.47599649e+02;;;;;;;;;;
10;1.50239888e+01;1.34411410e-03;1.24797999e+03;1.40610327e+04;-6.61768965e+02;1.76756927e+04;8.20938184e+01;9.35811259e+02;-1.21938695e+02;1.97287683e+03;1.45746322e+02;2.22515317e+03;-1.63090398e+02;2.78328429e+03;9.47458383e+01;2.74691692e+03;8.16117173e+01;2.03505038e+03;-2.47195128e+02;1.87178841e+03;2.49864784e+02;1.72772722e+03;-1.24035945e+02;8.75679589e+02;2.51149456e+01;1.81242934e+02;;;;;;;;
11;1.50239886e+01;1.34419298e-03;1.48572372e+04;2.50434449e+06;8.42107003e+03;2.07466071e+06;9.87860055e+02;1.66677071e+05;-3.84641434e+02;4.23340162e+04;7.70641597e+02;9.87103077e+04;-1.02368506e+03;1.36319703e+05;1.90766474e+03;3.09712106e+05;-5.34506940e+03;1.00686115e+06;1.20482697e+04;2.34170061e+06;-1.72615624e+04;3.35860046e+06;1.48126578e+04;2.87044411e+06;-6.97395626e+03;1.34576011e+06;1.38743504e+03;2.66799804e+05;;;;;;
12;1.50239885e+01;1.34418989e-03;5.29979857e+03;3.17013058e+05;6.58646061e+03;5.93928315e+05;3.51762879e+02;2.10988208e+04;1.02303119e+02;2.31140859e+04;4.16825665e+01;1.75670100e+04;-1.25490939e+01;2.39149079e+04;6.35393995e+01;2.76006838e+04;-5.98079570e+02;8.37804388e+04;1.47285089e+03;2.10952595e+05;-1.31242463e+03;2.86765843e+05;-4.72381208e+02;2.45957322e+05;1.86930002e+03;1.83234839e+05;-1.38418798e+03;1.02556346e+05;3.50619557e+02;2.45782630e+04;;;;
13;1.50239887e+01;1.34419429e-03;8.47988703e+03;9.86944628e+05;1.37509459e+04;2.00359966e+06;5.63415031e+02;6.56863371e+04;3.76425940e+02;7.13891654e+04;-1.31852767e+02;4.22057455e+04;2.11347059e+02;5.50338212e+04;1.23355228e+01;1.66756220e+04;-1.37281158e+03;2.77377092e+05;3.22381183e+03;7.72996273e+05;-2.08623070e+03;1.15435622e+06;-3.33473887e+03;1.36870248e+06;7.58609563e+03;1.47083864e+06;-6.12688148e+03;1.04956498e+06;2.27181311e+03;4.07151600e+05;-3.08783216e+02;6.64830021e+04;;
14;1.50239975e+01;1.34413719e-03;2.04979264e+03;5.27807008e+04;-1.87013996e+03;4.31311059e+04;1.35460585e+02;3.51284622e+03;-2.53578799e+02;6.21393034e+03;2.95969177e+02;7.40719797e+03;-3.86363654e+02;1.02408060e+04;4.76536408e+02;1.55034941e+04;-6.04096092e+02;2.85019330e+04;6.42006065e+02;4.92830074e+04;-1.35772238e+02;6.66121009e+04;-7.74545903e+02;9.88714964e+04;7.59294201e+02;1.63114765e+05;5.70300928e+02;1.98360796e+05;-1.46515916e+03;1.55341917e+05;9.73430252e+02;6.92559146e+04;-2.26737508e+02;1.32500909e+04
