m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err
2;1.50245210e+01;1.10814906e-03;3.58666841e+01;1.32486669e+02;4.17458736e+01;1.66004760e+02;1.77031542e+01;3.61267226e+01;-4.46931900e+00;1.81529248e+01;9.39736093e-01;4.00166172e+00;1.42867350e+00;8.82119376e+00;1.82025325e+00;2.96622355e+00;;;;;;;;;;;;;;;;;;
3;1.50245414e+01;1.08474467e-03;3.76552915e+01;7.28894385e+01;-1.23615341e+01;2.17648824e+01;-7.53318035e+01;1.47991474e+02;-1.21843606e+01;8.90364776e+00;4.13935915e-01;1.91371072e+00;1.54794393e+00;4.85454019e+00;-1.90176941e+00;3.74175853e+00;-2.50724687e+00;3.92230168e+00;;;;;;;;;;;;;;;;
4;1.50239866e+01;1.34419066e-03;6.02662473e+03;1.67343695e+05;2.81528273e+04;7.65466322e+05;-1.06864483e+04;2.61382074e+05;-7.37969152e+04;1.92323182e+06;-9.01540205e+03;2.35809045e+05;4.00127642e+02;1.11372612e+04;1.49207664e+03;4.03148720e+04;-1.99689152e+03;5.13817715e+04;-2.25544739e+03;5.89193114e+04;;;;;;;;;;;;;;
5;1.50239992e+01;1.34415977e-03;1.76547987e+03;2.73551116e+04;5.12411353e+03;6.19625139e+04;-1.14881265e+04;1.58730528e+05;-2.87388450e+04;3.69247692e+05;-4.06629213e+03;6.05247986e+04;1.16536623e+02;1.82059813e+03;2.30169661e+02;2.46823812e+03;-9.42711376e+02;1.21480601e+04;-8.81520543e+02;1.16077578e+04;-1.07968835e+01;3.31670094e+02;;;;;;;;;;;;
6;1.50239925e+01;1.34331986e-03;1.28006026e+02;2.84067955e+03;4.27047400e+03;2.47933072e+04;2.22950899e+03;3.03037182e+05;-5.55334323e+03;1.82885661e+05;1.04056021e+03;3.88183934e+05;7.55397303e+00;1.89051378e+02;2.77673926e+02;1.63205434e+03;-1.18327479e+02;1.90647946e+04;-1.18578134e+02;6.16070826e+03;3.71315346e+01;1.05523065e+04;-1.71283713e+00;8.65998172e+02;;;;;;;;;;
7;1.50240366e+01;1.32075863e-03;8.47385171e+02;7.91863747e+03;-4.88766913e+02;7.65321693e+04;-9.02582426e+03;1.83101065e+05;2.23994313e+03;4.52468029e+05;2.40438701e+04;9.73657009e+05;5.54351950e+01;5.27026533e+02;-8.50522509e+01;5.47994759e+03;-4.99031621e+02;6.81075749e+03;6.08982995e+02;3.46502975e+04;7.08966169e+02;2.73233467e+04;-1.00782782e+02;3.92528465e+03;1.18730787e+01;4.84925179e+02;;;;;;;;
8;1.50240264e+01;1.33409935e-03;1.07754343e+03;2.02416858e+04;5.29053062e+03;3.78735541e+04;-3.49031153e+04;4.06612485e+04;1.12648489e+03;8.82193312e+04;8.89731652e+04;1.30653906e+05;7.07516050e+01;1.34720516e+03;2.85066611e+02;3.75617634e+03;-2.57278997e+03;1.58657889e+03;2.70524219e+03;6.43061308e+03;1.96927992e+03;5.19037523e+03;1.30831228e+02;2.74667665e+03;-1.87680130e+02;1.25120724e+03;4.79580418e+01;2.66954435e+02;;;;;;
9;1.50240042e+01;1.34413746e-03;3.52576008e+03;1.23195988e+05;-5.38885876e+03;1.98389983e+05;-2.52776312e+04;9.34364806e+05;1.75491910e+04;1.05089890e+06;5.97691450e+04;2.44811250e+06;2.33696196e+02;8.19941832e+03;-5.81882061e+02;1.66869617e+04;-1.03288780e+03;7.56259123e+04;1.93931263e+03;1.28283505e+05;1.50195044e+03;1.45879977e+04;1.08653645e+02;4.74942948e+04;-3.20132262e+02;3.87019100e+04;1.91974380e+02;1.73915800e+04;-4.50207999e+01;3.50097334e+03;;;;
10;1.50240279e+01;1.34397560e-03;2.26961115e+03;6.62921973e+04;-6.65249943e+03;6.47068891e+04;-6.73316008e+03;5.59115623e+05;1.98051577e+04;1.06316375e+06;6.74612229e+03;7.04570041e+05;1.50095022e+02;4.41219100e+03;-5.86083577e+02;7.04611167e+03;1.74565703e+02;2.93141544e+04;9.02758422e+02;9.27738919e+04;-3.46186591e+02;5.87261561e+04;8.35742418e+02;8.86084242e+04;-1.01826256e+03;8.80854411e+04;7.73348268e+02;5.97717984e+04;-3.36007465e+02;2.44408391e+04;6.36439908e+01;4.49082857e+03;;
11;1.50240275e+01;1.34041590e-03;2.31775446e+03;2.57241858e+04;-8.37343626e+03;2.25593290e+05;4.36180975e+02;6.58730715e+04;1.88785248e+04;9.25784735e+05;-9.10722423e+03;5.38134821e+05;1.53299510e+02;1.71212521e+03;-7.03718275e+02;1.66323897e+04;7.66508343e+02;2.03991759e+04;2.16203043e+02;3.53824014e+04;-4.39029080e+02;5.82608259e+04;4.58961734e+02;6.35879038e+04;-5.19573936e+02;7.09606658e+04;2.56213388e+02;5.68631346e+04;5.55188784e+01;3.13519449e+04;-1.15955991e+02;1.20738922e+04;3.63299356e+01;2.50425567e+03
