SECTION,PARAMETER,VALUE,UNIT,COMMENT
METADATA,Function_Type,Model Result,-,Type
METADATA,Num_Segments,3,-,Segments
METADATA,X_Transformation,x = R (Raw Resistance),-,Data
,
SEGMENT_1,--- LIMITS ---,-,-,-
SEGMENT_1,T_LIMIT_LOW,4.3847,K,Min temperature
SEGMENT_1,T_LIMIT_HIGH,9.9976,K,Max temperature
SEGMENT_1,R_MIN,6.520679200000e+00,Ohm,Min resistance
SEGMENT_1,R_MAX,7.086821500000e+00,Ohm,Max resistance
SEGMENT_1,--- DIAGNOSTICS ---,-,-,-
SEGMENT_1,MODEL_STRUCTURE,n=7 m=2,-,Rational order
SEGMENT_1,TRANS_METHOD,x = (R-Rmin)/(Rmax-Rmin),-,Scaling formula
SEGMENT_1,REDUCED_CHI_SQUARED,0.1340,-,-
SEGMENT_1,AIC,-334.3420,-,-
SEGMENT_1,BIC,-323.4316,-,-
SEGMENT_1,--- MODEL ---,-,-,-
SEGMENT_1,N_0,+4.384687099932e+00,1.368855e-03,Numerator
SEGMENT_1,N_1,-5.054440999177e+00,3.301768e-02,Numerator
SEGMENT_1,N_2,-2.556825195223e+00,2.958618e-01,Numerator
SEGMENT_1,N_3,+1.716586632275e+00,1.129739e+00,Numerator
SEGMENT_1,N_4,+1.804582783621e+00,2.218300e+00,Numerator
SEGMENT_1,N_5,-8.972317317589e-01,2.427468e+00,Numerator
SEGMENT_1,N_6,+9.735755994316e-01,1.381869e+00,Numerator
SEGMENT_1,N_7,-3.410502588296e-01,3.204868e-01,Numerator
SEGMENT_1,M_1,-2.108823608128e+00,2.751071e-03,Denominator
SEGMENT_1,M_2,+1.111812586303e+00,4.516611e-03,Denominator
,
SEGMENT_2,--- LIMITS ---,-,-,-
SEGMENT_2,T_LIMIT_LOW,9.9976,K,Min temperature
SEGMENT_2,T_LIMIT_HIGH,15.0240,K,Max temperature
SEGMENT_2,R_MIN,7.086821500000e+00,Ohm,Min resistance
SEGMENT_2,R_MAX,7.522219900000e+00,Ohm,Max resistance
SEGMENT_2,--- DIAGNOSTICS ---,-,-,-
SEGMENT_2,MODEL_STRUCTURE,n=3 m=5,-,Rational order
SEGMENT_2,TRANS_METHOD,x = (R-Rmin)/(Rmax-Rmin),-,Scaling formula
SEGMENT_2,REDUCED_CHI_SQUARED,0.1031,-,-
SEGMENT_2,AIC,-373.0256,-,-
SEGMENT_2,BIC,-362.4231,-,-
SEGMENT_2,--- MODEL ---,-,-,-
SEGMENT_2,N_0,+9.997459082194e+00,1.243858e-03,Numerator
SEGMENT_2,N_1,-3.747543975588e+01,1.055024e+01,Numerator
SEGMENT_2,N_2,+3.030730763586e+01,1.727858e+01,Numerator
SEGMENT_2,N_3,+9.903355174979e+00,5.437439e+00,Numerator
SEGMENT_2,M_1,-4.271597326714e+00,1.055333e+00,Denominator
SEGMENT_2,M_2,+5.249349451105e+00,2.275896e+00,Denominator
SEGMENT_2,M_3,-1.643989326733e+00,9.517012e-01,Denominator
SEGMENT_2,M_4,+6.020776187735e-01,3.836277e-01,Denominator
SEGMENT_2,M_5,-8.834195478360e-02,7.299524e-02,Denominator
,
SEGMENT_3,--- LIMITS ---,-,-,-
SEGMENT_3,T_LIMIT_LOW,15.0240,K,Min temperature
SEGMENT_3,T_LIMIT_HIGH,25.1382,K,Max temperature
SEGMENT_3,R_MIN,7.522219900000e+00,Ohm,Min resistance
SEGMENT_3,R_MAX,8.900431600000e+00,Ohm,Max resistance
SEGMENT_3,--- DIAGNOSTICS ---,-,-,-
SEGMENT_3,MODEL_STRUCTURE,n=7 m=5,-,Rational order
SEGMENT_3,TRANS_METHOD,x = (R-Rmin)/(Rmax-Rmin),-,Scaling formula
SEGMENT_3,REDUCED_CHI_SQUARED,0.0918,-,-
SEGMENT_3,AIC,-697.7455,-,-
SEGMENT_3,BIC,-674.5510,-,-
SEGMENT_3,--- MODEL ---,-,-,-
SEGMENT_3,N_0,+1.502400383659e+01,1.344196e-03,Numerator
SEGMENT_3,N_1,-3.741108128460e+03,7.209172e+04,Numerator
SEGMENT_3,N_2,-4.880015721329e+03,2.041135e+05,Numerator
SEGMENT_3,N_3,+4.681411223306e+04,1.239024e+06,Numerator
SEGMENT_3,N_4,+1.181986475718e+05,2.799432e+06,Numerator
SEGMENT_3,N_5,+5.863520068970e+04,9.795188e+05,Numerator
SEGMENT_3,N_6,+9.642711268958e+00,4.915219e+03,Numerator
SEGMENT_3,N_7,+9.344308522257e+02,1.576452e+04,Numerator
SEGMENT_3,M_1,-2.499474295084e+02,4.797896e+03,Denominator
SEGMENT_3,M_2,-8.543574639919e+01,9.363935e+03,Denominator
SEGMENT_3,M_3,+3.105314464413e+03,8.948159e+04,Denominator
SEGMENT_3,M_4,+4.780079167146e+03,9.723064e+04,Denominator
SEGMENT_3,M_5,+1.040910356622e+03,1.703956e+04,Denominator
