n;m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;2;5;1.000000;1.338394;0.089226;-312.021510;-307.042849;2.449877;0.583280;0.005320;1.973675;2.298627;0.316854
2;3;6;1.000000;1.265658;0.090404;-310.204409;-304.230016;2.449877;0.544927;0.005473;2.006730;1.290164;0.524620
2;4;7;1.000000;1.307180;0.100552;-309.835452;-302.865326;2.449877;0.650334;0.004853;1.823063;4.730400;0.093931
2;5;8;1.000000;1.223563;0.101964;-308.648104;-300.682246;2.449877;0.582727;0.004891;1.889261;4.745807;0.093210
2;6;9;1.000000;1.124560;0.102233;-307.872712;-298.911122;2.449877;0.507494;0.004911;2.036620;4.016430;0.134228
3;2;6;1.000000;1.262139;0.090153;-310.124666;-304.150272;2.337746;0.546834;0.005500;2.005717;1.175971;0.758773
3;3;7;1.000000;1.261653;0.097050;-308.085246;-301.115120;2.337746;0.548507;0.005510;2.004850;1.099339;0.777234
3;4;8;1.000000;1.112542;0.092712;-310.408374;-302.442515;2.337746;0.526488;0.004815;2.068467;4.367407;0.224427
3;5;9;1.000000;1.100341;0.100031;-308.138145;-299.176554;2.337746;0.500255;0.004890;2.063007;3.733292;0.291741
4;2;7;1.000000;1.141329;0.087795;-312.309232;-305.339106;1.858017;0.543715;0.004683;2.005875;5.608665;0.230342
4;3;8;1.000000;1.107013;0.092251;-310.317010;-302.351152;1.858017;0.516425;0.004850;2.069443;4.348175;0.360931
4;4;9;1.000000;1.241237;0.112840;-304.918886;-295.957296;1.858017;0.546059;0.005441;1.950691;2.097631;0.717808
5;2;8;1.000000;1.108608;0.092384;-310.364092;-302.398233;1.658492;0.520229;0.004835;2.069312;4.463652;0.484761
5;3;9;1.000000;1.106541;0.100595;-308.275925;-299.314334;1.658492;0.513083;0.004859;2.067076;4.318724;0.504497
6;2;9;1.000000;1.103740;0.100340;-308.182231;-299.220640;1.720627;0.504043;0.004880;2.064128;5.224728;0.515330
