m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err
2;1.50246419e+01;1.03932185e-03;7.40109490e+01;3.53922464e+01;8.93753644e+01;5.98515663e+01;1.03013148e+01;6.37667736e+00;3.96831942e+00;2.35845269e+00;2.53865786e+00;1.68413293e+00;;;;;;;;;;;;;;;;;;;;;;
3;1.50245796e+01;1.09188209e-03;6.01792595e+01;7.18613510e+01;6.99762441e+01;1.06880982e+02;1.23908879e+01;1.00216920e+01;3.04729607e+00;4.78614786e+00;2.13853369e+00;2.50641392e+00;8.23744190e-02;3.49392119e-01;;;;;;;;;;;;;;;;;;;;
4;1.50247053e+01;1.13280435e-03;9.88828230e+01;7.69278544e+01;9.05732348e-01;2.15391759e+01;-1.83278395e+02;1.53872739e+02;5.62454169e+00;5.12405719e+00;-4.95957523e+00;3.84327676e+00;-4.79480686e+00;3.99866286e+00;4.06329028e-01;3.23759372e-01;;;;;;;;;;;;;;;;;;
6;1.50245623e+01;1.09878974e-03;1.63952442e+01;2.12335489e+02;-1.75342467e+01;7.52324461e+02;-3.64074881e+01;8.18044826e+02;1.32921707e-01;1.41295628e+01;-8.87151966e-01;3.66381165e+01;-1.51059180e+00;2.45749256e+01;5.31679665e-01;6.28103149e+00;-2.02679140e-01;2.43461550e+00;3.98994020e-02;5.64783926e-01;;;;;;;;;;;;;;
7;1.50240863e+01;1.34392867e-03;2.02537426e+03;4.89657468e+04;-7.96471740e+02;2.34495671e+04;-3.12765800e+03;8.18378871e+04;1.33842895e+02;3.25903408e+03;-1.80874934e+02;4.68512953e+03;2.07242826e+01;4.11824911e+02;-1.03962799e+02;2.56865084e+03;8.66625718e+01;2.15975257e+03;-4.08857844e+01;1.02608451e+03;8.55942964e+00;2.16547721e+02;;;;;;;;;;;;
8;1.50239890e+01;1.34418905e-03;7.49342230e+04;5.29498547e+06;-9.67355289e+04;8.26914743e+06;-4.77437730e+04;3.99437847e+06;4.98627431e+03;3.52407078e+05;-1.12089397e+04;8.87554115e+05;9.51561081e+03;7.22748671e+05;-1.33141338e+04;1.02719181e+06;1.34911871e+04;1.05323221e+06;-9.54819977e+03;7.56093275e+05;4.10565192e+03;3.30289157e+05;-7.94385018e+02;6.49484040e+04;;;;;;;;;;
10;1.50239875e+01;1.34398207e-03;1.06497983e+03;9.75113528e+03;8.97718256e+02;2.04941316e+04;-2.73616361e+03;4.39148059e+04;6.99143228e+01;6.48968163e+02;-6.49982351e+00;1.54143223e+03;-1.51418505e+02;4.21483683e+03;1.64057005e+02;4.64212620e+03;-3.13815601e+02;6.22062152e+03;4.99235139e+02;7.38514463e+03;-5.59513747e+02;6.91524611e+03;4.04567486e+02;4.54541569e+03;-1.68058110e+02;1.80748263e+03;3.03609215e+01;3.22124334e+02;;;;;;
11;1.50243980e+01;1.15798232e-03;-4.28777932e+01;1.68257420e+02;-3.19234793e+01;5.53372088e+02;1.19931088e+02;4.11461944e+02;-3.81329793e+00;1.11952656e+01;1.96448156e+00;4.74508182e+01;4.27238359e+00;7.62729225e+01;-2.36853684e+00;8.73514732e+01;2.53437730e+00;9.34320253e+01;-1.31807732e+00;6.73697491e+01;-1.08915369e-01;3.45214012e+01;-6.25377020e-01;6.16433317e+01;2.17761982e+00;6.08600202e+01;-1.83844720e+00;2.97759613e+01;5.16743351e-01;6.01170698e+00;;;;
12;1.50239929e+01;1.34315970e-03;6.58104325e+02;5.64628808e+03;-9.31804862e+02;1.32266004e+04;-1.72007894e+02;1.54105622e+04;4.28355242e+01;3.75777320e+02;-1.02391807e+02;1.18429189e+03;1.00915133e+02;2.14210094e+03;-1.20835869e+02;2.47130032e+03;8.66954785e+01;2.97355360e+03;-4.20446819e+00;3.13827118e+03;-5.41990190e+00;3.95429121e+03;-1.62647317e+02;6.23100834e+03;3.62232273e+02;7.26969871e+03;-3.51505399e+02;5.31510370e+03;1.69326637e+02;2.19535140e+03;-3.31330011e+01;3.92103575e+02;;
13;1.50241053e+01;1.32554954e-03;3.64283570e+02;3.87509884e+03;-1.82327419e+03;2.80581078e+04;2.10007285e+03;4.33185967e+04;2.32833065e+01;2.57912383e+02;-1.43143704e+02;2.11458211e+03;2.85256159e+02;5.01736238e+03;-3.26151783e+02;5.72502295e+03;4.02108498e+02;7.88426017e+03;-4.12413794e+02;1.11605626e+04;3.10524370e+02;1.78174054e+04;-1.02074647e+02;2.84798469e+04;-1.41397979e+02;3.64322095e+04;2.85947949e+02;3.31939974e+04;-2.47086680e+02;1.99931192e+04;1.11187413e+02;7.12611246e+03;-2.09390679e+01;1.13778371e+03
