m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err
2;4.67214436e+00;8.41545195e-04;-4.35284601e+00;2.92417164e+00;-2.16328704e+01;8.70252450e+00;2.10160363e+02;6.14494059e+01;-8.49110656e+02;3.83977509e+02;4.84770506e+03;1.90297256e+03;-1.22753412e+04;4.88624410e+03;1.72380933e+04;7.20901905e+03;-1.40823698e+04;6.23367125e+03;6.29642663e+03;2.94952356e+03;-1.19540275e+03;5.91100302e+02;-4.84546287e+00;6.39481939e-01;1.05623473e+01;1.70593004e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.67212917e+00;8.42643919e-04;-2.38791982e+00;1.08554641e+01;-2.32286127e+01;1.06349295e+01;2.41404162e+02;1.46742324e+02;-9.90533973e+02;6.89832156e+02;5.91182794e+03;4.91377559e+03;-1.46205741e+04;1.11945169e+04;2.02402639e+04;1.49300928e+04;-1.63970053e+04;1.20182235e+04;7.29410029e+03;5.40594474e+03;-1.38037874e+03;1.04442704e+03;-4.43198114e+00;2.30329559e+00;8.93263718e+00;8.39378841e+00;5.56470228e+00;2.62068686e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.67217532e+00;8.40388019e-04;-3.98813086e+01;2.73958048e+00;6.77092020e+01;1.65960136e+01;1.03392067e+02;6.22123602e+01;-1.94999729e+02;3.57940259e+02;-1.08903143e+03;2.10138022e+03;9.39371774e+03;7.81111287e+03;-1.12368132e+04;1.26544781e+04;7.13634286e+03;1.17204415e+04;-2.39191620e+03;5.92391199e+03;3.28351845e+02;1.26810693e+03;-1.24138521e+01;5.78230558e-01;5.73559067e+01;5.26668037e+00;-1.35244061e+02;1.91626911e+01;1.72106185e+02;3.36302323e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.67216084e+00;8.41126222e-04;-3.60872022e+01;5.75478707e+01;3.55224953e+01;4.58269660e+02;1.62640836e+02;6.84360894e+02;-1.64953731e+02;1.56716419e+03;-9.46740364e+02;4.80625405e+03;7.60591834e+03;1.05097165e+04;-3.41093068e+03;8.15587116e+04;-9.57026439e+02;8.72110095e+04;1.74319018e+03;4.45343951e+04;-5.37489409e+02;9.23487834e+03;-1.16037614e+01;1.23214777e+01;4.74108546e+01;1.46086635e+02;-8.97545091e+01;6.52431701e+02;6.75016070e+01;1.50381468e+03;1.24625804e+02;1.84804017e+03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.67217341e+00;8.42200067e-04;-3.59986011e+01;5.86279361e+01;3.70442241e+01;4.54081598e+02;1.41932673e+02;6.66098524e+02;-1.14733011e+02;1.68387667e+03;-9.28866001e+02;9.80586430e+03;7.23413551e+03;4.10249419e+04;-1.29965473e+03;1.29164253e+05;-1.09050051e+03;9.90859657e+04;1.46365671e+03;4.62143624e+04;-4.31279771e+02;9.13784228e+03;-1.15836439e+01;1.25512314e+01;4.76146233e+01;1.45926457e+02;-9.44461585e+01;6.40047559e+02;9.13324704e+01;1.49811260e+03;6.55891109e+01;2.14918769e+03;9.86152363e+01;2.20862916e+03;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4.67216262e+00;8.41871848e-04;-3.54829484e+01;1.36789438e+02;3.46518257e+01;1.05792447e+03;1.42636398e+02;1.51291817e+03;-1.91463495e+02;2.69951579e+03;-3.18949245e+02;7.92739670e+03;5.09062396e+03;4.46485287e+04;2.39941086e+03;2.22993915e+05;9.64825765e+02;1.55184215e+05;9.87164251e+02;8.08793788e+04;-3.25151624e+02;1.64320592e+04;-1.14753264e+01;2.92702628e+01;4.67806237e+01;3.39543525e+02;-9.35457767e+01;1.47650575e+03;9.55641359e+01;3.38421999e+03;5.55571389e+01;4.51453581e+03;7.92797640e+01;2.94447510e+03;1.75032581e+02;4.74041706e+03;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4.67214478e+00;8.42400236e-04;-3.58302126e+01;1.48111649e+02;3.65786042e+01;1.13975648e+03;1.55385318e+02;1.54096442e+03;-3.13015016e+02;2.78694349e+03;2.06701961e+02;8.01606825e+03;3.51542863e+03;6.57154852e+04;3.43914905e+03;2.98467330e+05;1.29829772e+03;2.12835999e+05;1.33665766e+03;1.11946336e+05;-4.43151983e+02;2.25363055e+04;-1.15523241e+01;3.16801224e+01;4.76121300e+01;3.65730879e+02;-9.58365830e+01;1.55905293e+03;9.50970655e+01;3.36637177e+03;6.97513790e+01;3.75761458e+03;6.05911331e+00;1.75689667e+03;2.54568095e+02;3.12597833e+03;-6.86162252e-01;1.00822223e+02;;;;;;;;;;;;;;;;;;;;;;;;
9;4.67213431e+00;8.41517350e-04;-3.66589134e+01;1.01644910e+02;4.17379868e+01;7.53336085e+02;1.56695735e+02;9.01640725e+02;-3.21091442e+02;3.13153243e+03;7.72680267e+01;7.16115156e+03;4.08378016e+03;2.35151769e+04;1.22399784e+03;1.42865174e+05;-1.49662966e+03;1.70770855e+05;1.29053683e+03;1.49755520e+05;-1.07779457e+03;4.13994411e+04;-1.17302578e+01;2.17456877e+01;4.94224151e+01;2.45181042e+02;-1.01760518e+02;1.01902377e+03;1.06246025e+02;2.08105092e+03;4.65074383e+01;2.05179688e+03;4.34509951e+01;4.18217844e+03;5.77844223e+01;5.66946923e+03;2.12702648e+01;5.50985297e+03;-5.51970976e+01;3.75663143e+03;;;;;;;;;;;;;;;;;;;;;;
10;4.67215882e+00;8.42110724e-04;-3.49698078e+01;1.60475551e+02;2.91058660e+01;1.19123179e+03;1.59751462e+02;1.49137251e+03;-1.79103616e+02;6.42627143e+03;-4.99171833e+02;1.81233173e+04;5.66510131e+03;5.07026636e+04;1.25546101e+03;1.66097625e+05;-5.73549834e+02;7.38237054e+04;3.54573845e+03;1.89201237e+05;1.70992841e+03;2.66652402e+05;-1.13658593e+01;3.43535457e+01;4.51797856e+01;3.88321092e+02;-8.43052060e+01;1.60251641e+03;6.93401661e+01;3.41839442e+03;9.27383444e+01;5.08878774e+03;6.72471549e+01;1.06658464e+04;8.28130809e+01;1.26424548e+04;4.64712412e+01;2.13800608e+04;1.01889891e+02;1.54948380e+04;2.98741550e+01;2.57357564e+03;;;;;;;;;;;;;;;;;;;;
11;4.67217196e+00;8.42659141e-04;-3.92810654e+01;1.21475476e+02;5.84119471e+01;1.03439230e+03;1.45554774e+02;2.20495612e+03;-2.36148876e+02;2.03656653e+03;-1.04880281e+03;1.99365254e+04;8.35681508e+03;9.98638329e+04;-6.33966145e+03;3.34794691e+05;-5.25260349e+03;4.71312595e+05;4.17180669e+02;4.65029634e+04;5.83165529e+03;3.33798349e+05;-1.22859488e+01;2.60032980e+01;5.48975778e+01;3.22387832e+02;-1.17924888e+02;1.58787686e+03;1.15419711e+02;4.32236935e+03;9.21395367e+01;7.34713606e+03;-5.26434560e+01;7.82694909e+03;-7.38227378e+01;6.40946698e+03;-1.62390657e+02;1.13250826e+04;4.65770872e+01;5.50952717e+03;2.20482488e+02;9.92199865e+03;-3.59544000e+01;1.27716706e+03;;;;;;;;;;;;;;;;;;
12;4.67214097e+00;8.41966462e-04;-3.63919674e+01;2.26990989e+02;4.09176247e+01;1.76947078e+03;1.51012957e+02;2.76046402e+03;-3.22793030e+02;5.88009835e+03;1.63132781e+02;1.67353531e+04;3.78820386e+03;7.32860922e+04;2.24922737e+03;3.68548180e+05;1.25573693e+03;4.92722517e+05;1.66924850e+03;2.52238647e+05;1.28835909e+03;4.23496684e+05;-1.16726584e+01;4.85725210e+01;4.90093032e+01;5.66142371e+02;-1.01549973e+02;2.49192679e+03;1.07407315e+02;5.65591789e+03;4.85521240e+01;6.76946709e+03;3.72080249e+01;5.48270951e+03;1.47945136e+02;9.53265673e+03;1.00293318e+02;1.47625416e+04;-3.05604397e+01;4.99942967e+03;6.36376258e+01;1.12453976e+04;3.88971374e-01;7.15718798e+01;-3.85969223e+00;4.12415973e+02;;;;;;;;;;;;;;;;
13;4.67215950e+00;8.42769457e-04;-3.29155149e+01;1.04797422e+02;8.47609157e+00;7.76605777e+02;2.18364561e+02;1.23988868e+03;-2.18336241e+02;4.15880219e+03;-3.54609995e+02;2.51716875e+04;4.56456287e+03;1.16601426e+05;3.46899416e+03;3.21328503e+05;1.66877052e+03;4.15867076e+05;-1.26695985e+03;2.57785536e+05;-1.06198259e+02;3.07537238e+04;-1.09278233e+01;2.24297621e+01;3.91489557e+01;2.52965467e+02;-5.22721221e+01;1.08536379e+03;-1.68077083e+01;2.73990995e+03;2.17141389e+02;5.31167239e+03;-2.03181155e+01;7.76851057e+03;1.55919775e+02;7.38711434e+03;4.52350697e+01;8.83842644e+03;5.04998949e+01;1.65735156e+04;-1.14706483e+02;1.79627260e+04;-5.47744298e+01;1.54405112e+04;1.19918450e+02;8.13945209e+03;-4.26143937e+01;1.81022119e+03;;;;;;;;;;;;;;
14;4.67216481e+00;8.42522452e-04;-4.38283306e+01;2.77949856e+02;9.16317187e+01;2.05620892e+03;1.49873593e+02;3.39207074e+03;-6.74300867e+02;6.42264779e+03;4.37542954e+02;3.20365179e+04;4.23638519e+03;7.37613550e+04;-5.16998462e+03;2.56666153e+05;-4.20159968e+03;3.57180411e+05;4.61687776e+03;6.21416618e+05;5.35439877e+03;4.87238919e+05;-1.32640545e+01;5.94845409e+01;6.60494466e+01;6.70663547e+02;-1.60150911e+02;3.01299366e+03;1.80993954e+02;7.19645259e+03;5.85902904e+01;8.59419790e+03;-1.98509948e+02;6.08605558e+03;-6.96607969e+01;9.84632277e+03;1.35575867e+02;1.18670479e+04;1.65306045e+02;1.79155062e+04;-1.64289256e+02;2.19780207e+04;1.06714044e+02;1.68868979e+04;3.33746318e+02;1.38831204e+04;-3.54177371e+02;1.08501078e+04;1.03088371e+02;2.78392159e+03;;;;;;;;;;;;
15;4.67217724e+00;8.41824920e-04;-3.80522485e+01;4.09653613e+02;4.83249735e+01;9.57223493e+02;1.78368892e+02;4.36675810e+03;-3.97703348e+02;4.52846750e+03;-1.57949175e+00;4.58826542e+02;3.60529203e+03;1.25709991e+05;7.93331078e+02;1.32779384e+05;-2.96654419e+03;3.71816444e+05;-1.41805091e+03;3.81690958e+05;2.59484796e+03;2.43216564e+05;-1.20255587e+01;8.76625564e+01;5.18908638e+01;5.43658614e+02;-1.04344965e+02;7.66812391e+02;8.64289375e+01;1.50700754e+03;9.31231869e+01;7.88373351e+03;-2.54022446e+01;7.51936795e+03;-2.99730596e+01;4.79450026e+03;2.22491704e+01;3.53745965e+03;2.54762602e+01;5.37160408e+03;-6.03144623e+01;9.59099640e+03;-1.76420828e+01;2.99760041e+03;6.79595562e+01;1.09106728e+04;8.02545817e+01;1.39441253e+04;-1.23168068e+02;8.52467045e+03;4.00759330e+01;2.07034003e+03;;;;;;;;;;
16;4.67216991e+00;8.42888975e-04;-3.37722538e+01;4.66408465e+02;1.92767516e+01;2.87277289e+03;1.72929400e+02;8.48006721e+03;-1.60504559e+02;2.75314161e+04;-4.93863766e+02;8.80240761e+04;5.88696120e+03;1.39303823e+05;6.88622537e+02;2.25237803e+05;6.06170447e+03;2.88480528e+06;-4.33899062e+03;2.26541740e+06;-1.93201716e+03;7.67678140e+05;-1.11084454e+01;9.98585681e+01;4.20322631e+01;9.88402589e+02;-6.98555762e+01;3.66561675e+03;2.65288658e+01;1.03122822e+04;2.22912348e+02;2.35010713e+04;-2.80568901e+02;6.14763354e+04;8.89235985e+02;1.61326390e+05;-8.20926797e+02;1.28041426e+05;3.31150850e+02;4.43343796e+04;7.45177131e+01;3.12154373e+04;-1.17470955e+02;6.02769275e+04;-1.42535261e+02;6.27521414e+04;-2.91426772e+02;1.61021321e+05;8.96284371e+02;2.42175113e+05;-6.99425659e+02;1.51669375e+05;1.83365737e+02;3.52894138e+04;;;;;;;;
17;4.67215004e+00;8.42462483e-04;-3.56580145e+01;1.68040189e+02;2.80388566e+01;1.36816005e+03;2.16054541e+02;2.44076991e+03;-3.64100473e+02;9.80719750e+03;-2.71629454e+02;3.24018726e+04;5.14305259e+03;4.74675719e+04;-2.00721148e+02;7.58708222e+04;-3.53212665e+02;1.54655885e+05;1.69688955e+03;7.92981776e+05;-1.23607085e+03;4.87126549e+05;-1.15152977e+01;3.59817891e+01;4.56320587e+01;4.32890332e+02;-7.51064376e+01;1.97550290e+03;9.57470523e+00;4.52740377e+03;2.38865207e+02;7.43033126e+03;-1.45081069e+02;1.71314580e+04;6.86774320e+01;2.55403810e+04;1.62275672e+02;2.90449908e+04;-2.28328384e+01;1.04819273e+04;-1.48819514e+02;2.52580867e+04;-3.86633675e+01;1.90396179e+04;1.42638383e+02;1.80922445e+04;4.33216811e+01;1.77565415e+04;-7.93361062e+01;2.36276867e+04;-1.04663098e+02;2.81437327e+04;1.42133194e+02;1.63603245e+04;-4.40256283e+01;3.83285378e+03;;;;;;
18;4.67219104e+00;8.42030372e-04;-3.83420760e+01;9.82931499e+02;4.52318574e+01;2.07379187e+03;2.30914332e+02;1.19050804e+04;-5.96878326e+02;1.48765116e+04;5.15516331e+02;1.97443100e+04;2.29243763e+03;1.92741361e+05;-2.74658510e+02;6.89314008e+04;1.37482276e+03;3.13795701e+05;1.95901319e+03;5.17263699e+05;-1.37339039e+03;3.07106268e+05;-1.20911682e+01;2.10380748e+02;5.16565949e+01;1.25845651e+03;-9.50128289e+01;1.55424002e+03;3.79494415e+01;5.09045113e+03;2.04041408e+02;2.05376257e+04;-2.07063374e+02;2.30726971e+04;5.49336437e+01;2.04159212e+04;1.98809291e+02;2.66863421e+04;8.89802482e+01;1.21644684e+04;-1.60981448e+02;1.69304654e+04;-1.03588624e+02;3.56067520e+04;1.82182592e+01;5.03609517e+03;1.33131044e+02;4.28953763e+04;8.07586637e+01;2.60608362e+04;-1.28687912e+02;5.06161601e+04;-9.58957798e+01;5.34799645e+04;1.33633264e+02;3.00886875e+04;-3.51265438e+01;7.25864942e+03;;;;
19;4.67216250e+00;8.42594936e-04;-3.86700863e+01;3.96845326e+02;5.69907688e+01;3.01212609e+03;1.47198156e+02;5.50182932e+03;-4.33021148e+02;1.38249908e+04;1.93672467e+02;3.94451458e+04;4.29858028e+03;8.97950333e+04;-3.65015935e+02;1.71248869e+05;3.43800698e+03;8.10131739e+05;2.18339116e+03;7.24949671e+05;5.23989483e+02;2.26476132e+05;-1.21589728e+01;8.49443673e+01;5.42932398e+01;9.72653908e+02;-1.19786556e+02;4.33759749e+03;1.24807619e+02;1.13277887e+04;8.23345621e+01;2.12303549e+04;-9.09361198e+01;3.08730108e+04;1.93919187e+02;3.69898898e+04;2.04719928e+02;4.20780618e+04;-6.46002250e+01;2.54655865e+04;-1.92754191e+01;1.16617168e+04;1.54361257e+01;6.64839375e+03;3.82211543e+01;1.06160513e+04;3.55195319e+01;2.19492668e+04;-4.50038723e+01;2.63503464e+04;-9.11073555e+00;7.66072084e+03;1.31685429e+01;8.65442431e+03;-4.05595472e+01;2.64602103e+04;5.88201596e+01;2.49445630e+04;-2.26174349e+01;7.09513820e+03;;
20;4.67216735e+00;8.42824453e-04;-2.79077463e+01;2.34981576e+02;-2.72795353e+01;1.29668246e+03;2.08269116e+02;5.69826092e+03;3.07255623e+02;1.71875548e+04;-2.39664474e+03;5.26445239e+04;1.09944917e+04;2.35192877e+05;-1.60292149e+03;7.76839808e+05;-3.02350334e+02;1.03379524e+05;-7.12130106e+02;2.63999552e+05;-8.84054871e+03;5.69976414e+05;-9.84989258e+00;5.02910780e+01;2.69955455e+01;4.61902184e+02;-6.32458529e+00;1.60492910e+03;-9.14781347e+01;7.19308160e+03;2.69785093e+02;2.10123415e+04;1.45752186e+02;3.88703774e+04;-5.48265711e+01;2.41603821e+04;-1.92621708e+01;9.72051852e+03;-1.76258527e+02;3.80810162e+04;-2.06441642e+02;5.37451098e+04;8.40551286e+01;4.67069562e+04;-1.19658006e+02;7.18914339e+04;1.91899416e+02;8.11074894e+04;-2.06909142e+02;8.78745210e+04;-3.10398686e+01;1.73645628e+04;9.54938351e+01;5.39729261e+04;1.22818174e+02;3.37956012e+04;-7.33981182e+01;4.68518310e+04;-9.47510122e+01;2.75377787e+04;5.71213317e+01;6.60330054e+03
