m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err
2;4.67212358e+00;8.42464470e-04;-5.02158998e+00;3.41971908e+00;-2.07741837e+01;9.77950382e+00;2.65907903e+02;1.54208243e+02;-1.17820144e+03;9.00685593e+02;6.81847231e+03;5.33113765e+03;-1.86512142e+04;1.69997643e+04;2.95352322e+04;3.23842400e+04;-2.88492627e+04;3.85222239e+04;1.71782419e+04;2.82020874e+04;-5.71319857e+03;1.16638515e+04;8.10641834e+02;2.08999989e+03;-4.99788704e+00;7.54035151e-01;1.17747864e+01;3.66599112e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.67213241e+00;8.42720415e-04;2.28614305e-01;4.16362098e+01;-2.53729609e+01;3.44453432e+01;2.25562976e+02;1.77776008e+02;-8.52140852e+02;1.43450361e+03;5.31383107e+03;6.38321012e+03;-1.15996656e+04;3.19169116e+04;1.29135993e+04;8.29845572e+04;-6.33218460e+03;1.19064112e+05;-8.14960412e+02;9.86710395e+04;2.20980562e+03;4.45656593e+04;-6.76524015e+02;8.52608539e+03;-3.87107520e+00;8.89244290e+00;6.24050671e+00;4.06740774e+01;1.12241421e+01;9.51842490e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.67215987e+00;8.37555959e-04;-4.00352113e+01;2.96890910e+00;6.74683743e+01;1.71369685e+01;1.26238636e+02;5.55857845e+01;-3.76985709e+02;4.08925551e+02;-6.96413947e+01;2.30926887e+03;5.10600634e+03;9.62173093e+03;-1.80354929e+03;2.10327237e+04;-5.42935641e+03;2.90826516e+04;7.73963917e+03;2.48025338e+04;-4.23110608e+03;1.18634548e+04;8.80184655e+02;2.43211441e+03;-1.24503748e+01;6.29240646e-01;5.76215443e+01;5.77414167e+00;-1.34694157e+02;1.95697917e+01;1.67030360e+02;3.15016464e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.67215852e+00;8.41700122e-04;-3.54699678e+01;1.27295331e+02;3.04048312e+01;1.01481971e+03;1.71794168e+02;1.53831393e+03;-1.60649853e+02;3.25260348e+03;-9.21335718e+02;9.43191884e+03;7.28361996e+03;2.69376588e+04;-1.93189286e+03;1.94528371e+05;-2.72648263e+03;2.16361480e+05;2.92539985e+03;1.23768161e+05;-9.72971293e+02;3.72673494e+04;6.95381059e+01;5.43919392e+03;-1.14719248e+01;2.72499727e+01;4.58160495e+01;3.23147140e+02;-8.25163194e+01;1.44435481e+03;5.06896524e+01;3.33158887e+03;1.45126581e+02;4.09173042e+03;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.67217034e+00;8.41666482e-04;-3.67753796e+01;9.07417399e+01;4.33265213e+01;6.42985144e+02;1.36989769e+02;6.44381061e+02;-1.93297046e+02;3.00533716e+03;-4.83217803e+02;6.76254085e+03;5.54184459e+03;4.68507048e+04;1.94094551e+03;2.01202437e+05;-5.25036108e+03;1.46282397e+05;5.17277884e+03;9.60945512e+04;-2.28852347e+03;4.79954219e+04;3.94043014e+02;1.09080330e+04;-1.17509978e+01;1.94197968e+01;4.96655291e+01;2.12625836e+02;-1.03792131e+02;8.23494835e+02;1.13935998e+02;1.54119585e+03;2.93991351e+01;1.72598863e+03;1.19744058e+02;3.86927529e+03;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4.67216728e+00;8.42348300e-04;-3.58008858e+01;1.79708393e+02;3.63900048e+01;1.28526873e+03;1.44902229e+02;1.31213721e+03;-1.94552296e+02;4.58974946e+03;-3.96765720e+02;1.00602415e+04;5.33446621e+03;5.51185905e+04;1.86478365e+03;2.46132582e+05;-9.15078583e+02;2.49119604e+05;2.15542209e+03;2.14429679e+05;-8.21198054e+02;1.16068915e+05;8.81149518e+01;2.57518555e+04;-1.15431105e+01;3.84533044e+01;4.74049791e+01;4.23507191e+02;-9.49379417e+01;1.68006762e+03;9.52097646e+01;3.39094111e+03;5.87335087e+01;3.87552166e+03;7.76457884e+01;2.72167519e+03;1.15504020e+02;7.44568218e+03;;;;;;;;;;;;;;;;;;;;;;;;
8;4.67216576e+00;8.42465840e-04;-3.49619733e+01;2.06454762e+02;3.08457825e+01;1.61029030e+03;1.42526410e+02;2.43667363e+03;-1.29585196e+02;4.64932247e+03;-5.80706453e+02;1.76950719e+04;5.73372886e+03;8.15095924e+04;2.40188367e+03;3.39193145e+05;-1.23097946e+03;2.00443148e+05;1.93953623e+03;1.31393520e+05;-5.76828166e+02;4.03569331e+04;3.70658248e+01;7.51130810e+03;-1.13630134e+01;4.41876403e+01;4.54904117e+01;5.15748027e+02;-8.83587354e+01;2.26576168e+03;8.70836344e+01;5.39048610e+03;5.34714602e+01;8.17371749e+03;1.31723576e+02;7.90969937e+03;7.76997295e+01;7.25090433e+03;1.10393185e+01;2.55789495e+03;;;;;;;;;;;;;;;;;;;;;;
9;4.67214845e+00;8.42346592e-04;-3.44605020e+01;1.58743860e+02;2.51051131e+01;1.37709593e+03;1.68255174e+02;3.30410964e+03;-2.04439008e+02;3.34806080e+03;-2.40574790e+02;2.03892831e+04;4.60568040e+03;6.30346060e+04;2.57410549e+03;1.29604805e+05;-3.86976662e+02;5.05432308e+04;-6.50415772e+02;9.52751535e+04;1.25332168e+03;8.19314246e+04;-5.08592075e+02;1.81626725e+04;-1.12585735e+01;3.39811374e+01;4.39837957e+01;4.26404643e+02;-7.97624286e+01;2.16820378e+03;6.48430864e+01;6.34898835e+03;7.90145231e+01;1.21375326e+04;9.90282815e+01;1.45345158e+04;5.51651631e+01;1.16368152e+04;2.56399655e+01;5.71353132e+03;-1.48774643e+01;2.04550293e+03;;;;;;;;;;;;;;;;;;;;
10;4.67215451e+00;8.42080878e-04;-3.53335098e+01;1.65925508e+02;3.18629259e+01;1.18793827e+03;1.63295839e+02;1.90681947e+03;-2.51365844e+02;6.20287634e+03;-1.23509596e+02;1.03136401e+04;4.38915777e+03;6.34400910e+04;2.03802317e+03;2.48128578e+05;-9.86428394e+02;1.23401693e+05;1.49069101e+03;1.69564689e+05;9.89096740e+02;1.50062578e+05;-3.43941338e+02;3.53189722e+04;-1.14454781e+01;3.54987408e+01;4.61634864e+01;3.90254463e+02;-8.85344940e+01;1.58731141e+03;8.05855252e+01;3.77843618e+03;6.81189095e+01;7.74862012e+03;7.17238094e+01;1.40413223e+04;6.16340989e+01;1.35198054e+04;3.03407789e+01;1.28417564e+04;3.15732387e+01;6.79541195e+03;1.87095080e+00;5.49516223e+02;;;;;;;;;;;;;;;;;;
11;4.67213759e+00;8.42220336e-04;-3.63846552e+01;2.15079007e+02;3.97442529e+01;1.55287763e+03;1.57177583e+02;1.70501637e+03;-3.08379569e+02;5.08556558e+03;6.68696682e+01;8.42803306e+03;3.97907912e+03;6.08006914e+04;2.03348154e+03;2.89478692e+05;-6.98722992e+02;1.34495180e+05;-1.68113541e+02;3.22834003e+04;8.48895354e+02;1.10803072e+05;-3.14297677e+03;1.66956104e+05;-1.16711944e+01;4.60145808e+01;4.87531010e+01;5.09675702e+02;-9.91872345e+01;2.05271489e+03;1.01417123e+02;4.26749643e+03;5.01146576e+01;5.32656288e+03;5.58879641e+01;4.28786209e+03;7.64647742e+01;9.61931787e+03;3.18032642e+01;5.47944364e+03;-4.89906988e+01;4.88736668e+03;-4.30684055e+01;4.53963221e+03;-5.21196453e+01;2.87036177e+03;;;;;;;;;;;;;;;;
12;4.67216517e+00;8.42681704e-04;-3.42643892e+01;2.92785149e+02;2.32692197e+01;2.12921544e+03;1.65638794e+02;2.14122709e+03;-1.36973936e+02;1.03580571e+04;-6.12167040e+02;1.98303630e+04;5.72277327e+03;1.05392672e+05;2.01693218e+03;4.88184400e+05;7.89033105e+02;3.08193422e+05;6.04059090e+02;2.72446726e+05;2.24787314e+03;8.14946165e+05;1.90663327e+03;4.59392121e+05;-1.12143556e+01;6.26597062e+01;4.33228065e+01;6.98227955e+02;-7.63199259e+01;2.76805713e+03;5.43519826e+01;5.38048467e+03;9.79387528e+01;7.08340069e+03;1.11233178e+02;1.54129778e+04;6.47920134e+01;1.24028813e+04;3.46146904e+01;9.01100453e+03;1.60485989e+02;2.30338574e+04;-1.10468434e+02;2.16108843e+04;1.71330550e+02;1.16085669e+04;-3.59601570e+01;1.74182121e+03;;;;;;;;;;;;;;
13;4.67215173e+00;8.42430225e-04;-3.74456651e+01;3.76178680e+02;4.52646319e+01;2.95990001e+03;1.77503368e+02;5.46026993e+03;-4.52996834e+02;9.87527379e+03;4.63451737e+02;3.87262557e+04;2.74405562e+03;8.80182302e+04;2.14365781e+03;2.29414753e+05;-1.81525777e+02;5.64168949e+04;3.16135604e+03;5.69322651e+05;2.61430211e+03;6.28593558e+05;3.44798394e+03;6.86871766e+05;-1.18993913e+01;8.05143947e+01;5.08898574e+01;9.45531495e+02;-1.03476234e+02;4.37228430e+03;9.29628132e+01;1.13607962e+04;9.19275939e+01;1.93067344e+04;-5.85764879e+01;2.32155786e+04;1.50475606e+02;2.51090865e+04;6.97472682e+01;2.16805025e+04;1.08831412e+02;1.88569098e+04;1.14026096e+02;2.24413040e+04;-6.83121262e+00;1.26584098e+03;1.01604460e+02;1.11686272e+04;-3.85800767e+01;3.40062267e+03;;;;;;;;;;;;
