m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err
2;4.38424281e+00;1.37131482e-03;-6.53893145e+00;2.94284725e+00;-2.93046526e+01;7.10127324e+00;4.43093789e+01;1.08148079e+02;6.43149531e+02;8.13466263e+02;-4.77824246e+03;4.78714101e+03;2.58050797e+04;1.78185885e+04;-7.77785845e+04;4.36987636e+04;1.40206327e+05;7.16301287e+04;-1.57224062e+05;7.75436918e+04;1.08186529e+05;5.31735400e+04;-4.19865294e+04;2.09200623e+04;7.05581573e+03;3.59736456e+03;-5.52489226e+00;6.74996162e-01;1.01868122e+01;1.97059016e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.38531851e+00;1.42863713e-03;-9.88013379e+00;5.77764251e+00;-5.59948593e+01;1.77784315e+01;-2.48000955e+02;1.90874261e+02;4.34248989e+03;2.09976850e+03;-2.77248726e+04;1.24203384e+04;1.28686754e+05;5.59047605e+04;-3.57358395e+05;1.50003373e+05;6.20082036e+05;2.53416853e+05;-6.85086224e+05;2.74971360e+05;4.70420466e+05;1.86828602e+05;-1.83513189e+05;7.25643170e+04;3.11304338e+04;1.23179775e+04;-6.22743459e+00;1.33653032e+00;3.91290380e+00;1.01802734e+01;2.79669967e+01;2.69715598e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.38453170e+00;1.25815106e-03;-3.51492757e+01;2.58750280e+00;5.12483672e+01;1.49782265e+01;1.32394146e+02;7.90261760e+01;-3.16368338e+02;5.95793307e+02;-4.85789211e+02;3.29813578e+03;4.74303910e+03;1.29401236e+04;-2.08612240e+03;3.25264965e+04;-1.98312264e+03;5.84059951e+04;9.02453240e+02;7.15890911e+04;2.39445229e+03;5.59060553e+04;-2.42610027e+03;2.49178371e+04;6.81109741e+02;4.81294578e+03;-1.20398443e+01;5.81058354e-01;5.45726540e+01;5.22935256e+00;-1.24575003e+02;1.84664405e+01;1.43752469e+02;3.05319720e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.38514549e+00;1.44085860e-03;-6.79154394e+00;1.37425577e+02;-1.58981049e+02;1.12859411e+03;2.88917136e+02;1.47253055e+03;1.41978524e+03;5.85517955e+03;-7.07653181e+03;1.79531484e+04;1.93252166e+04;2.75718427e+04;-1.89786768e+03;1.33177957e+05;1.27832314e+03;9.83096129e+04;-1.87822709e+02;2.21068915e+04;-6.70661138e+03;4.89296354e+04;7.66242995e+03;3.05969971e+04;-2.49667611e+03;8.06506535e+03;-5.54510887e+00;3.13698119e+01;-2.06404263e+01;3.84960235e+02;1.98588609e+02;1.73676515e+03;-5.63901163e+02;3.92029025e+03;8.45896589e+02;4.70442355e+03;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.38456195e+00;1.33580979e-03;-2.90939651e+01;4.34960472e+01;9.56065668e+00;3.89417863e+02;1.48001234e+02;1.05002194e+03;-3.76523338e+00;4.00789075e+02;-1.23407330e+03;7.41464631e+03;5.64743122e+03;2.28241028e+04;1.00696194e+03;7.12943391e+04;-4.38945319e+02;1.44069228e+05;-6.80736509e+02;1.02495834e+05;3.88996409e+02;4.06144783e+04;3.89981816e+02;2.62487689e+04;-2.45547061e+02;7.73616995e+03;-1.06568422e+01;9.91165314e+00;3.94039301e+01;1.28241942e+02;-6.56872988e+01;6.94582864e+02;3.84750759e+01;2.08009251e+03;7.16037038e+01;3.60503726e+03;1.23297856e+02;3.12398907e+03;;;;;;;;;;;;;;;;;;;;;;;;
7;4.38479128e+00;1.44788289e-03;2.28499865e+01;4.45862056e+02;-3.28822729e+02;5.87858285e+03;2.19329039e+02;3.32829488e+04;1.80475788e+03;1.45855992e+04;-2.14816837e+03;2.04650329e+05;-2.21962542e+03;2.75027213e+05;4.61520543e+04;2.66906194e+06;5.99527502e+04;9.01949455e+06;-9.25294833e+03;2.99027930e+06;-3.41909060e+04;7.53397976e+06;3.41634528e+04;5.17404967e+06;-1.00131201e+04;1.25491136e+06;1.19912782e+00;1.01701409e+02;-8.57825529e+01;1.54491027e+03;3.92850636e+02;1.28318491e+04;-7.53548463e+02;4.23190793e+04;7.60380638e+02;5.22663862e+04;2.24967188e+02;7.52486694e+04;2.80708352e+03;2.79247006e+05;;;;;;;;;;;;;;;;;;;;;;
8;4.38503035e+00;1.44918317e-03;3.30038895e+01;6.45085323e+02;-4.22246542e+02;7.68549923e+03;3.19200398e+02;3.19235336e+04;3.48886826e+03;2.67234349e+04;-1.15605877e+04;1.81251826e+05;2.71319114e+04;3.89824097e+05;-4.32475787e+02;9.40398521e+04;4.58197934e+04;2.02380203e+06;2.11601212e+04;3.66767920e+06;-3.16105463e+04;4.90179299e+06;3.49726754e+04;3.12421554e+06;-1.12815038e+04;7.55836329e+05;3.53108667e+00;1.47173042e+02;-1.17369038e+02;2.29759114e+03;5.50445881e+02;1.53508261e+04;-1.08263923e+03;5.32267343e+04;8.31028672e+02;1.03409271e+05;1.65016009e+03;1.06589007e+05;-1.37153238e+03;5.41518121e+04;2.62324622e+03;5.55095693e+04;;;;;;;;;;;;;;;;;;;;
9;4.38467245e+00;1.39896009e-03;-3.20826375e+01;1.68543111e+02;3.25351358e+01;1.21462602e+03;1.24982606e+02;1.79005266e+03;-1.87481865e+02;3.13904658e+03;-6.27951516e+02;1.56637269e+04;4.57738473e+03;6.90732686e+04;9.56739569e+02;2.21472257e+05;5.04729974e+03;5.41791130e+05;2.87743703e+03;4.78957633e+05;-3.36258438e+03;1.57239166e+05;-2.44302959e+01;4.78964116e+03;2.22873923e+02;6.21541906e+03;-1.13358067e+01;3.84360278e+01;4.73240589e+01;4.30798077e+02;-9.90020757e+01;1.88947847e+03;9.57198597e+01;4.66009158e+03;6.88034954e+01;7.12292710e+03;-5.33946227e+01;5.75166277e+03;3.08429889e+02;9.89612544e+03;1.56131110e+02;1.75402308e+04;-1.31425774e+02;1.74732123e+04;;;;;;;;;;;;;;;;;;
10;4.38488266e+00;1.35356473e-03;-3.37362886e+01;1.23933865e+02;4.19556987e+01;9.08725766e+02;1.09345817e+02;1.35973610e+03;2.98960006e+01;2.55117726e+03;-2.16071749e+03;1.03435991e+04;9.70762448e+03;7.20527071e+04;-6.76655947e+03;2.68032800e+05;-1.59746475e+03;2.82843290e+05;3.82745175e+03;3.05684786e+05;-2.01762679e+03;1.98307262e+05;4.72340400e+03;2.26143921e+05;-5.67634513e+02;2.42013769e+04;-1.17045669e+01;2.82618080e+01;5.06192800e+01;3.20157143e+02;-1.07712477e+02;1.40650549e+03;1.03470799e+02;3.25788917e+03;6.78370815e+01;3.95298042e+03;-4.92116606e+00;1.84886828e+03;-1.13199630e+01;2.24282912e+03;-1.97918591e+01;2.76244932e+03;-8.34557397e+01;1.17503400e+04;2.26826214e+02;1.68180913e+04;;;;;;;;;;;;;;;;
11;4.38462366e+00;1.39532012e-03;-4.15405786e+01;4.71682278e+01;8.97866297e+01;4.02052344e+02;1.29905844e+02;5.87808319e+02;-9.60370796e+02;3.20417101e+03;2.03356838e+03;1.70502189e+04;-2.14314538e+03;6.43999531e+04;1.18270412e+03;2.37932236e+05;7.63925257e+03;7.16820427e+05;1.21411890e+04;1.34973234e+06;8.65630013e+03;1.38629031e+06;1.97563789e+03;2.22719663e+05;6.63144589e+02;5.85916762e+04;-1.34995559e+01;1.07564739e+01;6.94784436e+01;1.34883757e+02;-1.83624844e+02;6.10259213e+02;2.35305317e+02;1.19661083e+03;2.86345854e+00;4.51580287e+02;-4.34771847e+02;6.82301423e+03;6.83991203e+02;1.86060800e+04;2.36047413e+02;2.67587621e+04;2.79423095e+02;2.20685999e+04;3.50745832e+02;3.63544721e+04;2.09852492e+01;4.41088114e+03;;;;;;;;;;;;;;
