m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;16;0.9999999850135622;31.477404970194137;0.4433437319745653;-1231.994261281628;-1192.5397313831547;4.04457947777989;3.4731329342356787;0.03835222256483206;1.1918934816280735;28.892280712711255;0.006780121691738267
3;17;0.9999999849457442;31.68599639274371;0.45265709132491017;-1229.6014481975758;-1187.6810101804479;4.04457947777989;3.4523503723296045;0.038164952401568364;1.1881315658682545;29.73243192130669;0.005145985288267465
4;18;0.9999999866340329;17.494655169039625;0.2535457270875308;-1237.9500136334611;-1193.5636674976786;4.04457947777989;4.674218092038274;0.028006024260497142;1.568347687419333;10.522045101166887;0.6507885999054963
5;19;0.999999986697501;17.405902032744834;0.2559691475403652;-1236.3641157947297;-1189.5118615402926;4.04457947777989;4.660203577749655;0.027744766064268234;1.5670372919632711;10.577021634378834;0.6462046374090686
6;20;0.9999999867666944;17.347471166494415;0.25891748009693155;-1234.8178304118717;-1185.49966803878;4.04457947777989;4.624881523765723;0.02754610133396529;1.551325249436162;10.685575206637806;0.6371392376703938
7;21;0.9999999867175495;17.355442546952364;0.2629612507113995;-1232.495334060392;-1180.7112635686458;4.04457947777989;4.65205830333737;0.027710008537463082;1.5612183212432746;10.58198674297244;0.6457903865779695
8;22;0.9999999867624311;17.349439560499686;0.2669144547769182;-1230.7898061882574;-1176.5398275778566;4.04457947777989;4.623632189733939;0.02764215354542099;1.5475553714528651;10.659442897558357;0.6393230876191369
9;23;0.9999999840777484;36.603093599503445;0.5719233374922413;-1212.7245005297934;-1156.008613800738;4.04457947777989;3.170612984325416;0.040402775049549255;1.1462320659786285;38.28339358978677;0.00025997672601984497
10;24;0.9999999866645705;17.42794191024405;0.2766339985753024;-1226.1490121409388;-1166.9672172932287;4.04457947777989;4.671896024317945;0.027819361069338022;1.5702509753677434;10.538660475734636;0.6494037762442283
11;25;0.999999986560197;17.50967295758624;0.2824140799610684;-1223.470732709845;-1161.8230297434802;4.04457947777989;4.725109622722101;0.02811925046847996;1.5797470066156993;10.209983387358454;0.6766797313775523
12;26;0.999999986758056;17.34094125954836;0.28427772556636655;-1222.7610574001885;-1158.6474463151694;4.04457947777989;4.632525401865095;0.027584740415028897;1.5559954993410037;10.670160970618314;0.6384274955523388
13;27;0.9999999866290763;17.491858286234276;0.29153097143723794;-1219.9177565920622;-1153.3382373883885;4.04457947777989;4.676956643093533;0.027977970310148592;1.566952982209673;10.490831626961652;0.6533886879523124
14;28;0.9999999866723139;17.413216207957262;0.2951392577619875;-1218.1995448232933;-1149.154117500965;4.04457947777989;4.668446560559758;0.02793681739227516;1.569386627320225;10.559046185967324;0.6477040242796213
15;29;0.9999999863003349;18.031384463107077;0.31088593901908756;-1213.8046217708502;-1142.2932863298672;4.04457947777989;4.717002811297277;0.02943150961395169;1.5500470135059556;10.215798714294015;0.676199692505201
16;30;0.9999999865592891;17.58933136064602;0.3085847607130881;-1213.4648563604567;-1139.487612800819;4.04457947777989;4.695658324632035;0.02830179961817958;1.57006860981712;10.41666844222194;0.659558367908996
17;31;0.9999999850627334;33.60099353351786;0.6000177416699618;-1202.2801812079097;-1125.8370295296177;4.04457947777989;3.2487988654512634;0.03708484628332531;1.1689903953461378;36.260386749840144;0.0005405546182630653
