m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;p13;p13_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err
2;4.38421014e+00;1.37713597e-03;-6.73273971e+00;3.19844058e+00;-2.97446125e+01;7.14778466e+00;4.66680201e+01;1.10639886e+02;6.40244595e+02;8.69513887e+02;-4.80533162e+03;5.19386016e+03;2.61488580e+04;1.98731530e+04;-7.91782761e+04;5.01185106e+04;1.43292837e+05;8.42468744e+04;-1.61398639e+05;9.34973546e+04;1.11754167e+05;6.60841782e+04;-4.38649200e+04;2.73280243e+04;7.61019378e+03;5.37988880e+03;-6.96828210e+01;2.84555367e+02;-5.57016482e+00;7.30304680e-01;1.02994269e+01;2.04662817e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.38507892e+00;1.42918521e-03;-7.58681255e+00;7.70096496e+00;-5.63449649e+01;2.10649428e+01;-2.15849762e+02;2.01770311e+02;3.85087117e+03;2.22579416e+03;-2.44484704e+04;1.31970769e+04;1.14074274e+05;6.01988811e+04;-3.14419251e+05;1.64060931e+05;5.36957474e+05;2.86287920e+05;-5.78475694e+05;3.33888346e+05;3.80953382e+05;2.64990967e+05;-1.36515156e+05;1.42136352e+05;1.72217081e+04;4.79879523e+04;1.74623126e+03;7.74649191e+03;-5.71585454e+00;1.77232415e+00;2.28248320e+00;1.25112035e+01;2.90844454e+01;3.19164776e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.38441400e+00;1.11868433e-03;-3.48146959e+01;3.34202920e+00;4.79687240e+01;1.91363602e+01;1.49320436e+02;3.22597563e+01;-4.03730181e+02;1.66300126e+02;-1.86742789e+01;9.01913645e+02;3.20237672e+03;4.50098448e+03;-6.04401006e+02;1.77879203e+04;-1.58430992e+03;3.52948496e+04;-5.06692720e+02;3.75013181e+04;1.64889520e+03;2.47660083e+04;6.19352367e+02;2.13836791e+04;-1.67950384e+03;1.34776789e+04;6.15792601e+02;3.25827717e+03;-1.19680264e+01;7.52460949e-01;5.37031041e+01;7.03246805e+00;-1.20362156e+02;2.44622655e+01;1.35544949e+02;3.48872553e+01;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.38499614e+00;1.38765495e-03;-3.00652788e+01;9.40018877e+00;1.34615366e+01;5.95004337e+01;1.37559966e+02;1.56537080e+02;2.31126492e+02;1.58369435e+03;-2.87288055e+03;8.36448571e+03;1.07986191e+04;3.41373893e+04;-4.57262055e+03;8.97446671e+04;-1.33148150e+03;1.31921233e+05;2.00895732e+03;1.21337454e+05;8.49014330e+02;1.36828705e+05;-2.18540270e+03;1.40353866e+05;1.26575576e+03;7.47555872e+04;-2.64811348e+02;1.59504491e+04;-1.08630927e+01;2.16301880e+00;4.05801625e+01;2.28951363e+01;-6.30392259e+01;8.83958201e+01;1.60615160e+00;1.74499008e+02;1.91889869e+02;2.20355454e+02;;;;;;;;;;;;;;;;;;;;;;;;
6;4.38458880e+00;1.32387211e-03;-3.18454158e+01;1.49166109e+02;2.56518489e+01;1.08262738e+03;1.60121590e+02;1.49526250e+03;-1.70704097e+02;4.02377451e+03;-8.65974312e+02;1.23688192e+04;4.77075269e+03;2.82303500e+04;1.08914881e+03;1.41415525e+05;-2.31036847e+03;1.04592205e+05;-1.10949875e+03;1.02400928e+05;2.26566768e+03;1.43682319e+05;6.32021028e+02;1.49072386e+05;-1.85500231e+03;9.17227397e+04;6.66673461e+02;2.22970349e+04;-1.12844063e+01;3.40300481e+01;4.56298208e+01;3.84055880e+02;-8.54640517e+01;1.69287523e+03;5.95045549e+01;3.93781983e+03;8.59911170e+01;4.85695668e+03;3.47442697e+01;2.41621085e+03;;;;;;;;;;;;;;;;;;;;;;
7;4.38487560e+00;1.45070506e-03;5.64268240e+01;1.85132624e+03;-5.79853876e+02;1.68914119e+04;4.92074791e+02;5.13350097e+04;3.01444402e+03;5.28954152e+04;-5.78944884e+03;3.04636243e+05;2.09929119e+03;4.56850909e+05;6.57308525e+04;4.25133002e+06;5.70607514e+04;1.19807305e+07;-1.25986726e+04;3.66184391e+06;-1.04961615e+04;2.67721344e+06;-1.61639353e+03;2.87977478e+05;1.49038907e+04;1.71066256e+06;-6.70357395e+03;6.81568812e+05;8.86358328e+00;4.22293658e+02;-1.74215664e+02;5.44990888e+03;7.75622922e+02;2.98488715e+04;-1.62297025e+03;8.38951025e+04;1.92173092e+03;1.13629094e+05;-2.68235203e+02;9.30388809e+04;3.55813985e+03;3.00521231e+05;;;;;;;;;;;;;;;;;;;;
8;4.38479528e+00;1.42405196e-03;-2.50668811e+01;6.94039959e+02;-8.91474030e+00;3.54457459e+03;9.52159401e+01;5.45021060e+03;2.14016346e+02;1.87432633e+04;-1.38920087e+03;6.14080748e+04;5.66133151e+03;2.34190275e+05;4.49088722e+03;5.35278949e+05;1.15475504e+04;2.71426119e+06;7.67067786e+03;1.90243248e+06;-3.26883062e+03;6.81932711e+05;-3.02407496e+03;6.40236153e+05;4.29960785e+03;5.13531795e+05;-1.41115849e+03;1.49835223e+05;-9.73051776e+00;1.58279917e+02;3.12047542e+01;1.44157638e+03;-4.62347514e+01;3.87741618e+03;2.76648489e+01;4.45550069e+03;7.11938185e+01;7.69718918e+03;1.31559941e+02;8.93291862e+03;4.46417172e+02;7.98951141e+04;3.35718906e+02;4.93196744e+04;;;;;;;;;;;;;;;;;;
9;4.38493301e+00;1.44379344e-03;-9.86388220e+00;3.16543484e+02;-1.11280711e+02;3.06638303e+03;1.15662085e+02;1.86215467e+04;1.05470554e+03;2.22101177e+04;-3.55272287e+03;1.33996284e+05;9.24505396e+03;3.68426275e+05;9.56603895e+03;1.26438074e+06;1.66714902e+04;3.76842122e+06;1.28820316e+04;2.40129775e+06;5.49481872e+03;1.24176475e+06;-3.09696726e+03;7.24117684e+05;5.97535157e+03;4.93600457e+05;-2.42061776e+03;1.94671533e+05;-6.25608625e+00;7.22025965e+01;-6.44156804e+00;8.71187113e+02;9.69126564e+01;6.67922934e+03;-2.20800759e+02;2.53252241e+04;2.28965489e+02;4.91507623e+04;4.49483162e+02;7.33044545e+04;4.76970480e+02;1.49082720e+05;3.17707721e+02;1.06137036e+05;7.23800428e+02;8.79203524e+04;;;;;;;;;;;;;;;;
10;4.38490313e+00;1.40681452e-03;-2.86410600e+01;1.32667784e+02;4.72140369e+00;7.71116399e+02;1.43838917e+02;8.09854520e+02;1.75878525e+02;3.14288985e+03;-2.18644196e+03;1.83667214e+04;7.97905068e+03;8.10068809e+04;1.40854065e+03;2.06975763e+05;-1.64596083e+03;3.90671911e+05;-2.00443791e+03;2.79816372e+05;-7.04413584e+03;8.81071983e+05;-6.40569811e+03;1.00665509e+06;3.27290096e+03;3.45846873e+05;-7.99054563e+02;6.41127502e+04;-1.05416533e+01;3.02475710e+01;3.74263537e+01;2.96058378e+02;-5.31225317e+01;9.72778377e+02;-9.29488346e+00;1.60011679e+03;1.88960721e+02;1.68469489e+03;3.12582320e+00;5.50422528e+02;1.58115147e+02;1.25604109e+04;-4.80919375e+01;9.27799377e+03;-3.11396627e+02;3.12936838e+04;-2.39614871e+02;3.32346977e+04;;;;;;;;;;;;;;
11;4.38474776e+00;1.42675520e-03;-2.54096012e+01;3.49109495e+02;-1.45029708e+01;1.78975588e+03;1.52290338e+02;3.37512783e+03;1.48376778e+02;8.52033010e+03;-1.61796771e+03;4.16092652e+04;6.18872774e+03;1.75352856e+05;3.71820778e+03;5.46209635e+05;5.03775736e+03;1.03575879e+06;4.96346866e+03;1.53786053e+06;-1.37657263e+03;4.83154261e+05;-3.77640710e+03;7.74477412e+05;1.76622561e+03;4.25297577e+05;-7.51664330e+02;1.16546836e+05;-9.81037574e+00;7.96154742e+01;3.03076596e+01;7.23690368e+02;-2.99238783e+01;2.09766362e+03;-4.32134550e+01;3.52502901e+03;2.09459901e+02;4.68157026e+03;1.48170263e+00;3.90595093e+02;3.11471927e+02;3.77188538e+04;2.38344590e+02;4.07946018e+04;-7.96202040e+01;2.27237026e+04;2.91737006e+01;9.11988870e+03;-8.51633479e+01;2.16876823e+04;;;;;;;;;;;;
