m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;p13;p13_err;p14;p14_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err
2;4.67217808e+00;8.41509175e-04;-2.62622507e+01;1.82748442e+00;-3.14362902e+01;4.20314447e+00;-5.67381083e+01;6.05015301e+01;3.65073364e+03;6.93171331e+02;-2.45175047e+04;4.38182432e+03;1.17916187e+05;1.89071231e+04;-3.42649464e+05;5.33177235e+04;5.81909004e+05;9.30015026e+04;-4.99804194e+05;8.79066258e+04;-1.55030312e+04;4.46516526e+04;5.12101200e+05;1.03051000e+05;-5.35499274e+05;1.06997951e+05;2.48817210e+05;5.17887519e+04;-4.59556911e+04;1.00346374e+04;-9.46377708e+00;3.86335456e-01;2.26023638e+01;1.83090199e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.67210074e+00;8.42791905e-04;-1.73156335e+01;6.70264929e+00;-3.29264150e+01;2.69265819e+01;1.47580015e+02;2.44350939e+02;5.01596450e+02;2.73828951e+03;-4.55184421e+03;1.60612896e+04;3.06370576e+04;7.09215215e+04;-1.03446589e+05;1.83846177e+05;1.86621436e+05;2.81818187e+05;-1.63917845e+05;2.24467006e+05;-3.21960357e+03;2.16892938e+04;1.62184813e+05;1.88467299e+05;-1.66946615e+05;1.88574463e+05;7.58714561e+04;8.40844929e+04;-1.36700732e+04;1.50027049e+04;-7.60341408e+00;1.45072974e+00;1.78535305e+01;1.20504998e+01;-4.65458672e+00;3.34021734e+01;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.67211931e+00;8.39429359e-04;-3.94078411e+01;3.92527102e+00;6.10838342e+01;1.94855441e+01;1.56225300e+02;6.00827803e+01;-5.09995146e+02;2.86993894e+02;6.64342679e+02;1.31148448e+03;2.55495711e+03;3.94636897e+03;2.66221384e+01;3.92580164e+03;-2.05834575e+03;1.58090456e+04;-2.82117181e+02;3.49014325e+04;1.58211584e+03;3.44455706e+04;6.69964028e+02;2.22137525e+04;-1.75156139e+03;2.76690236e+04;6.72085314e+02;1.79968791e+04;-1.77116112e+01;4.29197708e+03;-1.23212041e+01;8.39010502e-01;5.59761847e+01;7.18982839e+00;-1.26479280e+02;2.18515513e+01;1.50760043e+02;3.00364668e+01;;;;;;;;;;;;;;;;;;;;;;;;
5;4.67214167e+00;8.39426940e-04;-3.69301420e+01;3.01889811e+01;4.02926790e+01;2.23829656e+02;1.80685799e+02;2.98496514e+02;-3.51955403e+02;8.96340921e+02;-1.74291892e+01;3.22264659e+03;4.28539146e+03;6.44500223e+03;-7.24494405e+01;1.39250566e+04;-1.49625328e+03;4.25875463e+04;-6.59657365e+02;6.44147306e+04;4.47680290e+02;5.02010297e+04;1.86774365e+03;5.03731485e+04;-1.32943969e+03;5.10852003e+04;-3.03602132e+02;2.90606779e+04;3.21209151e+02;6.93264083e+03;-1.17883752e+01;6.45719660e+00;4.93476765e+01;7.28164270e+01;-9.62519821e+01;3.11464415e+02;8.07661692e+01;6.75622326e+02;9.14908769e+01;7.35473353e+02;;;;;;;;;;;;;;;;;;;;;;
6;4.67212626e+00;8.41845272e-04;-3.67852601e+01;7.79429627e+01;3.85960471e+01;6.15017221e+02;1.91892905e+02;1.19251108e+03;-4.13461861e+02;2.02108213e+03;3.14331011e+02;6.46991852e+03;3.12275108e+03;2.47211788e+04;1.16947857e+03;1.05871731e+05;-1.89552284e+03;1.61757347e+05;-1.48519636e+03;1.22988171e+05;1.61268817e+03;9.01822855e+04;8.41561851e+02;6.27344002e+04;-3.35959759e+02;6.05345475e+04;-9.76799916e+02;5.01724933e+04;5.06101291e+02;1.41450085e+04;-1.17594510e+01;1.66711521e+01;4.89636364e+01;1.95560090e+02;-9.41331466e+01;9.00570851e+02;7.63126102e+01;2.25082464e+03;9.14851881e+01;3.24097477e+03;-6.12026192e+00;2.30383507e+03;;;;;;;;;;;;;;;;;;;;
7;4.67215483e+00;8.42132671e-04;-3.68505268e+01;1.16435180e+02;4.16771669e+01;9.53823260e+02;1.62614834e+02;2.05733546e+03;-2.99169556e+02;3.54829357e+03;-1.70744329e+02;1.17478924e+04;4.71940133e+03;4.34396916e+04;1.06496595e+03;2.20108891e+05;-1.82165491e+03;4.52851894e+05;-1.06756691e+03;2.39136670e+05;4.04925342e+03;3.96173331e+05;-2.19012196e+03;3.17613278e+05;-4.91242080e+02;1.30958797e+05;7.58548604e+02;6.55725212e+04;-1.77113603e+02;1.80820498e+04;-1.17694559e+01;2.49176981e+01;4.94896650e+01;2.99369176e+02;-9.93997837e+01;1.40968191e+03;9.20474889e+01;3.54088359e+03;7.84355498e+01;4.78910361e+03;2.61377258e+01;4.36548563e+03;4.49258412e+01;1.02034426e+04;;;;;;;;;;;;;;;;;;
8;4.67216925e+00;8.42878900e-04;-2.88791090e+01;5.24594312e+02;-2.04083283e+01;3.98826774e+03;2.21110967e+02;5.10191759e+03;7.91710298e+01;1.97939271e+04;-1.33478232e+03;4.90984317e+04;7.12659577e+03;1.71413494e+05;3.85202575e+03;7.83431189e+05;3.86587683e+03;8.70114347e+05;2.94265022e+03;7.43127015e+05;4.28571218e+02;1.44576381e+05;2.36985372e+03;2.87332084e+05;-1.11631961e+03;3.86382332e+05;-8.52775667e+02;2.39057938e+05;5.06704943e+02;5.89568500e+04;-1.00609254e+01;1.12290239e+02;2.94563217e+01;1.28889313e+03;-1.56738430e+01;5.37899588e+03;-7.63657600e+01;1.12482537e+04;2.37014379e+02;1.42174991e+04;1.95285531e+02;2.74657774e+04;-6.99665102e+01;2.80423098e+04;4.27105119e+02;3.93060060e+04;;;;;;;;;;;;;;;;
9;4.67215757e+00;8.41940842e-04;-3.63312581e+01;2.62865796e+02;3.59591498e+01;2.08796526e+03;1.77692403e+02;3.23512724e+03;-2.82451269e+02;6.95526789e+03;-2.32845512e+02;2.14800178e+04;4.67587397e+03;3.90479411e+04;1.39393225e+03;2.87929443e+05;-3.36608088e+03;2.69280699e+05;-2.39004894e+03;3.10011555e+05;-2.10441916e+03;2.02505222e+05;2.33878816e+03;1.71223247e+05;-1.76535395e+03;1.06888300e+05;2.71053975e+02;3.98347769e+04;1.02860300e+02;8.99740442e+03;-1.16584673e+01;5.62583034e+01;4.78431818e+01;6.65023136e+02;-9.04933047e+01;2.97638034e+03;7.03258444e+01;6.77916663e+03;1.04000645e+02;7.77898232e+03;1.52268502e+01;2.07885122e+03;3.20501759e+01;6.76907355e+03;-7.97142616e+01;7.40709126e+03;-1.35390244e+02;6.21275241e+03;;;;;;;;;;;;;;
10;4.67214302e+00;8.41952688e-04;-3.66119571e+01;1.00895761e+02;4.02658192e+01;7.96718815e+02;1.61727193e+02;1.49949794e+03;-2.83394548e+02;3.97297498e+03;-1.90386715e+02;1.43054065e+04;4.94572606e+03;3.27151351e+04;-4.36980301e+02;8.36217464e+04;-8.52971708e+02;2.16882185e+05;-1.17100531e+03;2.38182953e+05;-1.88310419e+03;2.35180763e+05;-1.46554554e+03;2.04151794e+05;1.38321005e+03;1.89669764e+05;-1.19384774e+03;1.01856963e+05;3.65806853e+02;2.26068741e+04;-1.17192780e+01;2.16063074e+01;4.90235057e+01;2.54243881e+02;-9.84220115e+01;1.16016822e+03;9.55469537e+01;2.86798390e+03;6.20758871e+01;4.20551947e+03;4.04010719e+01;4.10187837e+03;1.60770688e+01;7.28216947e+03;-1.83552741e+01;5.74366808e+03;-8.28960727e+01;7.86311665e+03;-7.70949300e+01;6.13947758e+03;;;;;;;;;;;;
11;4.67213624e+00;8.42442853e-04;-3.66372980e+01;1.83799411e+02;3.90051402e+01;1.50046660e+03;1.78066390e+02;2.88430426e+03;-3.68415200e+02;5.88407977e+03;2.06759131e+02;2.83227103e+04;3.45150819e+03;6.57560798e+04;1.39326400e+03;8.88413313e+04;-1.14182376e+00;2.62841343e+02;-7.71376950e+02;1.42960598e+05;1.19945547e+03;1.90594659e+05;7.22128106e+02;2.53490410e+05;-9.39898910e+02;1.86097460e+05;-6.72375349e+02;9.64920507e+04;4.36345793e+02;2.22892853e+04;-1.17265049e+01;3.93515648e+01;4.88701021e+01;4.74397308e+02;-9.60194679e+01;2.25331000e+03;8.63469397e+01;5.87723940e+03;7.16182386e+01;9.74621678e+03;2.79095504e+01;1.22707472e+04;3.76743641e+01;1.67780861e+04;3.75730738e+01;1.61260113e+04;3.08641758e+01;9.22430224e+03;-2.84907175e+01;4.13118668e+03;-1.30309256e+01;1.97274259e+03;;;;;;;;;;
