m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;p13;p13_err;p14;p14_err;p15;p15_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err
2;4.67218028e+00;8.41553218e-04;-2.62395499e+01;1.90155958e+00;-3.13492459e+01;4.32865380e+00;-5.78018737e+01;6.16517462e+01;3.67123037e+03;7.16388035e+02;-2.47141674e+04;4.54175291e+03;1.19042570e+05;1.96615697e+04;-3.46781786e+05;5.55211240e+04;5.91845907e+05;9.64894750e+04;-5.15420552e+05;8.75410142e+04;-4.49020250e+01;1.69106727e+02;5.03517187e+05;9.50828975e+04;-5.33949072e+05;1.06538790e+05;2.49597547e+05;5.25992700e+04;-4.63076088e+04;1.03064121e+04;9.79360975e+00;3.47525524e+01;-9.45896916e+00;4.01766602e-01;2.25983129e+01;1.90181412e+00;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.67212722e+00;8.42858492e-04;-2.40432334e+00;1.12487082e+02;-3.35842576e+01;1.53018077e+02;1.90736445e+02;5.59936825e+02;-5.93287364e+02;4.06435445e+03;3.66443630e+03;1.51743523e+04;-5.42073971e+03;7.80684910e+04;5.79533616e+02;1.59431602e+05;4.91167132e+03;1.39450291e+05;5.22692944e+01;1.94610040e+04;-7.36863956e+03;2.45478300e+05;2.85291808e+03;5.12553955e+05;4.66351440e+03;4.83051566e+05;-3.39314080e+03;2.15141213e+05;-2.26883589e+02;5.15691847e+04;4.74287010e+02;1.40670658e+04;-4.43022900e+00;2.40513260e+01;6.40872962e+00;1.25188238e+02;1.11576471e+01;2.63945192e+02;;;;;;;;;;;;;;;;;;;;;;;;
4;4.67211357e+00;8.41964437e-04;-3.92672386e+01;5.47180921e+00;6.02074416e+01;2.99677371e+01;1.54734106e+02;1.33855276e+02;-4.90515982e+02;1.22777792e+03;5.76578104e+02;6.37198157e+03;2.97350277e+03;2.62492027e+04;-9.41072414e+02;5.89709966e+04;-1.05226689e+03;7.10819072e+04;-5.94536560e+02;4.89644220e+04;1.84487142e+03;6.85163695e+04;-8.36029930e+02;7.27735257e+04;4.75082614e+02;4.82983943e+04;-6.98428832e+02;2.43189735e+04;2.99629584e+02;5.83445640e+03;-4.68424415e-01;2.41001225e+02;-1.22911481e+01;1.18168859e+00;5.56676083e+01;1.14602488e+01;-1.25579620e+02;3.46197824e+01;1.50288547e+02;3.93635737e+01;;;;;;;;;;;;;;;;;;;;;;
5;4.67211765e+00;8.41857825e-04;-3.67748844e+01;2.64920844e+02;4.01491699e+01;2.00669267e+03;1.78122736e+02;2.60627563e+03;-3.69020358e+02;8.37852690e+03;1.25875044e+02;2.80289732e+04;4.10809251e+03;4.04927243e+04;-1.02191367e+03;1.46214455e+05;-1.00442643e+03;1.47444500e+05;1.08558211e+03;2.00040076e+05;-1.37846240e+03;1.40316174e+05;-3.47288476e+01;5.57174030e+03;3.02387717e+03;1.17411281e+05;-2.97803317e+03;9.47092419e+04;7.74305647e+02;4.07867976e+04;6.82670237e+01;1.47349704e+04;-1.17570073e+01;5.67112468e+01;4.92639318e+01;6.50338086e+02;-9.76378880e+01;2.81027720e+03;8.98613498e+01;6.19601458e+03;7.21238306e+01;7.10733081e+03;;;;;;;;;;;;;;;;;;;;
6;4.67214977e+00;8.42048872e-04;-3.74688394e+01;1.55365301e+02;4.53445919e+01;1.18291373e+03;1.70244253e+02;1.79728700e+03;-3.76112069e+02;4.63914402e+03;1.50458265e+02;1.55061731e+04;3.54586293e+03;4.57006455e+04;1.70503503e+03;1.68480592e+05;-1.83639376e+03;2.67048530e+05;-2.11992578e+03;2.76144458e+05;1.78697599e+03;1.51307471e+05;1.78926176e+03;2.63815799e+05;7.95063847e+02;1.53952055e+05;-5.74664305e+03;1.49287034e+05;4.76064750e+03;1.19157826e+05;-1.24039427e+03;2.99821170e+04;-1.19033612e+01;3.32460276e+01;5.08700891e+01;3.81606628e+02;-1.03884178e+02;1.66309727e+03;1.00463133e+02;3.78574716e+03;5.70050327e+01;4.90467635e+03;4.15675906e+01;4.29184696e+03;;;;;;;;;;;;;;;;;;
7;4.67214890e+00;8.42199687e-04;-3.55251829e+01;2.86713999e+02;3.28119174e+01;2.02239139e+03;1.63671131e+02;2.41920643e+03;-2.58515202e+02;8.76276240e+03;-8.31504412e+01;1.96776456e+04;4.31609086e+03;7.66637541e+04;1.74649521e+03;3.12276248e+05;1.06311835e+03;2.32321649e+05;-1.16933089e+03;2.30747869e+05;1.71571496e+03;2.14481484e+05;-1.18499216e+03;1.42041286e+05;-4.89588420e+02;1.04453536e+05;2.68873759e+03;3.25404358e+05;-2.63843277e+03;3.07349695e+05;8.36605709e+02;9.06511670e+04;-1.14866446e+01;6.13562070e+01;4.65310968e+01;6.69424266e+02;-8.97563952e+01;2.64568044e+03;8.29605292e+01;5.55032444e+03;6.74547818e+01;7.71927542e+03;5.80523017e+01;7.64434112e+03;1.12103545e+02;1.26714213e+04;;;;;;;;;;;;;;;;
8;4.67210928e+00;8.41502427e-04;-3.85172912e+01;3.30613654e+02;5.12114970e+01;2.49966357e+03;1.92374190e+02;3.98247441e+03;-5.61641857e+02;8.64005065e+03;7.39386415e+02;4.30033123e+04;2.22273161e+03;8.84554997e+04;2.35391411e+02;5.16252717e+04;-8.64837796e+02;1.50909032e+05;6.22802229e+02;7.11304970e+04;3.20026188e+03;1.14723112e+05;8.52344626e+02;2.09957210e+05;-2.94228723e+03;2.03002572e+05;1.06097789e+03;1.02715771e+05;1.11908736e+02;2.30630613e+04;-5.45681026e+01;1.12181404e+04;-1.21320560e+01;7.07689292e+01;5.31940407e+01;8.10367469e+02;-1.10072476e+02;3.65000794e+03;1.00312662e+02;8.87760520e+03;8.43663201e+01;1.22330144e+04;-6.78194761e+01;6.98520102e+03;-2.22572426e+01;3.94231668e+03;1.65633072e+02;7.31852654e+03;;;;;;;;;;;;;;
9;4.67212653e+00;8.42422312e-04;-3.74341099e+01;3.08214631e+02;4.49633840e+01;2.42107349e+03;1.80301732e+02;4.13336571e+03;-4.66972428e+02;8.23239744e+03;5.82063993e+02;4.00083690e+04;2.49336145e+03;6.70084007e+04;1.10020196e+03;1.27699952e+05;2.95572147e+02;8.71117170e+04;8.93400080e+02;2.08075715e+05;1.79627980e+03;2.72708883e+05;-7.39883695e+02;2.03642696e+05;9.57818182e+02;1.97184425e+05;-6.92734940e+02;1.29517728e+05;-2.96977118e+02;8.93274812e+04;2.87839979e+02;2.68373497e+04;-1.18988429e+01;6.59605104e+01;5.08962113e+01;7.73982140e+02;-1.04010375e+02;3.54695989e+03;1.00207954e+02;8.47599192e+03;6.34414814e+01;1.02098752e+04;-1.94994552e+01;6.01313291e+03;5.63064767e+01;1.75175171e+04;8.98433495e+01;2.21469264e+04;2.84026852e+01;1.22916169e+04;;;;;;;;;;;;
10;4.67210464e+00;8.42500284e-04;-3.57947292e+01;3.87444960e+02;3.14566806e+01;2.94441716e+03;1.98456766e+02;4.26006965e+03;-4.06007673e+02;1.27025662e+04;4.63150018e+02;4.49505463e+04;2.62554752e+03;8.04144943e+04;1.44792867e+03;1.66070145e+05;7.92536919e+01;2.24106909e+04;-9.69169769e+02;1.20917895e+05;1.32754448e+03;1.79692928e+05;3.81310064e+02;1.48176730e+05;3.68388946e+02;1.20821046e+05;1.69640787e+02;5.64468998e+04;-1.28884599e+03;8.57160716e+04;6.35739903e+02;3.85803936e+04;-1.15493461e+01;8.29318333e+01;4.66951996e+01;9.52475725e+02;-8.61983984e+01;4.16420396e+03;6.78439647e+01;9.48441369e+03;8.09110980e+01;1.20441894e+04;2.91353364e+01;7.42569917e+03;-4.39618213e+00;2.38551281e+03;4.99653531e+01;8.59055716e+03;3.22428470e+01;7.56370129e+03;-5.42738041e+00;2.67693490e+03;;;;;;;;;;
11;4.67213557e+00;8.42357223e-04;-3.47595130e+01;1.47471277e+02;2.50033290e+01;9.66213640e+02;1.89718889e+02;1.54990330e+03;-2.87557098e+02;7.17648445e+03;7.01557129e+00;1.60191269e+03;3.90738821e+03;5.06625878e+04;1.31726763e+03;2.16703599e+05;4.58388643e+02;1.82146920e+05;-7.42808518e+02;2.06925817e+05;3.16012272e+02;7.80640448e+04;9.05318282e+02;3.12298232e+05;2.32481110e+03;5.81995023e+05;-9.74063233e+02;3.86322170e+05;-7.68246906e+02;1.41181628e+05;5.05778335e+02;2.57048149e+04;-1.13248278e+01;3.15440129e+01;4.43192056e+01;3.27202606e+02;-7.78725695e+01;1.18468282e+03;5.33340139e+01;2.62201891e+03;9.85487741e+01;6.50202915e+03;4.62298336e+01;1.24949950e+04;3.59033525e+01;7.93365486e+03;1.96888017e+01;6.76988892e+03;1.89605271e+01;6.23599312e+03;4.59749434e+00;1.59607517e+03;5.11987825e+01;6.82236075e+03;;;;;;;;
