m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;p13;p13_err;p14;p14_err;p15;p15_err;p16;p16_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err
2;4.38563143e+00;1.29438694e-03;-2.06534222e+01;1.66299616e+00;-3.22986772e+01;4.49790475e+00;-1.44260462e+02;7.06756576e+01;3.79301969e+03;7.57793254e+02;-2.46713268e+04;4.73569758e+03;1.10808094e+05;2.03574339e+04;-2.99946718e+05;5.84323682e+04;4.72214195e+05;1.09956091e+05;-3.66329383e+05;1.35164043e+05;-3.34742191e+04;1.26571477e+05;3.35037599e+05;1.46106352e+05;-2.76339659e+05;1.51146079e+05;7.59283238e+04;1.02193954e+05;8.93835783e+03;4.71927045e+04;-4.47079719e+03;1.72624938e+04;-1.00734796e+03;3.54304724e+03;-8.67627330e+00;3.71895898e-01;1.91057568e+01;1.63457511e+00;;;;;;;;;;;;;;;;;;;;;;;;
3;4.38559212e+00;1.37889090e-03;-1.79416524e+01;3.55528543e+00;-4.62314040e+01;1.45923190e+01;-1.54688985e+02;1.30914431e+02;3.58881196e+03;1.26790936e+03;-2.13699414e+04;7.61103362e+03;9.08370684e+04;3.48285158e+04;-2.15991223e+05;1.15315630e+05;2.55500618e+05;2.90627690e+05;-4.31527857e+04;5.20793129e+05;-2.51121227e+05;6.07096763e+05;2.50030847e+05;3.86391372e+05;-1.61850737e+02;1.62834292e+03;-1.09510024e+05;2.38124510e+05;2.63923824e+04;2.23664454e+05;2.74015827e+04;9.90521984e+04;-1.17535219e+04;1.83172384e+04;-8.05991161e+00;8.24613025e-01;1.35823104e+01;7.06038925e+00;1.24236469e+01;1.66954546e+01;;;;;;;;;;;;;;;;;;;;;;
4;4.38404859e+00;1.22375211e-03;-3.39210265e+01;5.29222731e+00;4.05044882e+01;2.39097560e+01;1.71946947e+02;7.15263454e+01;-4.99094644e+02;3.66608179e+02;5.20509695e+02;1.73185367e+03;1.92408000e+03;5.49370921e+03;-1.28450600e+02;6.29893833e+03;-8.60206156e+02;1.05704903e+04;-1.44791428e+02;1.88831776e+04;-2.71997270e+02;4.17939728e+04;9.03938527e+02;4.99951108e+04;3.28762235e+02;2.65446163e+04;-8.93926467e+02;2.11251925e+04;2.76604765e+02;1.26904477e+04;-7.58383367e+01;6.53456567e+03;6.99277861e+01;2.48043297e+03;-1.17748098e+01;1.19910999e+00;5.15494606e+01;9.80449320e+00;-1.12080806e+02;3.04554405e+01;1.24309880e+02;4.83382537e+01;;;;;;;;;;;;;;;;;;;;
5;4.38416826e+00;1.28880297e-03;-2.92187900e+01;1.61382573e+01;4.19106685e+00;1.00230764e+02;2.08818229e+02;1.09812230e+02;-2.53690966e+02;1.17042711e+03;-3.04966089e+02;4.84162339e+03;3.36084201e+03;1.49721855e+04;5.63775364e+02;2.16709080e+04;5.30909111e+01;8.58712891e+03;-1.06263820e+03;4.53437052e+04;-6.30526412e+02;6.25277559e+04;1.45188164e+02;2.74865643e+04;1.35133506e+03;5.67269677e+04;2.34687999e+02;3.50729133e+04;-7.89962746e+02;6.64356764e+04;-5.35670374e+02;4.99215622e+04;4.83946877e+02;1.25333438e+04;-1.06987334e+01;3.68928702e+00;3.88101907e+01;3.80474233e+01;-5.62215698e+01;1.46484919e+02;2.80837564e+00;2.76682817e+02;1.35827010e+02;2.58406922e+02;;;;;;;;;;;;;;;;;;
6;4.38446340e+00;1.35392521e-03;-3.00858590e+01;3.18737465e+02;1.41741873e+01;2.13728621e+03;1.66212891e+02;1.81800919e+03;-1.43559548e+02;1.00926269e+04;-6.82864704e+02;1.73351962e+04;4.01805339e+03;5.88071467e+04;1.98046776e+03;3.10217688e+05;-1.08310729e+03;1.56719357e+05;-4.68024215e+02;8.21172148e+04;-3.77886665e+02;8.16469717e+04;7.51920256e+02;1.12071465e+05;3.32190949e+02;4.41094888e+04;2.00986212e+02;4.16832831e+04;-9.06924429e+02;6.50798512e+04;2.65846932e+02;4.43638718e+04;8.65876220e+01;1.45880540e+04;-1.08870847e+01;7.26968812e+01;4.15423807e+01;7.79948689e+02;-7.16469683e+01;3.13356549e+03;4.49541728e+01;6.23267562e+03;6.80893146e+01;5.56942146e+03;9.11742957e+01;4.70336778e+03;;;;;;;;;;;;;;;;
7;4.38448507e+00;1.36489563e-03;-3.04170335e+01;1.44376075e+02;1.60857165e+01;1.00060929e+03;1.67866542e+02;1.64162415e+03;-1.58002865e+02;5.30507781e+03;-7.09645600e+02;1.59581049e+04;4.22428195e+03;5.54684756e+04;1.25247409e+03;1.51819119e+05;-1.00597502e+02;2.16540169e+04;-9.85641471e+02;8.30121139e+04;-2.74366423e+02;4.71875066e+04;6.79315447e+02;9.91021709e+04;1.18861518e+03;2.13152258e+05;-7.29795062e+02;1.79038448e+05;-1.11618295e+03;1.61586334e+05;9.79050475e+02;1.11740082e+05;-1.81759129e+02;2.79166816e+04;-1.09620388e+01;3.29336611e+01;4.22635416e+01;3.59991920e+02;-7.35492917e+01;1.54477902e+03;4.40543128e+01;3.81801161e+03;8.16418414e+01;6.75074199e+03;5.85929877e+01;9.33212977e+03;2.50552735e+01;4.92236242e+03;;;;;;;;;;;;;;
8;4.38445566e+00;1.37791363e-03;-2.97864898e+01;2.43439823e+02;1.26643464e+01;1.41858939e+03;1.69137756e+02;2.73255742e+03;-1.82296113e+02;1.19867159e+04;-4.64840392e+02;1.59006936e+04;3.38811828e+03;1.05783021e+05;2.45676980e+03;3.33960537e+05;1.07074336e+03;1.84955103e+05;-1.48847576e+02;4.01139742e+04;-2.32184417e+02;3.94480107e+04;9.13394865e+02;5.41113630e+04;-1.74920428e+02;4.49285528e+04;1.80565249e+02;6.19399291e+04;-5.15791171e+01;1.89961001e+04;-5.39796531e+02;5.90693919e+04;3.25480244e+02;2.82605239e+04;-1.08195975e+01;5.55159822e+01;4.09673604e+01;5.43613209e+02;-6.98646166e+01;1.91017135e+03;4.03882622e+01;4.57542969e+03;8.05724607e+01;1.24409581e+04;5.54586614e+01;2.42246856e+04;7.33041041e+01;1.63072903e+04;5.53996113e+01;1.05851029e+04;;;;;;;;;;;;
9;4.38442641e+00;1.35719402e-03;-3.45825140e+01;2.57431577e+02;4.34732942e+01;1.69400221e+03;1.72399136e+02;1.89176220e+03;-4.22497801e+02;9.41348727e+03;-1.58274912e+02;3.00816116e+04;3.51561381e+03;2.94848495e+04;-6.80915848e+02;1.01561500e+05;-1.15893848e+03;1.42676824e+05;1.78118191e+03;3.71712619e+05;2.92198350e+03;3.15293240e+05;3.18665714e+02;3.51181335e+04;1.67747228e+03;3.45937064e+05;-4.53157229e+03;5.04882216e+05;1.03075240e+03;3.74989556e+05;1.95949160e+03;1.95307784e+05;-9.24933030e+02;4.93910148e+04;-1.19146528e+01;5.87181646e+01;5.24520665e+01;6.22811778e+02;-1.10261840e+02;2.58423801e+03;9.71783995e+01;5.44990815e+03;6.97051978e+01;5.73877919e+03;-3.36136453e+01;1.25832876e+04;-7.34752119e+01;2.17158480e+04;1.94685124e+02;2.25282347e+04;3.35805551e+01;1.14152205e+04;;;;;;;;;;
10;4.38458114e+00;1.40610827e-03;-3.36856946e+01;2.78362687e+02;3.70661088e+01;2.05522684e+03;1.62458747e+02;3.47517623e+03;-2.28829181e+02;6.84978535e+03;-9.88423991e+02;2.70493178e+04;5.67559805e+03;5.60689407e+04;-1.75472127e+03;2.97029439e+05;-3.97134450e+03;4.70465916e+05;-1.22685512e+03;1.80261832e+05;2.70396599e+03;5.13406289e+05;3.33876415e+03;4.54025975e+05;-6.15435500e+02;1.20247579e+05;-2.39918493e+03;2.44807093e+05;9.54840952e+02;1.37029720e+05;8.85853018e+02;9.20249486e+04;-4.77655647e+02;2.85781412e+04;-1.17041459e+01;6.34930460e+01;4.99146078e+01;7.23775303e+02;-9.95800042e+01;3.31693292e+03;7.63351359e+01;8.20301108e+03;9.22384298e+01;1.05495126e+04;-1.71473986e+01;3.08651664e+03;-6.80047780e+01;1.12149090e+04;-4.72661888e+01;1.24007102e+04;-3.90929396e+00;1.14256942e+03;1.10341184e+02;7.41814498e+03;;;;;;;;
11;4.38461152e+00;1.41562433e-03;-3.10246996e+01;2.44075420e+02;1.97131490e+01;1.67900457e+03;1.61875968e+02;2.53334692e+03;-1.05566671e+02;9.22580591e+03;-1.07038315e+03;1.94234902e+04;5.10606836e+03;8.10033380e+04;1.19408516e+03;3.34626602e+05;-1.77497297e+03;4.90766819e+05;-8.26343973e+02;2.30209127e+05;-5.99413371e+02;1.45351361e+05;4.07525663e+03;3.35734277e+05;-2.02087204e+03;3.20781365e+05;1.06830678e+03;3.23358963e+05;-4.89911990e+03;4.93080183e+05;4.73831608e+03;3.46385006e+05;-1.38990027e+03;8.61286666e+04;-1.10962886e+01;5.56729341e+01;4.34817157e+01;6.05144873e+02;-7.68221163e+01;2.52124879e+03;4.49873590e+01;5.54860986e+03;8.72599813e+01;7.36601355e+03;7.60057171e+01;9.65776750e+03;-1.53251524e+01;6.32656444e+03;-3.03656894e+01;8.63840051e+03;2.70988551e+01;9.63888938e+03;4.76422418e+01;1.03954551e+04;-4.86527093e+01;1.16872095e+04;;;;;;
