m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;p13;p13_err;p14;p14_err;p15;p15_err;p16;p16_err;p17;p17_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err
2;4.38568569e+00;1.33033899e-03;-2.09284053e+01;1.72444521e+00;-3.25789491e+01;5.40095852e+00;-1.28449967e+02;8.15951125e+01;3.54919293e+03;9.13210749e+02;-2.20651143e+04;5.66540566e+03;9.38518377e+04;2.34428993e+04;-2.27200181e+05;6.26942530e+04;2.63727621e+05;1.10227157e+05;2.27166009e+04;1.64218643e+05;-4.58565702e+05;2.45958969e+05;4.77831036e+05;2.15846343e+05;-3.24354090e+02;1.24176772e+03;-3.36341154e+05;1.85657005e+05;2.06844532e+05;1.62115351e+05;1.76062312e+04;7.77252919e+04;-5.61880437e+04;4.73353726e+04;1.50269269e+04;1.24832352e+04;-8.73834450e+00;3.81891467e-01;1.93485284e+01;1.70098842e+00;;;;;;;;;;;;;;;;;;;;;;
3;4.38558242e+00;1.33817239e-03;-2.41014793e+01;2.98696641e+00;-2.16299641e+01;1.19222020e+01;-6.45340036e+01;1.04974465e+02;3.12142758e+03;9.79215404e+02;-2.00392627e+04;5.40437243e+03;8.56667425e+04;2.11483213e+04;-2.12010324e+05;5.07658524e+04;2.54388210e+05;6.92896839e+04;-3.34709404e+03;1.35372983e+04;-3.47683601e+05;2.17913426e+05;2.48443085e+05;4.81175384e+05;2.45339805e+05;5.23289321e+05;-3.66101500e+05;2.73813053e+05;-4.73075347e+04;1.26309783e+05;3.27401623e+05;1.68595748e+05;-2.13652109e+05;8.65314116e+04;4.60110864e+04;1.67226260e+04;-9.46823572e+00;6.89279493e-01;2.51086010e+01;5.73791084e+00;-1.16809142e+01;1.28509552e+01;;;;;;;;;;;;;;;;;;;;
4;4.38434068e+00;1.27171949e-03;-3.47509449e+01;7.05183039e+00;4.68887244e+01;3.44498239e+01;1.56225691e+02;1.16151712e+02;-4.31547810e+02;1.05203582e+03;1.03565184e+02;5.31603402e+03;2.89634301e+03;2.07784470e+04;-7.43787596e+02;4.93509791e+04;-6.82496881e+02;7.13979525e+04;-7.40989307e+02;7.37464724e+04;3.36687239e+02;5.81041485e+04;7.88860918e+02;4.65943948e+04;8.08927524e+02;9.50247094e+04;-1.03572707e+03;1.53923574e+05;-7.24414310e+02;1.12386804e+05;2.56013197e+02;3.57228052e+04;8.27951348e+02;3.34001439e+04;-4.18093383e+02;1.07214203e+04;-1.19556910e+01;1.61527618e+00;5.34781499e+01;1.46474329e+01;-1.18977630e+02;4.51820607e+01;1.32705896e+02;5.26129887e+01;;;;;;;;;;;;;;;;;;
5;4.38438065e+00;1.31833756e-03;-3.30220587e+01;1.94132077e+02;3.28663698e+01;1.28155860e+03;1.74547631e+02;1.28117200e+03;-3.51100466e+02;5.87581516e+03;-1.70886721e+02;1.80003538e+04;3.12979245e+03;2.62328693e+04;8.07967713e+02;9.62382868e+04;-1.41720217e+03;1.64380060e+05;-1.18178199e+03;2.15603771e+05;-1.49322755e+02;4.16547110e+04;2.25374627e+03;1.80141502e+05;1.11738331e+03;2.71841833e+05;-3.76025788e+03;3.44201270e+05;2.06346470e+03;2.56147326e+05;-1.09321940e+03;1.37698846e+05;1.16955613e+03;1.06005034e+05;-4.58020638e+02;3.09318339e+04;-1.15599331e+01;4.42806886e+01;4.86363510e+01;4.70798426e+02;-9.67057219e+01;1.94993576e+03;8.06660507e+01;4.18224361e+03;6.30487519e+01;4.26372622e+03;;;;;;;;;;;;;;;;
6;4.38416984e+00;1.31211659e-03;-3.00425364e+01;9.08662562e+01;1.27269949e+01;5.89725761e+02;1.87938375e+02;6.18900186e+02;-2.85381501e+02;3.45044524e+03;-8.67385590e+01;9.14484307e+03;2.82802636e+03;2.00240037e+04;1.19550355e+03;5.91831705e+04;-5.26548563e+02;8.86416991e+04;-4.51499060e+02;1.32630900e+05;-3.30646516e+02;1.10803719e+05;-3.49008716e+00;7.97556121e+02;5.64725958e+02;8.07007348e+04;4.09745480e+02;6.22813897e+04;-1.67600906e+02;4.20314083e+04;-5.29213952e+02;2.75832442e+04;9.92267847e+00;4.46217371e+03;1.85350138e+02;4.78466702e+03;-1.08867109e+01;2.07254790e+01;4.15213207e+01;2.17809049e+02;-7.10654306e+01;8.67779771e+02;4.37322812e+01;1.78863685e+03;7.31989205e+01;2.05433730e+03;4.13278367e+01;1.86908661e+03;;;;;;;;;;;;;;
7;4.38430394e+00;1.34932084e-03;-3.03316194e+01;3.15256558e+02;1.47936207e+01;2.14483139e+03;1.80399446e+02;2.60181874e+03;-2.40815475e+02;9.70937295e+03;-3.15168406e+02;3.03426547e+04;3.30635118e+03;4.33594610e+04;1.32181987e+03;1.60981747e+05;-4.97692280e+02;8.67610006e+04;-4.26990315e+02;5.83744303e+04;-1.75551547e+02;3.57028787e+04;-1.55064349e+02;4.83675096e+04;7.43026521e+02;1.13321371e+05;6.39247558e+02;2.05465850e+05;-8.13700701e+02;1.57699420e+05;-4.16099208e+02;1.06211735e+05;4.12750163e+02;3.79738803e+04;-1.27154435e+01;6.63504877e+03;-1.09483595e+01;7.19155546e+01;4.21044514e+01;7.78976728e+02;-7.28990113e+01;3.29776932e+03;4.46186086e+01;7.46851908e+03;7.78254781e+01;9.47650355e+03;4.15511138e+01;6.24223952e+03;1.75139976e+01;2.46289107e+03;;;;;;;;;;;;
8;4.38452939e+00;1.41083989e-03;-3.17976055e+01;2.14903570e+02;2.54660589e+01;1.48643541e+03;1.65952597e+02;1.88654796e+03;-2.38732496e+02;6.45950999e+03;-5.13725790e+02;1.87575136e+04;3.68037410e+03;7.40983371e+04;2.14439226e+03;2.43192177e+05;-6.98687762e+02;1.62154055e+05;3.17612060e+01;6.70415712e+03;1.29947498e+03;2.74156323e+05;1.26063983e+03;2.65366536e+05;-1.46409119e+03;3.44500929e+05;1.28545998e+03;2.83518728e+05;-1.22462264e+03;1.77555775e+05;-1.05228573e+03;2.29917875e+05;2.15251584e+03;1.41705120e+05;-8.14796692e+02;3.61058606e+04;-1.12758955e+01;4.90124973e+01;4.56478263e+01;5.35621113e+02;-8.59091080e+01;2.25392113e+03;6.11672577e+01;5.04505563e+03;7.99472855e+01;6.65842792e+03;3.51795267e+01;6.34146849e+03;1.94407574e+01;3.75488896e+03;9.39479979e+01;6.61934186e+03;;;;;;;;;;
9;4.38449433e+00;1.38809480e-03;-3.27089872e+01;2.28962199e+02;3.02426774e+01;1.65128971e+03;1.76108762e+02;2.50490288e+03;-3.08461703e+02;5.19647250e+03;-4.00160256e+02;1.63714295e+04;3.54915891e+03;5.69281778e+04;1.41262334e+03;2.81339415e+05;-1.28597385e+03;4.03173779e+05;-9.10589562e+02;1.25154183e+05;6.46308080e+02;2.37462871e+05;9.63898574e+02;1.70703635e+05;5.47479749e+02;1.87764564e+05;-1.15975481e+03;2.49625755e+05;-1.50788205e+03;2.04521109e+05;1.27586078e+03;2.55075727e+05;6.27248267e+02;1.73764127e+05;-5.03025278e+02;4.38605021e+04;-1.14850444e+01;5.22154185e+01;4.76262894e+01;5.86180572e+02;-9.11677232e+01;2.61793417e+03;6.25518332e+01;6.23993262e+03;9.56762759e+01;7.77577200e+03;-5.87446443e+00;2.77600527e+03;-1.41410505e+01;2.98866451e+03;1.09870349e+02;1.10523798e+04;-6.97528143e+01;1.14467238e+04;;;;;;;;
10;4.38434269e+00;1.38623241e-03;-2.89776890e+01;2.63931341e+02;5.59094998e+00;1.45250766e+03;1.83180802e+02;2.44576660e+03;-1.74005833e+02;1.45589133e+04;-4.43492296e+02;1.53087643e+04;3.36275959e+03;6.93015924e+04;1.88774684e+03;2.34822448e+05;8.71590541e+02;2.22493524e+05;-6.98136402e+02;2.87408936e+05;6.45357237e+02;1.99455063e+05;-1.64658766e+01;4.37872330e+03;6.53860209e+02;2.81431255e+05;1.07214721e+03;3.10055133e+05;-9.83545697e+02;1.72187025e+05;-4.52382406e+02;1.80893728e+05;2.37541769e+02;9.28760736e+04;1.15567548e+02;2.15916798e+04;-1.06385336e+01;6.02049133e+01;3.87286607e+01;5.72292557e+02;-5.99767728e+01;1.79103444e+03;2.24426099e+01;3.33855211e+03;8.96359364e+01;1.06732797e+04;6.84678537e+01;2.10733228e+04;3.13786664e+01;9.83306932e+03;1.68099284e+01;7.10120116e+03;3.40367595e+01;1.15604040e+04;1.64487599e+01;7.32100402e+03;;;;;;
11;4.38414236e+00;1.37018824e-03;-3.08770001e+01;1.07973143e+02;2.00323413e+01;6.90367862e+02;1.79763870e+02;1.04864778e+03;-3.32280534e+02;3.54305341e+03;4.31417332e-02;1.16906137e+01;2.78493335e+03;3.09164563e+04;9.66086355e+02;1.29467885e+05;-4.97028676e+02;1.81403413e+05;-8.12397546e+02;1.36916733e+05;-4.89817212e+02;1.38369701e+05;-4.40322445e+02;1.06107026e+05;2.78369964e+02;9.07565736e+04;-2.98229296e+02;7.94462459e+04;-1.04746781e+02;3.92373888e+04;-2.75882483e+02;6.37385620e+04;2.79699268e+02;4.73707285e+04;-3.98066306e+01;1.46795372e+04;-1.10774397e+01;2.46066351e+01;4.39611952e+01;2.54743903e+02;-8.17352349e+01;9.94615427e+02;6.34121358e+01;2.16609660e+03;6.14741007e+01;3.19577188e+03;2.13779046e+01;3.38912476e+03;1.70575155e+01;4.16126878e+03;2.83252899e+00;7.91046114e+02;-2.44564964e+01;6.02874389e+03;-1.63245992e+01;5.83528627e+03;-3.01071480e+01;4.04799999e+03;;;;
