m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;p13;p13_err;p14;p14_err;p15;p15_err;p16;p16_err;p17;p17_err;p18;p18_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err
2;4.38556478e+00;1.37903980e-03;-2.15939273e+01;1.56224549e+00;-3.47365173e+01;6.87720595e+00;-7.30843471e+01;1.25953013e+02;2.92817254e+03;1.48778861e+03;-1.70885628e+04;1.09175660e+04;6.92881946e+04;5.39241887e+04;-1.50616864e+05;1.81279554e+05;1.26584048e+05;4.11860074e+05;9.68352424e+04;6.02920177e+05;-2.34306710e+05;4.84867854e+05;-1.86710589e+04;1.57548331e+05;2.48946252e+05;2.97671081e+05;2.73705668e+04;1.99895351e+05;-3.07799489e+05;3.89778833e+05;5.51747174e+04;3.87775195e+05;2.66530925e+05;2.75395712e+05;-2.17181542e+05;1.46532587e+05;5.24342312e+04;3.27824218e+04;-8.89806820e+00;3.47488977e-01;1.99551293e+01;1.55772154e+00;;;;;;;;;;;;;;;;;;;;
3;4.38521516e+00;1.35625715e-03;-2.19417677e+01;3.77168422e+00;-3.20690570e+01;1.46178711e+01;-3.29742148e+01;1.25258118e+02;2.55799552e+03;1.09315996e+03;-1.56838328e+04;5.57553180e+03;6.64280297e+04;2.09023025e+04;-1.56864403e+05;4.24686144e+04;1.72180066e+05;4.21967886e+04;-9.98748720e+01;1.30931519e+03;-1.54890500e+05;5.33516923e+04;5.20471404e+03;6.16681798e+04;1.84233642e+05;9.31440509e+04;-1.57761969e+04;1.48277413e+05;-1.79669045e+05;1.14372847e+05;-7.80531899e+02;5.15041670e+03;2.24800304e+05;8.28138336e+04;-1.72233505e+05;6.39241801e+04;4.08943907e+04;1.59426239e+04;-8.99101532e+00;8.75179850e-01;2.14480500e+01;7.44507133e+00;-4.75899601e+00;1.68161652e+01;;;;;;;;;;;;;;;;;;
4;4.38426221e+00;1.29068658e-03;-3.47230347e+01;7.17604082e+00;4.57646814e+01;3.36088771e+01;1.66170493e+02;9.92366971e+01;-4.83648738e+02;9.19007962e+02;3.74037696e+02;4.85898745e+03;1.96942628e+03;1.87892416e+04;4.29280565e+02;4.61064003e+04;-1.15888234e+03;6.66258470e+04;-9.97613860e+02;6.02333122e+04;5.50360176e+02;5.48349240e+04;7.55612655e+02;6.25431146e+04;5.24405541e+02;7.66388374e+04;-3.80052149e+02;5.31488874e+04;-7.30370878e+02;1.93133440e+04;-1.14536043e+01;3.45957895e+03;-1.62756705e+02;2.68041036e+04;9.95077986e+02;2.45597751e+04;-4.96598873e+02;6.85881149e+03;-1.19518900e+01;1.63975806e+00;5.32981644e+01;1.43576805e+01;-1.17503494e+02;4.47959185e+01;1.29195595e+02;5.93284412e+01;;;;;;;;;;;;;;;;
5;4.38439866e+00;1.32257948e-03;-3.17890691e+01;2.27356752e+02;2.39337435e+01;1.51009487e+03;1.79826092e+02;1.53143226e+03;-2.75878544e+02;6.29186990e+03;-4.27544849e+02;1.54205939e+04;3.73834339e+03;2.87639735e+04;5.41934176e+02;1.74298950e+05;-1.52684871e+03;1.43934823e+05;-5.72861467e+02;1.17360304e+05;7.14061211e+02;9.60744040e+04;-3.81043652e+02;7.05858403e+04;1.15327097e+03;1.15554735e+05;-3.70711312e+02;9.12284536e+04;2.05784281e+01;4.37634705e+03;-5.82734151e+02;1.01015838e+05;-8.36572061e+02;1.53396371e+05;1.77282990e+03;1.14882156e+05;-6.95374310e+02;3.22446565e+04;-1.12779439e+01;5.18517927e+01;4.54294984e+01;5.53071187e+02;-8.34574442e+01;2.28923629e+03;5.39960303e+01;4.90515720e+03;9.16837795e+01;5.07312585e+03;;;;;;;;;;;;;;
6;4.38426484e+00;1.35655972e-03;-3.26617243e+01;9.57100369e+01;2.95782045e+01;6.31517452e+02;1.83994332e+02;7.58468961e+02;-3.78727888e+02;1.63863418e+03;9.71624796e+00;2.42570886e+03;2.67634353e+03;3.30794158e+04;6.99438066e+02;1.28373666e+05;-7.90443085e+02;1.44237820e+05;-9.68623844e+02;1.41058771e+05;-3.60638651e+02;1.49135763e+05;6.81764345e+02;1.28220279e+05;1.48297170e+03;1.05512851e+05;-5.38124326e+02;6.51771848e+04;-6.04473439e+02;1.11268143e+05;-4.04583079e+02;8.87594255e+04;-8.11163122e+02;1.86061269e+05;2.07405305e+03;1.48749792e+05;-8.75879087e+02;3.94327399e+04;-1.14812939e+01;2.18033743e+01;4.76829961e+01;2.30700192e+02;-9.27452620e+01;9.58641015e+02;7.52287239e+01;2.10235300e+03;6.11883178e+01;2.27923467e+03;1.74705455e+00;5.09069554e+02;;;;;;;;;;;;
7;4.38426366e+00;1.30007571e-03;-3.17581050e+01;1.30201748e+02;2.52267240e+01;7.82997941e+02;1.74846237e+02;1.20765100e+03;-3.29863775e+02;5.11183627e+03;-5.35041328e+01;7.82144163e+03;2.90723916e+03;3.04319273e+04;6.55111406e+02;1.01800010e+05;-4.18138171e+02;8.07257722e+04;-3.29388893e+02;6.78741239e+04;6.19351005e+01;1.52214123e+04;-1.96422882e+02;9.06323689e+04;7.79503851e+02;1.30839468e+05;1.87932418e+02;4.15717290e+04;-4.68824785e+02;6.58348717e+04;-3.03271452e+02;6.28964261e+04;5.08768311e+00;2.59750323e+03;3.92199472e+02;3.55468688e+04;-1.49512354e+02;1.48845195e+04;-1.12751552e+01;2.96869360e+01;4.58527082e+01;2.96769636e+02;-8.83393084e+01;1.13012878e+03;7.46485911e+01;2.58690710e+03;5.25408181e+01;5.00834133e+03;1.54257695e+01;7.72075187e+03;2.60165673e+01;4.64191350e+03;;;;;;;;;;
8;4.38454670e+00;1.42126943e-03;-3.09570248e+01;3.13314981e+02;1.94342082e+01;2.24932220e+03;1.69053131e+02;3.87948159e+03;-1.92470405e+02;9.79668805e+03;-6.30355054e+02;3.52120215e+04;3.79260177e+03;1.09267387e+05;2.66111642e+03;3.04845071e+05;-3.85307905e+02;9.72818783e+04;1.05716372e+03;3.02436780e+05;-8.63930363e+02;2.10500244e+05;1.32577579e+03;2.73193609e+05;2.24045895e+03;3.89402504e+05;-2.86700375e+03;2.76851757e+05;-2.08815379e+02;3.52491436e+04;1.28405234e+03;4.11644112e+05;-1.49473609e+03;4.12279229e+05;1.64906985e+03;1.97857584e+05;-6.55582447e+02;4.81927031e+04;-1.10835157e+01;7.14586729e+01;4.34735279e+01;7.98486891e+02;-7.71197304e+01;3.54190794e+03;4.44629455e+01;8.76380683e+03;9.31842873e+01;1.33871856e+04;4.83123646e+01;1.42601017e+04;3.43341539e+01;5.93642489e+03;9.68833154e+01;7.97841091e+03;;;;;;;;
9;4.38430007e+00;1.32501759e-03;-3.21976385e+01;1.55526565e+02;2.68926535e+01;9.63787648e+02;1.82307570e+02;9.28749597e+02;-3.49341904e+02;5.95251769e+03;-8.72128076e+01;1.74895815e+04;2.92127057e+03;3.07281058e+04;2.60760525e+02;5.70641161e+04;4.35840767e+02;1.56402482e+05;5.16326657e+02;1.45540410e+05;4.21407874e+02;1.20415873e+05;1.85126169e+03;2.70051522e+05;9.03445985e+02;1.93859486e+05;-6.00633272e+02;1.11133733e+05;-1.40120868e+03;1.44415343e+05;5.22660008e+02;1.38265904e+05;-2.93309396e+02;1.09673089e+05;9.97850352e+02;7.78560374e+04;-4.85676480e+02;2.50389817e+04;-1.13745205e+01;3.54803343e+01;4.66140997e+01;3.62912440e+02;-8.90507150e+01;1.43003854e+03;6.96503119e+01;2.96038509e+03;6.04872452e+01;3.45373220e+03;2.14036475e+01;3.87733666e+03;-1.70062895e+01;3.94197672e+03;4.96265794e+01;9.48572124e+03;9.91682542e+01;8.50907510e+03;;;;;;
10;4.38450580e+00;1.40504352e-03;-3.11376074e+01;2.60731766e+02;1.97585527e+01;1.75273978e+03;1.76121883e+02;1.84943034e+03;-2.24799830e+02;8.78126681e+03;-4.97207001e+02;2.04442894e+04;3.44670079e+03;5.34805118e+04;2.14582365e+03;2.06686736e+05;9.41085701e+02;3.54317614e+05;-1.25723867e+03;2.91929129e+05;-3.74402745e+02;7.82356949e+04;1.15609218e+03;1.46788145e+05;1.01593231e+03;2.71630309e+05;6.76038256e+01;1.61382076e+04;-1.49666933e+03;3.07359276e+05;-1.00393044e+03;3.04858768e+05;7.25935983e+02;2.85310126e+05;1.40650849e+03;2.39850183e+05;-8.51281576e+02;7.42472284e+04;-1.11263104e+01;5.94681965e+01;4.37799339e+01;6.38793363e+02;-7.74743400e+01;2.60610827e+03;4.49509482e+01;5.50125929e+03;8.87229258e+01;6.87169555e+03;4.03089251e+01;9.36555768e+03;5.08583286e+01;1.52279508e+04;2.59543516e+01;1.35504025e+04;4.47043833e+01;1.24835040e+04;-3.80876568e+01;5.63533280e+03;;;;
11;4.38442611e+00;1.39106192e-03;-3.19097037e+01;1.71295703e+02;2.37468958e+01;1.25377527e+03;1.83586730e+02;2.61619001e+03;-2.59912624e+02;5.41652670e+03;-5.31446006e+02;2.58561509e+04;3.95509237e+03;5.82381714e+04;-2.55839253e+02;8.32943879e+04;-7.50411379e+02;1.77770762e+05;5.08783509e+02;1.47907349e+05;3.99915418e+02;1.13547062e+05;-4.34937322e+02;1.18387066e+05;1.69181946e+03;2.44715566e+05;-1.09737666e+03;2.18144490e+05;-8.78075942e+02;2.50714056e+05;-1.74914873e+03;2.93936287e+05;9.18206386e+02;4.07283046e+05;1.72521406e+03;3.34406250e+05;-1.00517480e+03;9.42391354e+04;-1.13048128e+01;3.90883567e+01;4.54788671e+01;4.42831421e+02;-8.24580068e+01;2.10321389e+03;5.18356656e+01;5.83723498e+03;8.26277957e+01;9.99312404e+03;2.90264753e+01;9.66625657e+03;-3.31604896e+01;5.49973524e+03;-3.24931703e+01;8.16605287e+03;1.39132740e+02;1.00879108e+04;8.23614515e+00;2.74933076e+03;-1.01791262e+02;7.87088786e+03;;
