m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;p13;p13_err;p14;p14_err;p15;p15_err;p16;p16_err;p17;p17_err;p18;p18_err;p19;p19_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err
2;4.67216403e+00;8.42070245e-04;-2.63481630e+01;1.73492703e+00;-3.58105470e+01;5.94334867e+00;4.29456451e+01;9.63362083e+01;2.38161099e+03;1.15924932e+03;-1.44303651e+04;7.88991613e+03;6.59456955e+04;3.54092609e+04;-1.66124732e+05;1.04701784e+05;1.96811743e+05;2.10771025e+05;-2.05470187e+04;3.44671915e+05;-1.69510820e+05;5.38908385e+05;5.90640783e+04;6.12930607e+05;1.12183461e+05;4.27958984e+05;3.25088462e+04;3.93908130e+05;-1.68680117e+05;3.98030654e+05;3.53709926e+03;5.81635597e+04;8.71566929e+04;5.98315755e+05;3.83122190e+04;7.71530505e+05;-8.70448237e+04;4.14843571e+05;2.88079949e+04;8.51137058e+04;-9.49791475e+00;3.63452117e-01;2.27002276e+01;1.74151782e+00;;;;;;;;;;;;;;;;;;
3;4.67219558e+00;8.42691764e-04;-2.36421193e+01;1.19386858e+01;-4.88525889e+01;6.31531397e+01;-6.02289388e+01;2.54101102e+02;3.41069060e+03;2.29937987e+03;-1.99095961e+04;1.07678080e+04;8.83682554e+04;4.38052373e+04;-2.14158251e+05;9.14712162e+04;2.42233196e+05;1.04209307e+05;-6.70231967e+03;9.24861373e+04;-2.31955833e+05;3.07021688e+05;4.88511011e+04;8.24113450e+05;2.64453278e+05;1.68450391e+06;-1.15029962e+05;1.79665226e+06;-2.34254601e+05;1.55551072e+06;2.62998428e+05;1.97652809e+06;-1.56087550e+05;1.74311569e+06;1.46504496e+05;1.63451171e+06;-1.07006293e+05;9.14818168e+05;2.90157014e+04;1.96655765e+05;-8.90268013e+00;2.57896940e+00;1.67691124e+01;2.47518803e+01;1.51085357e+01;6.07016645e+01;;;;;;;;;;;;;;;;
4;4.67223853e+00;8.42766856e-04;-7.60539665e+01;3.23201288e+01;1.55131340e+02;1.92697529e+02;2.64500962e+02;1.87840945e+02;-1.49924258e+03;4.68356990e+03;2.74251224e+03;3.19404610e+04;-7.50639839e+03;1.55521384e+05;2.45945601e+04;5.41690840e+05;-1.42255827e+04;1.12602248e+06;-1.85656798e+04;1.45911400e+06;7.62511675e+03;1.46620270e+06;2.37722141e+04;1.29063824e+06;9.42425660e-03;2.23211485e+00;-1.76297999e+04;1.48229237e+06;-1.41917363e+04;1.42502056e+06;7.91909023e+03;1.42493929e+06;1.94179036e+04;1.17271449e+06;2.53734071e+03;4.65819660e+05;-2.21383397e+04;3.78732075e+05;9.17571519e+03;1.11844605e+05;-2.01576416e+01;6.93064369e+00;1.06357093e+02;6.69430777e+01;-2.59295315e+02;2.46022702e+02;2.66610448e+02;3.66112267e+02;;;;;;;;;;;;;;
5;4.67218185e+00;8.42731277e-04;-3.68986880e+01;2.39680429e+02;4.22221746e+01;1.94507691e+03;1.45345165e+02;3.02809547e+03;-1.16969493e+02;8.16976612e+03;-1.28377704e+03;3.44076656e+04;8.81148451e+03;8.87314043e+04;-4.27563513e+03;2.43160646e+05;-1.89566533e+03;4.31032167e+05;3.60852362e+03;6.78890919e+05;-2.41327434e+03;5.75608614e+05;2.83226657e+03;5.51298969e+05;-2.06391048e+03;4.55603835e+05;-1.68448455e+03;4.50551841e+05;2.36568923e+03;3.37549252e+05;5.46407888e+02;1.14420575e+05;-2.77014235e+02;1.35983689e+05;-2.34295095e+03;3.58504705e+05;2.23299293e+03;3.08464101e+05;-6.02924176e+02;8.27135804e+04;-1.17746599e+01;5.13246865e+01;4.93882612e+01;6.16809937e+02;-9.81902503e+01;2.80112563e+03;8.25726227e+01;6.51456577e+03;1.20057502e+02;7.86413045e+03;;;;;;;;;;;;
6;4.67213008e+00;8.42222473e-04;-3.54496992e+01;2.87973380e+02;2.79495729e+01;2.07860481e+03;1.98504136e+02;2.55132561e+03;-3.21939606e+02;1.11096763e+04;1.07550780e+02;2.53814220e+04;3.34428929e+03;6.26064854e+04;1.93486443e+03;2.52889075e+05;-1.62894287e+02;6.18647504e+04;-1.63385111e+03;3.27889712e+05;-1.25835231e+03;5.67142025e+05;2.41923515e+03;4.45453920e+05;-1.05040074e+02;4.26426627e+04;-7.36856466e+02;2.53942533e+05;2.42826639e+03;4.92325388e+05;-2.49934654e+03;5.93085792e+05;-1.14998361e+03;2.17626955e+05;6.66473099e+02;2.69638415e+05;2.02687233e+03;3.43807462e+05;-1.17278152e+03;1.23411235e+05;-1.14729492e+01;6.16323308e+01;4.55449910e+01;6.83230581e+02;-8.04357958e+01;2.76010644e+03;5.51633666e+01;5.62757541e+03;9.01987030e+01;7.07086455e+03;6.23925556e+01;9.66086208e+03;;;;;;;;;;
7;4.67213517e+00;8.42230663e-04;-3.67263822e+01;2.55121746e+02;3.87860890e+01;1.96377646e+03;1.86536472e+02;2.94699320e+03;-4.03911900e+02;8.27163524e+03;3.86068061e+02;3.24625334e+04;2.82388115e+03;5.61517500e+04;9.00669156e+02;1.16442926e+05;4.78558288e+02;1.37741697e+05;-1.04671326e+03;2.62418316e+05;-2.40348989e+02;6.15152965e+04;-1.89857129e+02;5.06154179e+04;1.35687990e+03;2.09241952e+05;2.99481295e+02;1.13969466e+05;2.57499637e+02;1.27153322e+05;-1.33850837e+03;2.60286152e+05;-1.01206657e+03;3.71557775e+05;6.96489055e+02;3.31627908e+05;1.52735834e+03;3.01954706e+05;-9.32994399e+02;9.17001103e+04;-1.17467739e+01;5.46041856e+01;4.89595175e+01;6.32408703e+02;-9.55017265e+01;2.80796064e+03;8.58569021e+01;6.32529849e+03;6.44615934e+01;7.08954817e+03;1.28617562e+01;4.42446655e+03;4.35138817e+01;5.25913994e+03;;;;;;;;
8;4.67215861e+00;8.42954708e-04;-2.54849602e+01;4.86540664e+02;-5.67772082e+01;4.43998214e+03;3.40656851e+02;8.68054747e+03;-4.22900915e+01;1.39443091e+04;-9.60811982e+02;5.52451675e+04;5.01231344e+03;1.47379481e+05;4.72328290e+03;6.78204160e+05;8.09269699e+03;1.28219889e+06;4.65153604e+03;1.59649378e+06;-6.07168311e+03;1.16694181e+06;3.07400910e+03;1.36653940e+06;3.45513005e+03;1.39500417e+06;2.38530179e+03;1.13381798e+06;-1.53348852e+03;7.21217459e+05;-4.55719457e+03;6.10107029e+05;-3.07833326e+03;9.73153266e+05;6.28743138e+03;7.17462730e+05;5.94034582e+02;3.73715231e+05;-1.73358061e+03;1.29293167e+05;-9.33953916e+00;1.04114663e+02;1.91151667e+01;1.35330884e+03;4.18676069e+01;6.55048627e+03;-2.33168960e+02;1.58325584e+04;4.57374915e+02;2.02270275e+04;-5.30914043e+00;3.04307446e+03;2.48933819e+01;1.48813337e+04;5.21507535e+02;2.56940045e+04;;;;;;
9;4.67217294e+00;8.43009397e-04;-2.36840458e+01;6.03268277e+02;-6.82331461e+01;5.76089794e+03;3.03179104e+02;1.43480271e+04;3.91472565e+02;2.09309682e+04;-2.82944640e+03;9.59689095e+04;1.10310169e+04;2.64259726e+05;7.79392151e+02;4.30919241e+05;1.90617150e+03;6.56694658e+05;5.20524514e+02;2.17028594e+05;-1.26831694e+03;5.91056393e+05;1.77265628e+03;5.65593510e+05;1.81477653e+03;9.11529433e+05;2.74690240e+03;1.01577605e+06;-7.91298917e+02;2.42914928e+05;-3.27225028e+03;1.12650501e+06;-2.43136270e+03;9.85232385e+05;3.13062766e+03;1.10420344e+06;1.96620798e+03;9.38616598e+05;-1.66480906e+03;2.73835905e+05;-8.94646921e+00;1.29183930e+02;1.47587631e+01;1.73387642e+03;5.61272853e+01;9.01572749e+03;-2.48459576e+02;2.56657619e+04;4.65450803e+02;4.60686354e+04;1.06685753e+02;4.54013312e+04;-4.25732585e+01;2.35073080e+04;1.28463039e+01;6.61550224e+03;2.00758713e+02;1.61886668e+04;;;;
10;4.67212303e+00;8.42138322e-04;-3.88655762e+01;3.68169699e+02;5.22539331e+01;2.70385093e+03;2.02047154e+02;4.37504711e+03;-5.73121879e+02;1.30924737e+04;5.20262329e+02;4.14853789e+04;3.17643045e+03;8.98196006e+04;-1.60761309e+03;2.40397425e+05;-1.56629054e+02;4.67748025e+04;5.31463036e+02;1.75660894e+05;-3.29768762e+03;2.57793989e+05;1.06597086e+03;3.66706060e+05;-2.14433784e+03;5.22014060e+05;-3.23737407e+03;7.47863046e+05;3.13318887e+03;5.20000799e+05;8.14054161e+02;2.64984026e+05;-1.21575929e+03;1.80669585e+05;-8.26028390e+02;1.74778089e+05;1.26339734e+03;1.28980264e+05;-4.08615330e+02;3.75557177e+04;-1.22053036e+01;7.87980175e+01;5.36474373e+01;8.83626825e+02;-1.08453064e+02;3.84256283e+03;8.08284059e+01;9.15909229e+03;1.50249457e+02;1.44548362e+04;-1.79762401e+02;1.96507745e+04;5.02883756e+01;1.23360548e+04;1.22055472e+02;6.66915678e+03;-6.93255059e+01;1.34844742e+04;-1.97411180e+02;1.66378913e+04;;
11;4.67213875e+00;8.42423660e-04;-3.48960898e+01;9.28688243e+01;2.05095452e+01;5.18584853e+02;2.30073968e+02;7.48558131e+02;-3.18216525e+02;5.02842584e+03;-3.51638876e+02;1.42949376e+04;5.13096583e+03;5.13175396e+04;-6.53571092e+02;1.41368130e+05;-1.84353022e+03;2.52500675e+05;-1.50644808e+03;2.64307627e+05;-3.78036353e+03;8.32597561e+05;-8.65827913e+02;2.58775192e+05;1.56021918e+02;4.07287635e+04;6.10107401e+02;1.45482117e+05;1.05101842e+03;1.75578320e+05;-4.77563704e+02;1.26797957e+05;-7.49019455e+02;2.24755278e+05;-1.02447057e+03;2.71669656e+05;2.25690275e+03;3.19954958e+05;-9.05651498e+02;1.16102993e+05;-1.13533436e+01;1.98814566e+01;4.34340375e+01;1.88004060e+02;-6.49965276e+01;5.16807529e+02;-5.40734941e+00;5.11659000e+02;2.28346096e+02;2.24697706e+03;-8.95361243e+01;6.77951995e+03;-4.29091673e+01;1.45711419e+04;8.74212454e+01;1.72581437e+04;-1.42895259e+02;2.33508726e+04;-2.47779970e+02;3.13710393e+04;1.23310865e+02;1.68300628e+04
