m;p0;p0_err;p1;p1_err;p2;p2_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err;h22;h22_err;h23;h23_err;h24;h24_err;h25;h25_err;h26;h26_err;h27;h27_err;h28;h28_err
2;4.76817721e+00;7.57982160e-04;2.30684715e+01;1.22173828e-02;1.38743675e+02;2.48648627e-01;2.32897626e+00;5.45815936e-03;3.32815340e+00;4.82188084e-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.71285478e+00;7.15968478e-04;1.31833237e+01;1.46809646e-02;4.90033805e+01;1.91641107e-01;-5.98864134e-01;4.65521139e-03;3.18578660e+00;3.77853658e-03;-9.29556487e-01;1.24588578e-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.69269802e+00;7.03491842e-04;7.14916173e+00;3.20832261e-02;1.92804372e+01;2.18977528e-01;-2.11779076e+00;8.45908647e-03;4.77239566e+00;8.43117100e-03;-3.45870486e+00;1.26349402e-02;1.04296656e+00;5.18681685e-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.68597238e+00;6.83703861e-04;9.95662062e-01;6.93936773e-02;6.15089208e+00;2.27759213e-01;-3.50889427e+00;1.62122290e-02;7.97842831e+00;3.42871320e-02;-9.24893960e+00;6.18846894e-02;5.66948510e+00;4.88365767e-02;-1.41952398e+00;1.48325861e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.68455347e+00;6.47602460e-04;-5.35140595e+00;1.25025151e-01;4.06822971e+00;1.69937338e-01;-4.88395076e+00;2.75034257e-02;1.29135286e+01;9.29209655e-02;-1.99909299e+01;2.00374937e-01;1.83488652e+01;2.33057939e-01;-9.19178699e+00;1.41120059e-01;1.93960364e+00;3.48857606e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4.68285919e+00;6.11451588e-04;-1.51259838e+01;3.31059492e-01;1.54041869e+01;4.86653469e-01;-6.99144909e+00;7.15837769e-02;2.34759031e+01;3.71746357e-01;-4.75257548e+01;9.87543755e-01;6.15485959e+01;1.58732267e+00;-4.90423250e+01;1.50249103e+00;2.19714778e+01;7.75632427e-01;-4.23913024e+00;1.68626142e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4.67311202e+00;8.00119094e-04;-2.17443679e+01;1.08414107e+00;5.67974151e+01;3.34156438e+00;-8.50345295e+00;2.30926480e-01;3.92111447e+01;1.29723238e+00;-1.03105108e+02;4.11088743e+00;1.85861009e+02;9.05279784e+00;-2.20412878e+02;1.30426546e+01;1.65015766e+02;1.16618732e+01;-7.06716566e+01;5.84130146e+00;1.31855590e+01;1.24919337e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;4.67248845e+00;8.28248237e-04;-1.57990419e+01;2.61992636e+00;4.30001110e+01;5.75219004e+00;-7.24714147e+00;5.54720795e-01;3.17697112e+01;3.10316885e+00;-8.43624731e+01;8.03358695e+00;1.63071100e+02;1.20491140e+01;-2.23006562e+02;1.33175135e+01;2.11103133e+02;2.13348770e+01;-1.31532105e+02;2.31635179e+01;4.84520950e+01;1.27056914e+01;-7.97983607e+00;2.80443390e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;4.67236894e+00;8.34287379e-04;-1.43747696e+01;2.87725248e+00;3.18656825e+01;1.03936416e+01;-6.94841087e+00;6.07713959e-01;2.84147351e+01;4.17109681e+00;-7.50773247e+01;1.09693001e+01;1.55096593e+02;1.29413729e+01;-2.52933137e+02;2.57369057e+01;3.21305882e+02;8.70561983e+01;-3.01452976e+02;1.30721951e+02;1.92277876e+02;1.08094497e+02;-7.32769731e+01;4.81198253e+01;1.24754055e+01;9.04949075e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;4.67233087e+00;8.34688108e-04;-1.70085442e+01;2.65383823e+00;2.77894000e+01;9.33393033e+00;-7.51663858e+00;5.62862831e-01;2.99109777e+01;3.49079924e+00;-8.01922860e+01;9.12590526e+00;1.83171668e+02;1.89777620e+01;-3.81349460e+02;8.63301734e+01;6.84574698e+02;2.49447381e+02;-9.43741156e+02;4.31258409e+02;9.12699366e+02;4.71057240e+02;-5.73775880e+02;3.20483313e+02;2.09485541e+02;1.24374509e+02;-3.36521031e+01;2.10667281e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
