m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err;h22;h22_err;h23;h23_err;h24;h24_err;h25;h25_err;h26;h26_err;h27;h27_err
2;4.69461379e+00;7.21580070e-04;1.23631875e+01;1.69812468e-02;3.45154424e+01;2.12552317e-01;4.97018434e+01;7.88382818e-02;-9.94985756e-01;5.48636292e-03;4.01948051e+00;4.43371456e-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.66811517e+00;7.90684089e-04;1.17222120e+01;2.24089233e-02;1.55500958e+01;3.18633155e-01;1.69657579e+02;1.93187441e+00;-1.48393123e+00;8.46280747e-03;6.14196890e+00;3.52776785e-02;2.36107561e+00;3.87898841e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.67008400e+00;8.10279286e-04;9.73304668e+00;1.56837043e-01;1.20071350e+01;3.89804220e-01;1.28792208e+02;3.85654571e+00;-1.86353645e+00;3.00797434e-02;6.05538599e+00;3.31217483e-02;5.67864596e-01;1.49770269e-01;4.15041194e-01;3.26591374e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.67139616e+00;8.13346512e-04;3.92358738e+00;4.18522034e-01;4.22932364e+00;5.98747459e-01;8.42748924e+01;4.57851211e+00;-3.06571107e+00;8.55227387e-02;8.22446955e+00;1.49445433e-01;-5.57278904e+00;4.43227020e-01;4.46519193e+00;2.79740908e-01;-1.18877315e+00;8.15596521e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.67204038e+00;8.17788122e-04;-2.33344993e+00;1.04251125e+00;3.36967968e+00;4.67834981e-01;6.58379085e+01;4.93252990e+00;-4.38321262e+00;2.18475583e-01;1.26747757e+01;7.17808598e-01;-1.63153215e+01;1.74911852e+00;1.66733087e+01;1.96842032e+00;-8.70201335e+00;1.21116037e+00;1.89864844e+00;3.06988649e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4.67235554e+00;8.26939188e-04;-7.88459542e+00;2.58630009e+00;1.13857249e+01;3.76609583e+00;5.64690365e+01;5.96857785e+00;-5.55966266e+00;5.47366113e-01;1.86654836e+01;2.74014915e+00;-3.28360574e+01;7.54781701e+00;4.29255804e+01;1.19863360e+01;-3.36332321e+01;1.14106712e+01;1.48380622e+01;5.94883779e+00;-2.82870528e+00;1.30853131e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4.67233715e+00;8.36296947e-04;-7.18681000e+00;6.52262826e+00;8.97495762e+00;2.14531015e+01;5.93572308e+01;2.56371650e+01;-5.41121294e+00;1.38702650e+00;1.76003074e+01;9.63942092e+00;-2.91574916e+01;3.29000991e+01;3.53586217e+01;6.71996317e+01;-2.36483953e+01;8.82620823e+01;6.73863359e+00;7.14316519e+01;8.60130574e-01;3.25211933e+01;-7.22381288e-01;6.37632611e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;4.67216550e+00;8.43265254e-04;3.19447984e+02;1.30551591e+03;-1.43761960e+03;5.80454777e+03;2.98317345e+03;1.18397283e+04;6.43692692e+01;2.78929153e+02;-5.57024186e+02;2.30225249e+03;2.37588133e+03;9.67194752e+03;-5.85878203e+03;2.37731487e+04;9.79002550e+03;3.97164974e+04;-1.07490338e+04;4.36846219e+04;7.46397758e+03;3.04233924e+04;-2.97449066e+03;1.21684801e+04;5.18453579e+02;2.12967581e+03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;4.67216407e+00;8.43253194e-04;2.30537547e+02;1.06720084e+03;-1.06870898e+03;4.74739444e+03;2.19677503e+03;9.70558837e+03;4.53666374e+01;2.28014437e+02;-4.05591195e+02;1.88245687e+03;1.73850164e+03;7.91478543e+03;-4.27071959e+03;1.94656047e+04;7.04538433e+03;3.25452335e+04;-7.53162959e+03;3.58426726e+04;4.95412721e+03;2.50485687e+04;-1.73448554e+03;1.01635514e+04;1.70813957e+02;1.96927407e+03;4.14641361e+01;1.83742199e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;4.67217578e+00;8.42917754e-04;3.38129776e+01;4.88813397e+01;-2.53458887e+02;2.98712375e+02;5.82754057e+02;6.60068953e+02;3.32312773e+00;1.04204513e+01;-7.07702534e+01;1.02404804e+02;3.55160422e+02;4.56449078e+02;-8.41724905e+02;1.06789760e+03;1.04056596e+03;1.36895264e+03;-1.38717705e+01;4.20518227e+02;-2.06317388e+03;2.56545398e+03;3.35166765e+03;4.34393269e+03;-2.65935007e+03;3.58131943e+03;1.10346860e+03;1.54340270e+03;-1.91664512e+02;2.78548586e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;4.67217883e+00;8.41888479e-04;1.82707372e+01;1.96817983e+00;-1.73856680e+02;5.75846392e+01;3.96519192e+02;2.08781097e+02;7.10110150e-03;4.17994449e-01;-4.13418805e+01;1.17183030e+01;2.25945272e+02;7.39955688e+01;-5.42628156e+02;1.37683877e+02;6.85678296e+02;4.85368325e+02;-1.65566758e+02;2.62212158e+03;-6.77126971e+02;6.82817147e+03;7.29564241e+02;1.08241286e+04;1.24520002e+02;1.10355214e+04;-6.92073600e+02;7.10770012e+03;4.68465144e+02;2.64223726e+03;-1.06672545e+02;4.32988678e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
