m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err;h22;h22_err;h23;h23_err;h24;h24_err;h25;h25_err;h26;h26_err
2;4.37827770e+00;8.78864544e-04;9.04829332e+00;2.96934996e-02;5.41744890e+00;3.34949198e-01;1.35526357e+02;1.04823478e+00;-2.46969355e+01;3.12017051e-01;-2.08017268e+00;1.14306068e-02;6.23909858e+00;2.81177861e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.37900804e+00;9.60228493e-04;8.72877000e+00;1.63684419e-01;5.06200187e+00;3.67037978e-01;1.29648937e+02;3.22893338e+00;-2.83127002e+01;1.84679263e+00;-2.14220269e+00;3.28843179e-02;6.25669360e+00;2.79077451e-02;-3.59911572e-01;1.83498588e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.38628371e+00;1.31957535e-03;3.15312482e+01;6.09256155e+00;6.99459667e+01;1.64362473e+01;5.91633175e+01;1.07161898e+01;1.16757289e+03;2.90975078e+02;3.23608586e+00;1.41457071e+00;-4.65033720e+00;2.65850504e+00;3.51344111e+01;9.13629561e+00;1.82953795e+01;4.33715016e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.38534156e+00;1.14477733e-03;6.89537742e+00;1.70706833e+00;1.42075827e+01;5.09866160e+00;5.11212673e+01;8.20524878e+00;3.01704985e+02;9.90899747e+01;-2.42710124e+00;3.99072548e-01;6.90163841e+00;7.49018130e-01;-5.50445804e-03;2.63382363e+00;1.15069107e+01;2.00535812e+00;-1.92681235e+00;2.29275996e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.38506210e+00;1.13413990e-03;-6.73446011e-01;3.12473108e+00;5.34941842e+00;5.55693399e+00;5.53368971e+01;7.62525703e+00;1.06530577e+02;1.14801138e+02;-4.16381632e+00;7.21200304e-01;1.21783316e+01;2.03525567e+00;-1.42384214e+01;5.70301686e+00;1.90035940e+01;3.25005121e+00;-8.84692899e+00;2.53437497e+00;1.86687499e+00;6.82034788e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4.38504755e+00;1.08867394e-03;-7.85688659e+00;3.59375203e+00;7.69481514e+00;4.13557738e+00;5.56091163e+01;6.45176135e+00;-1.20168201e+01;9.15057398e+01;-5.80380237e+00;8.22645797e-01;1.93686772e+01;3.34054632e+00;-3.48036447e+01;9.51940564e+00;4.47889932e+01;1.17265434e+01;-3.51925538e+01;1.16975276e+01;1.54836374e+01;5.98845869e+00;-2.93922587e+00;1.28462100e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4.38445909e+00;1.43909063e-03;4.41644536e+01;2.04478294e+02;-1.10985718e+02;4.27225695e+02;1.87857562e+02;4.71946841e+02;4.92047225e+02;2.25593813e+03;6.03998444e+00;4.65983379e+01;-5.46528610e+01;2.82990248e+02;2.18753216e+02;9.64294480e+02;-4.35570227e+02;1.79441743e+03;6.00867789e+02;2.37271946e+03;-4.93339509e+02;1.89044255e+03;2.25768268e+02;8.46762372e+02;-4.43040772e+01;1.63581291e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;4.38487481e+00;1.08455615e-03;-5.36657063e+00;4.33836222e+00;-1.47096612e+01;7.33028570e+00;1.03889699e+02;1.53680219e+01;-6.32278334e+01;8.98953312e+01;-5.24177786e+00;9.90897006e-01;1.21862733e+01;4.86352870e+00;-4.63742581e-01;1.60514270e+01;-5.13093237e+01;3.24604053e+01;1.34499541e+02;5.64571190e+01;-1.80874208e+02;6.90309781e+01;1.39458692e+02;5.46450140e+01;-5.88369550e+01;2.46824494e+01;1.05748384e+01;4.80858024e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;4.38420405e+00;1.39257579e-03;1.61979956e+01;4.92489224e+01;-9.02764097e+01;1.76766704e+02;1.73169942e+02;3.35031760e+02;1.57738425e+02;6.34882186e+02;-3.47141136e-01;1.12018777e+01;-2.39919839e+01;8.29611042e+01;1.24485986e+02;3.22212222e+02;-2.65214791e+02;7.53431749e+02;2.94685262e+02;1.32287763e+03;-9.37880426e+00;1.83451239e+03;-3.88421837e+02;1.97730526e+03;4.80206622e+02;1.45633702e+03;-2.56095636e+02;6.25559355e+02;5.34635924e+01;1.16918122e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;4.38435181e+00;1.16583465e-03;-1.56078837e+00;7.51732222e+00;-5.28883754e+01;4.53584270e+01;1.73735806e+02;1.59858257e+02;-7.91251028e+01;3.11420518e+02;-4.39137592e+00;1.71566942e+00;5.99860643e-01;1.57709841e+01;5.04929766e+01;8.84832423e+01;-1.56160561e+02;3.33906750e+02;1.91214775e+02;8.62080289e+02;7.92673121e+01;1.63836847e+03;-6.07502480e+02;2.22031327e+03;9.13723125e+02;2.08392255e+03;-7.04101409e+02;1.28348375e+03;2.86644998e+02;4.65469306e+02;-4.90151784e+01;7.51957640e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
