m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err;h22;h22_err;h23;h23_err;h24;h24_err;h25;h25_err
2;4.37915058e+00;9.64761020e-04;8.96673288e+00;4.59427740e-02;5.61216893e+00;3.46459705e-01;1.28825461e+02;3.20214125e+00;-1.96247787e+01;2.29562834e+00;-1.72231853e+00;7.68347774e-01;-2.08567322e+00;1.15127920e-02;6.11600580e+00;6.25063085e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.38571985e+00;1.44005449e-03;1.01279170e+02;3.82271017e+01;1.97441518e+02;7.87174739e+01;1.23504738e+02;2.39582711e+01;3.03465935e+03;1.23809383e+03;-5.79283610e+02;2.31550109e+02;1.91572533e+01;8.76241890e+00;-4.10477479e+01;1.90193847e+01;1.35554845e+02;5.56564940e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.38518977e+00;1.15399805e-03;5.13490041e+00;2.03357170e+00;1.26150494e+01;5.95386327e+00;5.95017166e+01;7.63509105e+00;2.24967503e+02;1.10927208e+02;1.33894569e+02;1.58116234e+01;-2.83430432e+00;4.74602675e-01;8.35190484e+00;9.11274206e-01;-3.81498929e+00;3.09618016e+00;1.48202200e+01;2.49239404e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.38375911e+00;1.21095406e-03;-8.39777410e+00;4.81737772e+00;9.56062952e+00;7.45546184e+00;1.52918231e+02;4.41558365e+01;-3.90062668e+02;2.26911685e+02;1.62990145e+03;7.31792554e+02;-5.96989387e+00;1.11705040e+00;2.17582248e+01;5.55644299e+00;-3.74590775e+01;1.33712596e+01;5.44546307e+01;2.06776923e+01;2.18415201e+01;1.07927854e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.38376983e+00;1.29950160e-03;-8.59817344e+00;5.47020474e+00;9.17396368e+00;1.43789154e+01;1.51261784e+02;7.88240936e+01;-3.88322515e+02;2.70992693e+02;1.59717169e+03;1.42669782e+03;-6.01519077e+00;1.25488475e+00;2.18381450e+01;5.59586349e+00;-3.77108739e+01;1.32656315e+01;5.42295725e+01;2.67700430e+01;2.08095632e+01;3.35954046e+01;1.52205349e-01;3.80573385e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4.38314679e+00;1.03884985e-03;-3.31197269e+01;1.69605583e+00;4.48136060e+01;6.41581387e+00;1.55482421e+02;1.64337487e+01;-7.21393786e+02;7.21095059e+01;1.69516074e+03;2.44588970e+02;-1.16167412e+01;3.88677840e-01;5.26015627e+01;2.99659683e+00;-1.29768227e+02;9.20048484e+00;1.95880044e+02;1.74985048e+01;-1.26594793e+02;1.78209970e+01;8.35929226e+01;1.07657318e+01;-1.95351334e+01;2.72239094e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4.38404946e+00;1.03957823e-03;-3.98680068e+01;3.46376908e+00;9.44284596e+01;2.04289804e+01;5.08387956e+01;3.14509101e+01;-6.21154680e+02;5.49039370e+01;1.45328223e+03;1.83638488e+02;-1.31308673e+01;7.84229603e-01;6.93053659e+01;7.62833240e+00;-2.04016904e+02;3.08233371e+01;3.79555103e+02;7.32371589e+01;-4.20449304e+02;1.06167701e+02;3.53722446e+02;9.82087194e+01;-1.59350458e+02;5.01374936e+01;3.08343993e+01;1.09188905e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;4.38375141e+00;1.03645798e-03;-3.70724374e+01;2.27463915e+00;6.72195091e+01;1.12989152e+01;1.35765913e+02;1.68532141e+01;-7.22183168e+02;6.48304685e+01;1.53175975e+03;2.03744482e+02;-1.25017909e+01;5.16443928e-01;6.08233871e+01;4.52476134e+00;-1.57342819e+02;1.54769927e+01;2.36429489e+02;2.88257836e+01;-1.39378123e+02;2.60435400e+01;-2.16232504e-01;6.76358997e+00;1.20604594e+02;2.80311372e+01;-9.48885203e+01;2.34603241e+01;2.44502448e+01;6.58686014e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;4.38368614e+00;1.15797297e-03;-3.64804715e+01;1.18670114e+01;6.26013429e+01;9.73573290e+01;1.46173362e+02;2.92615150e+02;-7.30561429e+02;4.01519267e+02;1.54386726e+03;1.85608112e+02;-1.23686504e+01;2.69081450e+00;5.92883944e+01;3.25027904e+01;-1.50194375e+02;1.75190121e+02;2.17927197e+02;5.70836348e+02;-1.09153795e+02;1.22244508e+03;-2.89010786e+01;1.83088623e+03;1.34098906e+02;1.86735727e+03;-9.46861968e+01;1.24064168e+03;2.14967493e+01;4.84747476e+02;8.75171507e-01;8.45044697e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;4.38400559e+00;1.13313818e-03;-3.84022240e+01;2.17798054e+01;7.48137879e+01;1.26788259e+02;1.41531781e+02;2.43282148e+02;-7.77172557e+02;4.83610689e+02;1.49452228e+03;1.18020082e+03;-1.27986311e+01;4.95270229e+00;6.35821343e+01;4.82892018e+01;-1.63699063e+02;2.09487735e+02;2.26828095e+02;5.96251780e+02;-7.48049821e+01;1.23440707e+03;-1.29530191e+02;2.12957752e+03;1.86764218e+02;2.85378402e+03;4.41503600e+01;2.75394030e+03;-2.36082818e+02;1.76323430e+03;1.72906026e+02;6.67991700e+02;-4.25261738e+01;1.13426339e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;
