m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err;h22;h22_err;h23;h23_err;h24;h24_err
2;4.38330312e+00;1.01269998e-03;6.32814020e+00;1.99185186e-01;2.97278762e+00;3.71748753e-01;7.08295841e+01;5.26011504e+00;9.98865481e+01;9.16936878e+00;-1.03393088e+02;7.63974727e+00;3.21334461e+01;2.41146820e+00;-2.60517466e+00;3.94988440e-02;6.10560212e+00;5.83586999e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.38556941e+00;1.21477146e-03;1.32810147e+01;3.30531420e+00;1.93145656e+01;7.38557597e+00;3.66698868e+01;1.21612432e+01;5.04748228e+02;1.65850118e+02;-2.55947124e+02;5.86906956e+01;6.43133814e+01;1.20326732e+01;-9.60397157e-01;7.70592163e-01;1.81919783e+00;1.87212798e+00;1.35263504e+01;5.89649404e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.38433754e+00;1.14360736e-03;-7.00793218e+00;4.17976635e+00;5.39521259e+00;4.83525866e+00;1.03613271e+02;1.79850648e+01;-2.04984173e+02;1.57974833e+02;8.18776427e+02;2.69916312e+02;-1.15941963e+02;4.61762728e+01;-5.63354503e+00;9.65152365e-01;1.88609584e+01;3.78721980e+00;-3.14030812e+01;9.82602557e+00;4.12127099e+01;1.10604504e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.38376856e+00;1.30094354e-03;-8.61538995e+00;5.86790317e+00;9.25442012e+00;1.32015972e+01;1.51338883e+02;8.06659216e+01;-3.89582313e+02;2.57882633e+02;1.60232800e+03;1.37644841e+03;-1.05574999e+01;2.84901878e+02;-6.01916210e+00;1.34273690e+00;2.18740750e+01;5.49164006e+00;-3.78414413e+01;1.35199715e+01;5.44961901e+01;2.31672417e+01;2.05343606e+01;4.29130973e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.38545514e+00;1.41160162e-03;2.88784920e+00;1.47264624e+01;-1.83254108e+02;9.66183202e+01;9.71563522e+01;4.92825433e+01;2.40021133e+03;1.43819464e+03;-1.10599454e+04;5.96203201e+03;3.00343815e+04;1.49369940e+04;-3.31757415e+00;3.39157346e+00;-3.61343117e+01;3.69052900e+01;2.24537609e+02;1.50640584e+02;-5.56207598e+02;3.22031607e+02;7.63594638e+02;3.96847645e+02;4.53726194e+02;2.19464269e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4.38480756e+00;1.22868713e-03;-3.10849439e+01;3.88492256e+00;2.81544541e+01;2.29748728e+01;8.96638619e+01;3.24380791e+01;1.05232475e+02;4.73407432e+02;-1.66002991e+03;1.94529634e+03;7.00176509e+03;4.31732446e+03;-1.11024445e+01;8.99718262e-01;4.51464775e+01;9.33301109e+00;-9.52670726e+01;3.69061497e+01;1.17570341e+02;7.87186660e+01;-4.99276968e+01;8.82705122e+01;2.48258915e+02;8.71551856e+01;-3.53741195e+01;8.37411461e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4.38478432e+00;1.28495502e-03;-2.98751610e+01;1.54525604e+01;1.88842581e+01;1.12194209e+02;1.03825477e+02;1.16961780e+02;1.36331350e+02;8.95781259e+02;-1.81291434e+03;3.91218106e+03;7.34707825e+03;8.63734898e+03;-1.08270297e+01;3.54280690e+00;4.19322723e+01;4.05456284e+01;-8.05967250e+01;1.80342769e+02;8.09105442e+01;4.38393372e+02;6.20560823e+00;6.36390239e+02;2.06454134e+02;3.49273189e+02;-9.67366809e+00;2.52689852e+02;-5.96661559e+00;6.00897767e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;4.38465484e+00;1.28403272e-03;-3.15927141e+01;3.38374396e+01;2.69101143e+01;2.65633434e+02;1.37853789e+02;4.91445925e+02;-1.12014973e+02;1.00222776e+03;-1.04486902e+03;5.84654842e+03;5.59884883e+03;1.24334783e+04;-1.12241514e+01;7.73307088e+00;4.55741168e+01;9.23124227e+01;-8.89750083e+01;4.50086704e+02;7.23483777e+01;1.24990968e+03;8.57118459e+01;2.18136668e+03;-2.62313744e+01;2.22317887e+03;1.97962420e+02;1.85509460e+03;-1.20904806e+02;8.14435027e+02;2.69129634e+01;1.53883841e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;4.38449532e+00;1.24072315e-03;-3.22599317e+01;1.61506676e+01;3.18201226e+01;1.17828991e+02;1.41066979e+02;1.75674915e+02;-2.16638670e+02;7.28634169e+02;-5.87359171e+02;3.43452582e+03;4.53196050e+03;7.17158823e+03;-1.13815139e+01;3.69771705e+00;4.75025190e+01;4.22516562e+01;-9.77805328e+01;1.95058504e+02;9.50043480e+01;5.09471893e+02;4.75712196e+01;8.18982574e+02;-6.72656325e+00;7.07984767e+02;1.41956719e+02;5.33332474e+02;-6.97702676e+01;1.78232086e+02;1.03742729e+00;4.17397619e+01;5.65467377e+00;1.65337419e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;4.38468442e+00;1.32999478e-03;-3.12690029e+01;4.49658041e+01;2.61292615e+01;3.37774633e+02;1.23444314e+02;5.14159937e+02;-3.45800198e+01;2.11548504e+03;-1.23332996e+03;9.06662049e+03;5.92701482e+03;1.64886976e+04;-1.11492316e+01;1.02714797e+01;4.50527874e+01;1.19003427e+02;-8.98569139e+01;5.43390997e+02;8.95291671e+01;1.29558577e+03;1.50467151e+01;1.54969238e+03;1.42942358e+02;1.99917081e+03;-3.18778750e+01;4.92247801e+03;9.02757513e+01;7.17593519e+03;-9.53518792e+01;5.83467108e+03;4.04680452e+01;2.57175581e+03;-5.85820610e+00;4.82801650e+02;;;;;;;;;;;;;;;;;;;;;;;;;;
12;4.38475297e+00;1.31933848e-03;-2.83534349e+01;4.53744492e+01;-2.76342399e+00;3.67110802e+02;2.04092710e+02;8.47439376e+02;-2.16635494e+01;1.39011891e+03;-1.79858148e+03;6.47036677e+03;7.38310960e+03;1.37559109e+04;-1.04818158e+01;1.03640414e+01;3.56906966e+01;1.25986274e+02;-3.61047770e+01;6.46553541e+02;-8.56689646e+01;2.00093318e+03;3.76409798e+02;4.32057457e+03;-2.96647188e+02;7.10223961e+03;3.28541734e+02;1.02683365e+04;5.32999997e+01;1.18165410e+04;-3.09970411e+02;1.08820625e+04;2.50029237e+02;7.37948337e+03;-9.06655684e+01;3.11065258e+03;1.29141084e+01;5.90094334e+02;;;;;;;;;;;;;;;;;;;;;;;;
13;4.38468024e+00;1.38484713e-03;-2.67133063e+01;2.77260657e+01;-2.12473508e+01;1.46838128e+02;2.69701557e+02;8.29260695e+02;-7.64712434e+01;5.79463100e+03;-1.89037113e+03;1.41346985e+04;7.45495338e+03;1.81827068e+04;-1.01104850e+01;6.34619748e+00;3.00801389e+01;5.93166157e+01;-2.16154500e+00;1.72131176e+02;-1.92577979e+02;1.37729582e+03;5.64783985e+02;6.65465041e+03;-4.66137606e+02;1.73555400e+04;3.41722784e+02;2.56923461e+04;9.71379605e+01;2.06381280e+04;-1.05358870e+02;1.65520054e+04;-2.34689407e+02;3.13741245e+04;3.44894712e+02;2.82361783e+04;-1.71857258e+02;1.27241046e+04;3.05862118e+01;2.36590791e+03;;;;;;;;;;;;;;;;;;;;;;
14;4.38483313e+00;1.40173537e-03;-2.92735609e+01;7.97883250e+01;1.74103445e+01;6.76312769e+02;7.53582793e+01;1.67879247e+03;2.57375121e+02;4.35039306e+03;-1.92145262e+03;1.53970367e+04;7.46959974e+03;2.85985415e+04;-1.06882284e+01;1.82159970e+01;4.09797121e+01;2.27679410e+02;-8.30357331e+01;1.16795732e+03;1.13903356e+02;3.48474217e+03;-8.58841063e+01;7.01846266e+03;3.02292846e+02;1.00835126e+04;6.64503864e+01;1.08773214e+04;-2.12261574e+02;1.21348106e+04;-5.84842696e+01;1.27247318e+04;3.76389333e+02;8.23324380e+03;-9.77116841e+01;2.52501255e+04;-4.01864355e+02;2.77232285e+04;3.94887269e+02;1.40725937e+04;-1.12329272e+02;2.83822558e+03;;;;;;;;;;;;;;;;;;;;
15;4.38437662e+00;1.31848247e-03;-3.26074873e+01;7.42374914e+01;3.05591233e+01;5.35154029e+02;1.73898980e+02;9.48271271e+02;-3.40818224e+02;2.42693252e+03;-2.19921347e+02;1.05193721e+04;3.48658050e+03;1.65923695e+04;-1.14653883e+01;1.69401289e+01;4.77253142e+01;1.90455271e+02;-9.35551233e+01;8.80858069e+02;7.28827411e+01;2.28815555e+03;8.49081668e+01;3.47076539e+03;-4.12480280e+01;2.74719222e+03;4.82194625e+01;2.33322191e+03;5.92278440e+01;6.38259718e+03;-3.99038828e+01;6.87617101e+03;1.12104818e+01;2.67585156e+03;-5.16821080e+01;3.72646354e+03;1.53728693e+01;2.88430536e+03;6.19194731e+01;5.69146998e+03;-5.35142144e+01;4.05514104e+03;1.23027712e+01;9.87403209e+02;;;;;;;;;;;;;;;;;;
