m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err;h22;h22_err;h23;h23_err
2;4.38535223e+00;1.08203077e-03;4.17362202e+00;4.65863625e-01;4.51888035e+00;5.11598396e-01;3.70654452e+01;8.25007376e+00;2.85800038e+02;3.86207554e+01;-3.77816302e+02;5.67909077e+01;2.21139425e+02;3.92821898e+01;-5.09040797e+01;1.06628678e+01;-3.04738563e+00;9.52422468e-02;7.15370718e+00;2.28189639e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.38530248e+00;1.15823320e-03;3.83066870e+00;2.77176074e+00;3.82831440e+00;5.61885769e+00;3.77901415e+01;1.02343110e+01;2.71697851e+02;1.22392127e+02;-3.75857436e+02;5.80763720e+01;2.22772192e+02;3.88656785e+01;-5.16807592e+01;1.15133432e+01;-3.12706640e+00;6.42753276e-01;7.35436616e+00;1.61473773e+00;-5.82267185e-01;4.69577125e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.38368479e+00;1.27125872e-03;-1.11235182e+01;5.29891149e+00;1.40562967e+01;1.78662226e+01;1.55016754e+02;6.76337972e+01;-4.70728330e+02;3.06260757e+02;1.83339412e+03;1.41000396e+03;-4.66255700e+02;5.15651990e+02;6.75786850e+01;1.06644717e+02;-6.59386066e+00;1.22805720e+00;2.53673748e+01;8.06526249e+00;-4.91540154e+01;2.17177963e+01;7.41861947e+01;4.58045617e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.38353390e+00;1.20801333e-03;-1.88433997e+01;5.34966627e+00;2.43176812e+01;1.36853325e+01;1.52377850e+02;5.07498799e+01;-6.68131538e+02;2.61516645e+02;2.21602055e+03;1.06984004e+03;-1.71334883e+03;7.23432612e+02;2.41944247e+02;1.14920436e+02;-8.35859869e+00;1.23434715e+00;3.49289476e+01;7.93902839e+00;-8.03578548e+01;2.32008797e+01;1.24487436e+02;4.35053576e+01;-6.22036895e+01;2.93161629e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.38474590e+00;1.21215660e-03;-3.24261226e+01;4.47330896e+00;3.95009991e+01;2.58583479e+01;7.46844397e+01;3.43735415e+01;-1.81522135e+01;4.77512990e+02;-9.29242565e+02;1.93805338e+03;4.81470444e+03;4.22196645e+03;2.46851971e+03;5.64656428e+02;-1.14112084e+01;1.03397717e+00;4.91004164e+01;1.05321975e+01;-1.15214204e+02;4.09999513e+01;1.72179791e+02;8.66967184e+01;-1.39322242e+02;9.73842227e+01;2.99133553e+02;9.49524652e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4.38481643e+00;1.32135066e-03;-3.13187930e+01;9.15711889e+00;3.03499813e+01;6.85137597e+01;8.49447577e+01;7.83488844e+01;8.94430571e+01;8.70159641e+02;-1.53623001e+03;4.61560356e+03;6.57960923e+03;1.27524157e+04;6.40561423e+02;1.32717551e+04;-1.11557725e+01;2.11217208e+00;4.58691245e+01;2.50101380e+01;-9.91908074e+01;1.18938226e+02;1.29039616e+02;3.14635995e+02;-7.01018201e+01;4.94067780e+02;2.64020037e+02;2.87087538e+02;-2.63005301e+01;1.90006515e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4.38473630e+00;1.34522863e-03;-2.86664513e+01;2.64876495e+01;1.10928377e+01;1.79268457e+02;1.10200158e+02;1.62961691e+02;9.81723724e+01;7.67646493e+02;-1.31988212e+03;5.75945950e+03;5.29039110e+03;2.46300889e+04;4.55047528e+03;6.06002037e+04;-1.05534438e+01;6.03065155e+00;3.91442729e+01;6.46531694e+01;-7.11708207e+01;2.52707448e+02;6.73529754e+01;5.13182977e+02;1.21946050e+01;6.21284273e+02;2.06045696e+02;3.20546805e+02;1.25394038e+02;1.91371797e+03;-2.26795395e+01;2.51775283e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;4.38474508e+00;1.31305971e-03;-3.08366757e+01;3.23308668e+01;2.30133774e+01;2.51334897e+02;1.25886534e+02;4.73047305e+02;-1.26688073e+01;8.91001609e+02;-1.34632077e+03;5.58943582e+03;6.19411282e+03;1.67070556e+04;3.57003334e+02;3.38361240e+04;-1.10487281e+01;7.37629786e+00;4.38746368e+01;8.70762272e+01;-8.41848708e+01;4.16647530e+02;7.08080791e+01;1.14264195e+03;6.47280465e+01;1.99945421e+03;5.03716722e+01;2.12546669e+03;1.43984929e+02;2.11472502e+03;-8.67474972e+01;8.06920217e+02;1.86279905e+01;1.51075407e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;4.38471457e+00;1.28819144e-03;-3.03085220e+01;4.26810820e+01;1.77442252e+01;3.11732275e+02;1.39752676e+02;4.84077676e+02;4.31241506e+00;6.00683788e+02;-1.50351589e+03;4.59931165e+03;6.72241012e+03;2.08472372e+04;-7.99156995e+02;5.65266713e+04;-1.09293119e+01;9.71779929e+00;4.22214598e+01;1.09511129e+02;-7.53030903e+01;4.83991327e+02;4.78321148e+01;1.19217425e+03;9.19924382e+01;1.82555132e+03;5.87153706e+01;1.62042948e+03;3.89346289e+01;2.21108596e+03;9.96846158e+00;4.88753661e+02;-3.58432964e+01;3.37682696e+02;1.26347817e+01;9.39995257e+01;;;;;;;;;;;;;;;;;;;;;;;;;;
11;4.38461532e+00;1.34519957e-03;-2.97432444e+01;7.70032390e+01;1.42008191e+01;5.05381485e+02;1.44823875e+02;4.33131746e+02;-4.36545943e+01;2.98165311e+03;-1.08658880e+03;6.52650740e+03;5.19001650e+03;2.42206644e+04;1.70929933e+03;8.77277722e+04;-1.08036358e+01;1.75676807e+01;4.10256920e+01;1.85978823e+02;-7.20027396e+01;7.18080625e+02;4.80555133e+01;1.37144532e+03;7.25017124e+01;1.68772140e+03;9.28414458e+01;3.66657744e+03;5.37799360e+01;3.38238273e+03;4.08433735e+01;4.00764924e+03;-3.67561827e+01;1.68453702e+03;-1.06704739e+00;1.47332604e+02;5.39455302e+00;1.20005050e+02;;;;;;;;;;;;;;;;;;;;;;;;
