m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err;h22;h22_err
2;4.38527472e+00;1.16488071e-03;4.19453453e+00;4.81485017e-01;3.96402319e+00;3.10658265e+00;3.87766560e+01;1.26405841e+01;2.68345845e+02;1.04741500e+02;-3.38016992e+02;2.28223322e+02;1.75112732e+02;2.57688596e+02;-2.36443328e+01;1.50718242e+02;-6.56545010e+00;3.61034531e+01;-3.04492642e+00;9.62004982e-02;7.07925788e+00;4.76621660e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.38454083e+00;1.44724985e-03;5.65192736e+01;1.89132341e+02;4.31054894e+01;1.61135536e+02;1.15261687e+02;2.26505775e+02;4.24490351e+02;1.17233507e+03;3.83734271e+03;1.38067806e+04;-5.28412630e+03;1.82187528e+04;3.20744711e+03;1.07703171e+04;-7.62398739e+02;2.51099574e+03;8.85909842e+00;4.30964254e+01;-3.07496524e+01;1.34541644e+02;8.62117794e+01;3.11942323e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.38332493e+00;1.06499143e-03;-3.07919248e+01;1.61654736e+00;2.66847548e+01;4.71061823e+00;1.77230200e+02;1.77586643e+01;-5.74201153e+02;9.35683021e+01;9.22215315e+02;3.42664465e+02;2.05159565e+03;3.70218409e+02;-1.71834948e+03;2.63357015e+02;4.69916611e+02;7.30786261e+01;-1.10809916e+01;3.71751082e-01;4.61482318e+01;2.61214452e+00;-9.91469573e+01;6.77391745e+00;1.15932712e+02;1.10135348e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.38501993e+00;1.19224940e-03;-2.41890808e+01;4.52163194e+00;-2.81544024e+01;2.64383647e+01;1.63043965e+02;2.21297163e+01;5.71085967e+02;4.23471212e+02;-4.19436340e+03;1.88479570e+03;1.41048223e+04;4.37291295e+03;-5.98579783e+03;1.51521174e+03;1.29957686e+03;3.04297321e+02;-9.51991245e+00;1.04310601e+00;2.55175207e+01;1.06015248e+01;-4.55115982e-01;4.35983086e+01;-1.31942448e+02;1.01632061e+02;3.50513267e+02;1.35273311e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.38460973e+00;1.22701557e-03;-3.30499629e+01;5.08255392e+00;4.40778354e+01;3.39817987e+01;7.98110904e+01;4.29534650e+01;-1.29765169e+02;4.96006118e+02;-4.67517068e+02;2.18945284e+03;3.74601146e+03;5.11683105e+03;2.46128618e+03;3.29060083e+03;-1.45115758e+01;4.99275502e+02;-1.15581999e+01;1.17368351e+00;5.09000599e+01;1.29473805e+01;-1.23014079e+02;5.65662878e+01;1.89411966e+02;1.38825272e+02;-1.59665805e+02;2.01990697e+02;2.79302726e+02;1.45114536e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4.38374128e+00;1.33785131e-03;-1.19175479e+01;8.21410991e+01;9.86198241e+00;2.82257678e+02;1.54754280e+02;3.77159699e+02;-4.72185215e+02;3.22600362e+03;1.59718238e+03;1.34478259e+04;-2.06145493e+02;4.69495832e+04;-1.24887333e+03;3.70321909e+04;8.95510120e-01;1.71993009e+02;-6.77294043e+00;1.87497697e+01;2.50655605e+01;1.40821451e+02;-4.61279090e+01;5.79009413e+02;5.77025682e+01;1.28193194e+03;2.36163783e+01;1.99688391e+03;-4.35880937e+01;6.62919097e+02;-1.77395823e+01;5.18231794e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4.38482713e+00;1.35366212e-03;-2.94925385e+01;6.24959135e+01;1.57561466e+01;4.28900965e+02;1.09646369e+02;4.82657311e+02;1.17634992e+02;1.22043041e+03;-1.68711784e+03;8.54531355e+03;6.90101800e+03;4.24744195e+04;8.00297772e+02;1.20279909e+05;3.03703631e+03;4.79498023e+04;-1.07388420e+01;1.42498388e+01;4.08488625e+01;1.54708133e+02;-7.54432736e+01;6.32097003e+02;6.46788604e+01;1.44086215e+03;4.59458946e+01;2.21078899e+03;1.36389468e+02;2.25027254e+03;1.36840398e+02;4.11053735e+03;2.92062156e+01;7.52969927e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;4.38470587e+00;1.33853966e-03;-3.25263188e+01;2.81081871e+01;3.40449318e+01;2.18436364e+02;1.21037734e+02;3.97643117e+02;-3.90227752e+01;8.69572293e+02;-1.46249196e+03;6.06858887e+03;6.90758388e+03;2.34447747e+04;-1.74264062e+03;5.85096339e+04;-4.03593234e+03;4.63052312e+04;-1.14349347e+01;6.41198163e+00;4.79580677e+01;7.56424707e+01;-9.95186751e+01;3.59237980e+02;1.01557664e+02;9.56194301e+02;2.30788765e+01;1.57540091e+03;8.57081906e+01;1.50203668e+03;-1.74804020e+01;1.86568302e+03;-1.69148995e+02;1.83192510e+03;2.85118027e+01;2.36857682e+02;;;;;;;;;;;;;;;;;;;;;;;;;;
10;4.38464097e+00;1.38434454e-03;-2.98338884e+01;2.63365642e+02;1.52304348e+01;1.89127522e+03;1.42013378e+02;2.43516200e+03;-5.89667356e+01;5.60611161e+03;-9.90526761e+02;1.47585199e+04;4.89409014e+03;5.16391517e+04;2.29599232e+03;2.50099688e+05;1.32451880e+03;7.62168371e+04;-1.08236416e+01;6.00685185e+01;4.13256936e+01;6.72940247e+02;-7.36542760e+01;2.92212392e+03;5.05177863e+01;6.86305537e+03;7.82944759e+01;9.36123293e+03;6.56572507e+01;5.96529769e+03;1.31068379e+02;7.68644202e+03;5.82387326e+01;3.81980197e+03;-5.64865192e+01;3.29869682e+03;1.70686972e+01;8.46140693e+02;;;;;;;;;;;;;;;;;;;;;;;;
11;4.38466289e+00;1.30952625e-03;-2.94062935e+01;3.91391488e+01;1.16385953e+01;2.93921516e+02;1.44698093e+02;6.44796563e+02;-5.97847666e+00;1.06230679e+03;-1.22419454e+03;5.84099905e+03;5.47369905e+03;2.65443655e+04;1.88142684e+03;6.87933699e+04;-1.32170582e+02;2.27388303e+04;-1.07253507e+01;8.91093605e+00;4.00782318e+01;1.01832338e+02;-6.79189259e+01;4.74695566e+02;3.92446158e+01;1.33869071e+03;8.35693330e+01;2.63648773e+03;9.23708796e+01;3.61773798e+03;7.38259628e+01;3.20285918e+03;4.90719298e+00;1.50002221e+03;-2.30442795e+00;3.97136235e+02;-2.02654755e+01;4.38959758e+02;9.83652944e+00;1.40422368e+02;;;;;;;;;;;;;;;;;;;;;;
