m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err
2;4.67224871e+00;8.40478032e-04;2.30307150e+00;1.29145690e+00;-3.98320083e+00;7.31919608e+00;7.65772974e+01;1.88937050e+01;-3.32991040e+00;1.95337755e+02;6.06995461e+02;6.40673261e+02;-1.55025618e+03;1.11826636e+03;1.72763050e+03;1.10303301e+03;-9.46715738e+02;5.81690130e+02;2.08734755e+02;1.27783200e+02;-3.38791025e+00;2.81665666e-01;7.26599154e+00;5.26866819e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.67214984e+00;8.43129428e-04;2.92287864e+01;6.77827930e+01;-1.51322692e+01;2.05878550e+01;2.44445301e+02;3.22083077e+02;-6.80708081e+02;9.84010205e+02;7.04757332e+03;1.24033493e+04;-1.27755868e+04;2.14361128e+04;1.21697892e+04;1.96466056e+04;-6.13045491e+03;9.62574830e+03;1.28863472e+03;1.98502846e+03;2.32607198e+00;1.44336391e+01;-1.51498843e+01;5.17707669e+01;5.88616017e+01;1.35745592e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.67216063e+00;8.36845981e-04;-3.95780367e+01;2.31400513e+00;6.48405678e+01;1.13483289e+01;1.17868930e+02;2.27998716e+01;-2.77825172e+02;1.31990302e+02;-5.96836495e+02;7.35891585e+02;7.48621314e+03;2.11134693e+03;-8.06283606e+03;2.44689074e+03;4.14583786e+03;1.42929178e+03;-8.65307906e+02;3.41290036e+02;-1.23514680e+01;4.91671768e-01;5.66151947e+01;4.11584857e+00;-1.31722673e+02;1.24444348e+01;1.65106675e+02;1.85634166e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.67217301e+00;8.41004009e-04;-3.80715756e+01;9.53826951e+00;5.24694667e+01;7.06075283e+01;1.28487047e+02;5.67586412e+01;-1.53832886e+02;6.77477624e+02;-1.17240095e+03;3.16702307e+03;9.09774583e+03;8.43508578e+03;-8.32126042e+03;3.06109852e+03;4.03356739e+03;1.93043751e+03;-8.08412547e+02;5.50265530e+02;-1.20267005e+01;2.05254749e+00;5.25993389e+01;2.35682399e+01;-1.13547419e+02;1.01850413e+02;1.21906291e+02;2.36779426e+02;6.23665616e+01;3.26208798e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.67202007e+00;8.35131680e-04;-3.87804075e+01;2.68840238e+00;5.78801459e+01;2.16910130e+01;1.56170591e+02;3.72164136e+01;-4.47082318e+02;2.75404214e+02;-2.10171241e+01;1.71408041e+03;6.57672665e+03;5.37998129e+03;-9.86912441e+03;5.84154728e+03;4.34337803e+03;1.95855565e+03;-8.61749900e+02;3.48191808e+02;-1.21897866e+01;5.80425943e-01;5.48226936e+01;7.03173838e+00;-1.22142036e+02;3.61912066e+01;1.35314576e+02;1.06487647e+02;6.41691894e+01;1.97409764e+02;-1.24909828e+02;1.32146671e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4.67217478e+00;8.41691799e-04;-3.59658517e+01;1.80906786e+01;4.01494724e+01;1.25344429e+02;1.19947264e+02;1.83701181e+02;-1.33616144e+02;8.98199035e+02;-5.62733734e+02;5.26269615e+03;6.07296585e+03;2.03826651e+04;6.32583192e+02;5.02255694e+04;3.00850732e+03;1.68225188e+04;-3.72078479e+02;2.90083534e+03;-1.15770373e+01;3.87179523e+00;4.82785969e+01;4.16834461e+01;-1.02360490e+02;1.64228616e+02;1.22011803e+02;3.79686416e+02;1.13984518e+01;6.93278527e+02;1.29108940e+02;1.04156728e+03;1.51187017e+02;1.46849886e+03;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4.67217099e+00;8.42019830e-04;-3.33466419e+01;6.96166794e+01;1.92692090e+01;6.54188874e+02;1.42697764e+02;1.95103849e+03;3.75258401e+00;5.50214199e+02;-1.27844370e+03;1.59423866e+04;8.71449862e+03;6.40711544e+04;-2.70084211e+03;1.72584525e+05;1.05612315e+04;1.83826026e+05;1.45928143e+03;8.91454140e+04;-1.10149319e+01;1.48967035e+01;4.15449567e+01;1.96754398e+02;-7.24836358e+01;1.08575730e+03;4.91058326e+01;3.45352568e+03;1.29684728e+02;7.03454242e+03;7.18095363e+01;8.94595808e+03;1.94682948e+02;7.61935854e+03;2.67665970e+02;1.08829068e+04;;;;;;;;;;;;;;;;;;;;;;;;;;
9;4.67216916e+00;8.42529226e-04;-3.49143999e+01;1.84203186e+02;3.04260668e+01;1.42623851e+03;1.45277571e+02;2.17000236e+03;-1.48516289e+02;5.57968489e+03;-5.77895768e+02;2.70851101e+04;6.11475885e+03;8.43521879e+04;5.73289461e+02;7.81177183e+04;3.50524705e+03;3.34266759e+05;3.21112264e+03;2.82970016e+05;-1.13528728e+01;3.94529658e+01;4.53652365e+01;4.59693761e+02;-8.74113923e+01;2.05774664e+03;8.02838965e+01;5.19503142e+03;8.08809232e+01;8.58208003e+03;7.07646696e+01;8.36143180e+03;1.56091074e+02;9.68764058e+03;1.24726190e+02;1.79478333e+04;4.97713565e+01;2.80287734e+03;;;;;;;;;;;;;;;;;;;;;;;;
10;4.67217231e+00;8.42304181e-04;-3.98899996e+01;1.88878249e+02;6.27209028e+01;1.49347568e+03;1.47293614e+02;2.48892564e+03;-3.04049072e+02;3.52608501e+03;-8.73354888e+02;2.01194288e+04;8.14366699e+03;7.32466000e+04;-6.19390509e+03;2.38244501e+05;-6.30574832e+03;2.66046821e+05;5.03681074e+03;1.68986147e+05;-1.24162119e+01;4.04402555e+01;5.63236931e+01;4.77274461e+02;-1.22434085e+02;2.18714262e+03;1.12223674e+02;5.58673478e+03;1.51701401e+02;9.15125818e+03;-2.47611410e+02;8.66311292e+03;2.60696190e+02;9.67973936e+03;-5.01698333e+02;2.77037412e+03;3.39210359e+02;4.60662578e+03;-4.97958958e+01;6.30566317e+02;;;;;;;;;;;;;;;;;;;;;;
11;4.67214497e+00;8.40818372e-04;-3.77519860e+01;1.07847567e+02;4.98655901e+01;7.63691255e+02;1.46391730e+02;9.30273686e+02;-3.34682263e+02;2.78620915e+03;4.18211242e+00;6.17573714e+02;4.42890270e+03;2.94376174e+04;1.11511536e+03;1.55930798e+05;-2.68980698e+03;2.89739699e+05;4.83358979e+03;2.02552245e+05;-1.19627563e+01;2.30696740e+01;5.20049265e+01;2.51932737e+02;-1.11849721e+02;9.99555904e+02;1.22418877e+02;2.04037173e+03;4.25197943e+01;2.33945248e+03;2.62546444e+01;3.27262342e+03;6.42676520e+01;5.10965219e+03;7.73234764e+01;7.46008110e+03;-2.13098395e+01;6.15779611e+03;7.83512552e+01;2.58199603e+03;-1.98523872e+01;5.89943676e+02;;;;;;;;;;;;;;;;;;;;
