degree;B1;B2;A0;A0_err;A1;A1_err;A2;A2_err;A3;A3_err;A4;A4_err;A5;A5_err;A6;A6_err;A7;A7_err;A8;A8_err;A9;A9_err;A10;A10_err;A11;A11_err;A12;A12_err;A13;A13_err;A14;A14_err;A15;A15_err;A16;A16_err;A17;A17_err;A18;A18_err;A19;A19_err;A20;A20_err;A21;A21_err;A22;A22_err;A23;A23_err;A24;A24_err;A25;A25_err;A26;A26_err;A27;A27_err;A28;A28_err;A29;A29_err;A30;A30_err
5;6.52067920e+00;8.90043160e+00;1.68744257e+01;2.04274581e-04;1.11822609e+01;8.29202341e-04;-4.16092019e+00;1.34029655e-03;2.63728346e-01;3.34876942e-03;2.10624690e+00;1.54475569e-03;-1.11748706e+00;2.99808569e-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;6.52067920e+00;8.90043160e+00;1.68891366e+01;2.37085507e-04;1.11727486e+01;8.32847323e-04;-4.47873216e+00;2.92493611e-03;3.00188560e-01;3.36203605e-03;3.07920564e+00;8.10756472e-03;-1.14694587e+00;3.00776322e-03;-7.21022167e-01;5.89813801e-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;6.52067920e+00;8.90043160e+00;1.68869794e+01;2.37574856e-04;1.10404062e+01;1.25210323e-03;-4.45306393e+00;2.93055086e-03;1.52020509e+00;9.25146741e-03;3.02728293e+00;8.11585648e-03;-3.86366524e+00;1.94268469e-02;-6.90426588e-01;5.90209707e-03;1.68874010e+00;1.19303116e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;6.52067920e+00;8.90043160e+00;1.68827336e+01;2.65076657e-04;1.10443229e+01;1.25679322e-03;-4.29458166e+00;5.27723100e-03;1.49597269e+00;9.27577767e-03;2.13112530e+00;2.61100664e-02;-3.82728011e+00;1.94529627e-02;8.87842299e-01;4.41026813e-02;1.67225691e+00;1.19390404e-02;-8.51683636e-01;2.35851275e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;6.52067920e+00;8.90043160e+00;1.68822719e+01;2.66171174e-04;1.10213481e+01;1.73748876e-03;-4.28077618e+00;5.32625067e-03;1.83762325e+00;2.01079838e-02;2.06384435e+00;2.63454095e-02;-5.17779087e+00;7.31564403e-02;9.90997319e-01;4.44304502e-02;3.61930920e+00;1.02372272e-01;-9.01621885e-01;2.37288534e-02;-9.23508985e-01;4.82250032e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;6.52067920e+00;8.90043160e+00;1.68801306e+01;2.91529795e-04;1.10222907e+01;1.73828467e-03;-4.15723717e+00;8.68590604e-03;1.82719906e+00;2.01164762e-02;9.61673064e-01;6.66419562e-02;-5.14173762e+00;7.31845180e-02;4.36131408e+00;1.92384391e-01;3.57339580e+00;1.02405059e-01;-5.04719244e+00;2.31459816e-01;-9.03674582e-01;4.82380985e-02;1.76421036e+00;9.79822195e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;6.52067920e+00;8.90043160e+00;1.68801707e+01;2.91756401e-04;1.10270023e+01;2.19919800e-03;-4.15771446e+00;8.68700026e-03;1.72349885e+00;3.58287452e-02;9.57165461e-01;6.66548270e-02;-4.50630941e+00;1.95856430e-01;4.39101123e+00;1.92573245e-01;2.00271258e+00;4.60587721e-01;-5.09623266e+00;2.31886179e-01;7.77385209e-01;4.83031508e-01;1.78858653e+00;9.82306665e-02;-6.48404455e-01;1.85379799e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;6.52067920e+00;8.90043160e+00;1.68797066e+01;3.14697222e-04;1.10276932e+01;2.20617274e-03;-4.12076502e+00;1.27930091e-02;1.71140863e+00;3.59604597e-02;4.95643165e-01;1.34920830e-01;-4.45410555e+00;1.96307013e-01;6.48054761e+00;5.64943496e-01;1.92256296e+00;4.61041536e-01;-9.34544287e+00;1.10466442e+00;8.20073886e-01;4.83156614e-01;5.75051901e+00;1.01181655e+00;-6.51587457e-01;1.85382755e-01;-1.37880533e+00;3.50463567e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;6.52067920e+00;8.90043160e+00;1.68797396e+01;3.14930407e-04;1.10322805e+01;2.77547641e-03;-4.12209699e+00;1.28021449e-02;1.57291272e+00;6.22739300e-02;5.08397146e-01;1.35000042e-01;-3.27542497e+00;4.75138573e-01;6.43411081e+00;5.65191904e-01;-2.32276843e+00;1.62520099e+00;-9.27802919e+00;1.10492423e+00;8.18940029e+00;2.74802538e+00;5.71480300e+00;1.01188549e+00;-6.75508307e+00;2.24818766e+00;-1.37567441e+00;3.50459898e-01;1.93562523e+00;7.10545724e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;6.52067920e+00;8.90043160e+00;1.68796638e+01;3.34500807e-04;1.10325645e+01;2.80725886e-03;-4.11378864e+00;1.77870893e-02;1.56563145e+00;6.32063612e-02;3.65095011e-01;2.52191595e-01;-3.22118360e+00;4.81934644e-01;7.35095205e+00;1.47554518e+00;-2.50046345e+00;1.64656814e+00;-1.20402849e+01;4.25284465e+00;8.47542663e+00;2.78082889e+00;9.94634919e+00;6.37253570e+00;-6.97685750e+00;2.27233656e+00;-4.56580402e+00;4.75641875e+00;2.00180643e+00;7.17361845e-01;9.39234992e-01;1.39662845e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
