degree;A0;A0_err;A1;A1_err;A2;A2_err;A3;A3_err;A4;A4_err;A5;A5_err;A6;A6_err;A7;A7_err;A8;A8_err;A9;A9_err;A10;A10_err;A11;A11_err;A12;A12_err;A13;A13_err;A14;A14_err;A15;A15_err;A16;A16_err;A17;A17_err;A18;A18_err;A19;A19_err;A20;A20_err;A21;A21_err;A22;A22_err;A23;A23_err;A24;A24_err
5;1.75975286e+04;1.96401371e+02;-1.11331895e+04;1.24171831e+02;2.79880519e+03;3.13601444e+01;-3.49905708e+02;3.95474741e+00;2.17875180e+01;2.49026230e-01;-5.40959127e-01;6.26394060e-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1.19628333e+04;1.48511973e+02;-6.86502983e+03;9.02905646e+01;1.45337246e+03;2.19631603e+01;-1.23990893e+02;2.78861366e+00;4.76048495e-01;2.19280822e-01;5.29932398e-01;1.20976405e-02;-2.23940525e-02;3.30753037e-04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;9.32888753e+04;1.66784440e+03;-6.45553529e+04;1.17756434e+03;1.78901873e+04;3.33781243e+02;-2.43883980e+03;4.66987608e+01;1.48274570e+02;2.94354802e+00;2.40210415e-01;7.48382068e-03;-4.65960085e-01;9.17003558e-03;1.61323851e-02;3.29073772e-04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;6.84752798e+04;1.68988441e+03;-4.26620131e+04;1.17180918e+03;9.62051594e+03;3.31695652e+02;-7.05398561e+02;5.15536150e+01;-6.94819865e+01;5.78838566e+00;1.66314126e+01;5.41346911e-01;-1.15020445e+00;3.10264659e-02;2.83250058e-02;7.35895466e-04;1.70772609e-06;7.82850991e-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1.28511828e+04;5.79124384e+02;-4.33972608e+03;2.57277491e+02;-9.18003182e+00;1.49981264e+01;1.14154380e+02;1.57790524e+01;-3.95813954e+00;3.22217401e+00;8.34645307e-01;5.62430722e-01;-8.87099436e-01;1.20258641e-01;1.62516736e-01;1.31176164e-02;-1.17250241e-02;7.07061257e-04;3.07918247e-04;1.53508606e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;6.27773631e+04;3.09089698e+03;-4.01732786e+04;2.07589546e+03;9.70838142e+03;5.16966186e+02;-9.83334141e+02;5.09615100e+01;2.04091009e+01;1.16440190e+00;-1.89438336e+00;1.34766596e-01;1.85267315e+00;8.95304439e-02;-3.36495292e-01;1.35340275e-02;2.92268467e-02;8.68744398e-04;-1.33439991e-03;3.56249859e-05;2.60844668e-05;9.29991502e-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;9.24784849e+04;3.16312015e+03;-4.77834353e+04;2.11995216e+03;5.88166018e+03;5.61572013e+02;9.24621395e+02;7.73837578e+01;-2.62611217e+02;6.56154879e+00;8.81064297e+00;3.46891756e-01;1.87507662e+00;4.95928292e-02;1.84775625e-02;5.89204847e-04;-4.26350318e-02;7.01823914e-04;4.21296695e-03;6.05661839e-05;-1.58229465e-04;2.26103606e-06;1.90616906e-06;6.12420222e-08;;;;;;;;;;;;;;;;;;;;;;;;;;
12;5.19630217e+05;2.15821610e+03;-2.18983091e+05;8.30289070e+02;-7.92982610e+00;2.31575241e-01;9.88394450e+03;3.02535627e+01;-4.42583403e+00;6.09457351e-02;-4.84546903e+02;1.15214903e+00;5.97970537e+01;1.25797874e-01;3.24525143e-01;7.98595704e-04;1.08090786e-01;2.61281720e-04;-1.57400264e-01;1.27121603e-04;2.27213302e-02;1.84801993e-05;-1.32037204e-03;1.28230680e-06;2.86590618e-05;3.58513943e-08;;;;;;;;;;;;;;;;;;;;;;;;
13;8.17096245e+05;5.49875564e+02;2.62100122e+02;1.36211386e+01;-1.68954100e+05;1.01688402e+02;3.50637818e+04;2.09654005e+01;1.35215789e+02;3.07342471e-01;1.49737483e+02;3.30558592e-01;-2.29826127e+02;1.24257420e-01;2.73233569e+01;1.80714534e-02;-2.82586062e-01;2.30413031e-04;5.40900578e-01;2.84304757e-04;-1.91808099e-01;4.17206230e-05;2.34007423e-02;3.62523447e-06;-1.28632236e-03;2.03344705e-07;2.72968290e-05;5.06513275e-09;;;;;;;;;;;;;;;;;;;;;;
14;2.69364210e+06;4.59922543e+03;-3.93500581e+05;2.50094213e+03;-1.31719055e+05;3.94162406e+02;-8.98719049e+02;3.19522292e+00;9.34907823e+02;2.14695227e+00;1.71829506e+03;2.02788857e+00;5.21866528e+02;3.82926501e-01;-3.23433196e+02;4.34285674e-02;4.07129370e+01;3.37684024e-03;-1.91629959e-01;1.42851477e-05;2.54798278e-02;1.78970806e-06;-8.99830318e-02;3.03065343e-06;1.40061885e-02;3.20413329e-07;-8.50016579e-04;1.41244166e-08;1.90443822e-05;3.49541680e-10;;;;;;;;;;;;;;;;;;;;
15;-4.51440434e+06;3.12699586e+03;4.89839765e+06;1.28768583e+03;1.62789306e+03;1.77687006e+00;-5.93417925e+05;6.85704317e+01;1.02199850e+05;9.70529810e+00;5.97221145e+02;7.95720661e-02;-2.29057063e+03;1.84118286e-01;1.25625893e+03;4.50117816e-02;-3.35075048e+02;4.60457758e-03;2.86453931e+01;3.16856664e-04;3.63187934e-01;3.63104325e-06;3.93685035e-01;3.26223654e-06;-1.67021249e-01;5.33372641e-07;2.09606262e-02;5.26811794e-08;-1.16333862e-03;2.98010093e-09;2.48058506e-05;7.50264994e-11;;;;;;;;;;;;;;;;;;
16;-2.32671045e+07;6.01724581e+03;1.91860998e+07;2.53809077e+03;-2.33352249e+05;1.15385405e+02;-1.95651402e+06;1.20244287e+02;3.41735010e+05;1.64587403e+01;1.57662304e+03;8.92368974e-02;-1.08251648e+03;3.96113807e-02;-8.60036434e+02;2.03123348e-02;6.81620569e+01;1.26083474e-03;7.05348482e+01;6.26379555e-04;-2.16321331e+01;7.76529056e-05;3.13574612e-01;9.72279638e-07;9.38639816e-01;9.47763449e-07;-2.02950003e-01;1.21023405e-07;1.97801830e-02;7.18372074e-09;-9.60535321e-04;2.42855046e-10;1.88910566e-05;7.07077487e-12;;;;;;;;;;;;;;;;
