PARAMETER,VALUE,UNIT,COMMENT
Function_Type,Polynomial N-th degree,-,Model type
X_Transformation,x = R (Raw Resistance),-,Representation
,,,
--- LIMITS ---,-,-,-
T_LIMIT_LOW,9.6214,K,Min temperature
T_LIMIT_HIGH,25.1382,K,Max temperature
R_MIN,7.055259960000e+00,Ohm,Min resistance
R_MAX,8.900431590000e+00,Ohm,Max resistance
--- DIAGNOSTICS ---,-,-,-
POLYNOMIAL_DEGREE,11,-,Polynomial degree
REDUCED_CHI_SQUARED,0.2164,-,-
AIC,-1029.1222,-,-
BIC,-1002.1402,-,-
--- MODEL ---,-,-,-
A0,+9.247848492272e+04,3.163120e+03,Coefficient
A1,-4.778343528439e+04,2.119952e+03,Coefficient
A2,+5.881660177321e+03,5.615720e+02,Coefficient
A3,+9.246213946888e+02,7.738376e+01,Coefficient
A4,-2.626112170224e+02,6.561549e+00,Coefficient
A5,+8.810642970063e+00,3.468918e-01,Coefficient
A6,+1.875076620083e+00,4.959283e-02,Coefficient
A7,+1.847756248367e-02,5.892048e-04,Coefficient
A8,-4.263503176183e-02,7.018239e-04,Coefficient
A9,+4.212966945986e-03,6.056618e-05,Coefficient
A10,-1.582294653305e-04,2.261036e-06,Coefficient
A11,+1.906169063238e-06,6.124202e-08,Coefficient
