Segment;T_measured_K;R_measured_Ohm;T_fitted_K;Residual_K;Residual_mK
1;9.62138682;7.05525996;9.62121519;0.00017163;0.17163126
1;9.76129423;7.06700903;9.76099962;0.00029461;0.29460710
1;9.99755428;7.08682147;9.99778960;-0.00023532;-0.23532084
1;10.23554159;7.10665091;10.23583381;-0.00029222;-0.29222239
1;10.47847657;7.12674477;10.47778795;0.00068862;0.68861666
1;10.96151238;7.16685962;10.96175539;-0.00024301;-0.24300792
1;10.99268697;7.16937828;10.99214131;0.00054566;0.54566245
1;11.08077123;7.17675242;11.08108312;-0.00031189;-0.31188704
1;11.19392515;7.18611045;11.19388840;0.00003675;0.03674870
1;11.20928810;7.18736434;11.20899641;0.00029169;0.29168692
1;11.44578211;7.20703227;11.44569321;0.00008890;0.08890168
1;11.69099841;7.22753678;11.69171702;-0.00071861;-0.71860629
1;11.92748433;7.24730282;11.92792535;-0.00044102;-0.44101814
1;12.16953555;7.26762142;12.16952933;0.00000622;0.00622236
1;12.40430849;7.28747252;12.40418506;0.00012343;0.12343481
1;12.63944982;7.30747002;12.63899142;0.00045840;0.45840087
1;12.88357579;7.32850224;12.88404438;-0.00046859;-0.46859471
1;13.11651981;7.34862089;13.11645982;0.00005999;0.05999105
1;13.35163335;7.36921547;13.35220100;-0.00056765;-0.56764930
1;13.60313139;7.39138715;13.60338245;-0.00025106;-0.25106478
1;13.84437191;7.41287507;13.84409686;0.00027505;0.27505083
1;14.07419818;7.43362567;14.07390253;0.00029565;0.29565392
1;14.31053579;7.45526347;14.31067162;-0.00013583;-0.13583173
1;14.54376670;7.47687568;14.54417381;-0.00040711;-0.40711377
1;14.77738791;7.49875498;14.77747084;-0.00008293;-0.08292662
2;15.02398856;7.52221989;15.02418833;-0.00019977;-0.19977482
1;15.02398856;7.52221989;15.02418805;-0.00019949;-0.19949449
2;15.25718951;7.54460866;15.25655753;0.00063198;0.63198300
2;15.49137616;7.56752020;15.49096363;0.00041253;0.41253358
2;15.71762159;7.58997414;15.71740025;0.00022134;0.22133928
2;15.95198500;7.61356975;15.95188867;0.00009633;0.09633328
2;16.18559210;7.63743830;16.18553323;0.00005887;0.05887330
2;16.41680412;7.66147850;16.41730152;-0.00049740;-0.49740071
2;16.64774224;7.68573118;16.64756598;0.00017626;0.17625979
2;16.87871908;7.71044563;16.87861514;0.00010394;0.10394165
2;17.11103566;7.73562270;17.11033125;0.00070441;0.70440662
2;17.34484396;7.76144381;17.34422682;0.00061714;0.61713821
2;17.34499919;7.76155500;17.34522594;-0.00022675;-0.22674906
2;17.57658350;7.78750828;17.57657108;0.00001242;0.01242103
2;17.80648535;7.81378231;17.80706286;-0.00057751;-0.57750639
2;18.03792209;7.84054394;18.03809644;-0.00017435;-0.17435165
2;18.27117449;7.86787369;18.27025502;0.00091947;0.91946802
2;18.50473283;7.89590356;18.50451337;0.00021946;0.21946106
2;18.74087642;7.92470814;18.74131600;-0.00043958;-0.43958116
2;18.97831863;7.95404604;18.97854404;-0.00022541;-0.22541175
2;19.21677609;7.98404664;19.21714201;-0.00036592;-0.36591778
2;19.45548579;8.01446677;19.45510536;0.00038043;0.38043057
2;19.69390104;8.04549735;19.69387519;0.00002585;0.02584594
2;19.93150366;8.07700848;19.93239444;-0.00089078;-0.89078192
2;20.16915300;8.10882062;20.16930946;-0.00015646;-0.15645660
2;20.40957443;8.14162328;20.40967308;-0.00009865;-0.09864915
2;20.66085503;8.17640993;20.66038855;0.00046648;0.46648277
2;20.90927767;8.21152070;20.90924605;0.00003162;0.03162181
2;21.15245701;8.24639809;21.15244584;0.00001117;0.01116842
2;21.38921847;8.28090705;21.38930429;-0.00008582;-0.08582379
2;21.64419058;8.31867003;21.64436812;-0.00017754;-0.17753535
2;21.89999583;8.35716802;21.90013331;-0.00013748;-0.13747849
2;22.14616110;8.39481658;22.14626203;-0.00010093;-0.10092662
2;22.40628329;8.43523299;22.40627192;0.00001137;0.01136993
2;22.40684497;8.43525853;22.40643488;0.00041009;0.41009199
2;22.65763891;8.47496024;22.65777218;-0.00013327;-0.13327202
2;22.90477955;8.51457125;22.90468282;0.00009673;0.09673423
2;23.14101691;8.55303197;23.14089477;0.00012214;0.12213891
2;23.39808984;8.59554899;23.39814728;-0.00005744;-0.05743893
2;23.63408563;8.63510683;23.63400164;0.00008399;0.08399498
2;23.88889990;8.67847165;23.88885728;0.00004262;0.04261823
2;24.14073100;8.72198211;24.14085032;-0.00011932;-0.11932255
2;24.39515219;8.76653162;24.39515861;-0.00000642;-0.00641518
2;24.63927590;8.80988921;24.63918254;0.00009336;0.09336104
2;24.89682019;8.85634674;24.89691511;-0.00009492;-0.09492262
2;25.13817990;8.90043159;25.13789688;0.00028302;0.28302415
