complexity_level;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
5;6;0.9999999805663182;3.003807425443234;0.08582306929837812;-633.9438753852767;-623.6624429850508;3.4446868699504827;1.0451822390464827;0.011669291782364866;1.613693382831314;4.299662634609911;0.5071264842311617
6;7;0.9999999827147051;2.8006043626581403;0.08237071654876883;-636.7470912361684;-624.7520867692383;3.2868516261556455;1.0079054514804398;0.010581185432211981;1.7858150021721868;9.339352493698803;0.15537330311640163
7;8;0.9999999830934024;2.760935080221954;0.08366469940066527;-635.6553312595742;-621.9467547259397;3.288157459011588;1.001274901462068;0.010404949237649674;1.8163024839424156;9.1790453442958;0.24005572684132842
8;9;0.9999999833720066;2.715207953507185;0.08485024854709954;-634.3365999645542;-618.9144513642154;3.287160623592164;0.9910956759782152;0.010231461258737085;1.837027693850665;8.573788349271643;0.37951500863601184
9;10;0.9999999833304054;2.667583580540062;0.0860510832432278;-632.2341510978356;-615.0984304307925;3.2998661733706287;0.9662828284469072;0.010486944003492482;1.8316982328684255;7.231896340724363;0.6129896101239036
10;11;0.9999999831473777;2.7200838052117504;0.09066946017372501;-629.7864355114598;-610.9371427777124;3.2986669865125875;0.9914272570554772;0.010297400070118812;1.8171051653236219;7.499691777356659;0.6775774996822416
11;12;0.9999999053389055;10.930243186588346;0.37690493746856363;-557.0287660299728;-536.465901229521;3.2896973634924804;2.653489741600623;0.025192960454990754;0.9010849246614934;27.684753064119302;0.003617190363758192
12;13;0.9999977043552446;235.92748421405756;8.425981579073484;-424.3016626762283;-402.0252258090723;3.2742300471464674;16.0711498984476;0.12481451370552676;0.7953610464026283;33.164384947091584;0.0009124500532393314
13;14;0.9998965545531253;10799.40246132373;399.97786893791596;-266.1724061411429;-242.1823972072826;3.232152200644756;102.35121099055888;0.8733205184510631;0.7662804874261296;32.858758106339025;0.0017891618174643753
14;15;0.9980525527131405;201272.20137828612;7741.238514549466;-143.82796302582477;-118.12438202526016;3.150536549395607;459.1575461755149;3.748252435598541;0.7968335818662179;33.61702282185981;0.0023453248668524563
15;16;0.5418951795215072;47293397.69041245;1891735.907616498;82.05575925792918;109.47291232519811;3.0075986186698165;7174.355534961318;57.28741691737325;0.816555678181375;34.139984000115014;0.003254541000267458
