degree;A0;A0_err;A1;A1_err;A2;A2_err;A3;A3_err;A4;A4_err;A5;A5_err;A6;A6_err;A7;A7_err;A8;A8_err;A9;A9_err;A10;A10_err;A11;A11_err;A12;A12_err;A13;A13_err;A14;A14_err;A15;A15_err;A16;A16_err
5;-3.94811896e+02;9.52746040e+02;-1.15820691e+01;5.83101316e+02;5.17451012e+01;1.42645983e+02;-1.09838229e+01;1.74354852e+01;9.01170334e-01;1.06479994e+00;-2.66220678e-02;2.59927462e-02;;;;;;;;;;;;;;;;;;;;;;
6;-4.91251231e+02;1.04108123e+03;4.73838920e+01;6.37324882e+02;3.73264502e+01;1.55965784e+02;-9.22032077e+00;1.90743683e+01;7.93107740e-01;1.16620812e+00;-2.39462272e-02;2.85688599e-02;-1.77518967e-06;1.74517868e-05;;;;;;;;;;;;;;;;;;;;
7;1.75004274e+03;3.84990926e+03;-1.37135653e+03;2.47578860e+03;3.73736624e+02;6.06498774e+02;-4.01980969e+01;6.18699760e+01;-1.48258360e-02;4.06150368e-02;3.71890542e-01;5.60039372e-01;-2.98020228e-02;4.57151949e-02;7.57919523e-04;1.20037052e-03;;;;;;;;;;;;;;;;;;
8;3.64039184e+03;4.68784453e+03;-1.90419114e+03;2.59591850e+03;2.58644176e+02;5.06807530e+02;1.75994588e+01;4.79485432e+01;-5.05832873e+00;7.00145588e+00;-3.19257308e-01;7.45974525e-01;1.34395635e-01;9.68663542e-02;-1.09540593e-02;7.52622104e-03;2.96234215e-04;2.07801499e-04;;;;;;;;;;;;;;;;
9;2.23780871e+03;2.57572959e+03;-8.19207430e+02;8.50035826e+02;-5.76748288e+00;4.70009589e+01;2.64111318e+01;2.87081947e+01;-8.73902394e-02;3.56565750e-01;-5.66224354e-01;5.99477748e-01;-8.47073349e-03;1.88331315e-02;1.40574674e-02;1.26059755e-02;-1.33778875e-03;1.20990758e-03;3.93247562e-05;3.55746477e-05;;;;;;;;;;;;;;
10;-7.52723679e+03;9.57958342e+03;4.10349364e+03;6.30912798e+03;-8.49813060e+02;1.66979232e+03;1.12503590e+02;2.28964343e+02;-1.74454776e+01;1.77850179e+01;1.98976496e-01;1.93283196e-01;1.01518622e+00;2.34398981e-01;-2.51118727e-01;2.86873074e-02;2.74252435e-02;1.39844078e-03;-1.46666981e-03;5.96222995e-05;3.13711012e-05;2.08087481e-06;;;;;;;;;;;;
11;-1.71942449e+04;7.72100604e+02;-1.74328296e+00;5.26171732e+00;2.28750009e+03;9.73745849e+01;-7.82510116e+01;2.76298230e+01;-1.42255957e+02;9.78193826e+00;2.00747201e+01;1.38878925e+00;3.00362532e-02;2.58461885e-03;2.44777823e-01;2.54814759e-02;-1.25823410e-01;3.82879572e-03;1.74442206e-02;2.86697108e-04;-1.04141178e-03;1.20632041e-05;2.35629443e-05;2.52507177e-07;;;;;;;;;;
12;8.04231926e+04;6.20401730e+03;-5.97459445e+04;2.70965664e+03;-2.36539659e+03;3.70342297e+02;4.99233287e+03;1.25032427e+02;6.03535837e+02;2.09434683e+01;-5.57061126e+02;2.95154600e+00;7.53215045e+01;2.67146573e-01;-1.75025193e-01;4.91105541e-04;-5.10266981e-02;1.46722333e-04;-1.69384134e-01;2.54716973e-04;2.86096082e-02;2.90751272e-05;-1.82129016e-03;1.43654892e-06;4.23812136e-05;3.64196232e-08;;;;;;;;
13;3.77000389e+05;1.22990530e+04;-2.93175678e+05;5.95608221e+03;2.73161884e+04;8.48990892e+02;-1.42269918e+03;3.41239126e+01;7.92217141e+02;1.67080239e+01;2.50404886e+03;4.49632000e+00;-1.11609157e+03;5.40419753e-01;1.49315365e+02;3.25588305e-02;6.00905324e-01;9.67553254e-05;-1.43187873e+00;1.87045415e-04;-1.40059198e-02;2.69204826e-06;2.23730222e-02;2.23632968e-06;-1.83406626e-03;1.98393792e-07;4.74478241e-05;6.01816931e-09;;;;;;
14;3.62667250e+06;1.05150144e+04;-1.62871193e+06;4.73221002e+03;1.78121881e+05;5.91556028e+02;-1.35616755e+01;4.73606133e-02;5.78578278e+02;2.12055649e+00;-2.35567759e+01;9.16511854e-02;1.80535853e+02;2.71168012e-01;-4.81050209e+01;4.98851313e-02;-9.93397692e+00;4.89613304e-03;3.36505576e+00;4.76415969e-04;9.77850157e-02;2.03343800e-05;-1.21364365e-01;7.00703979e-06;1.64417951e-02;6.90704412e-07;-9.41764747e-04;2.94172320e-08;2.05475115e-05;6.27126427e-10;;;;
