SECTION,PARAMETER,VALUE,UNIT,COMMENT
METADATA,Function_Type,Polynomial N-th degree,-,Type
METADATA,Num_Segments,2,-,Segments
METADATA,X_Transformation,x = R (Raw Resistance),-,Data
,
SEGMENT_1,--- LIMITS ---,-,-,-
SEGMENT_1,T_LIMIT_LOW,9.6214,K,Min temperature
SEGMENT_1,T_LIMIT_HIGH,15.0240,K,Max temperature
SEGMENT_1,R_MIN,7.055259960000e+00,Ohm,Min resistance
SEGMENT_1,R_MAX,7.522219890000e+00,Ohm,Max resistance
SEGMENT_1,--- DIAGNOSTICS ---,-,-,-
SEGMENT_1,POLYNOMIAL_DEGREE,5,-,Polynomial degree
SEGMENT_1,REDUCED_CHI_SQUARED,0.0713,-,-
SEGMENT_1,AIC,-401.5237,-,-
SEGMENT_1,BIC,-394.7118,-,-
SEGMENT_1,--- MODEL ---,-,-,-
SEGMENT_1,A0,+1.274101367394e+04,0.000000e+00,Coefficient
SEGMENT_1,A1,-6.786995880002e+03,0.000000e+00,Coefficient
SEGMENT_1,A2,+1.340755338487e+03,0.000000e+00,Coefficient
SEGMENT_1,A3,-1.152044397926e+02,0.000000e+00,Coefficient
SEGMENT_1,A4,+3.429347629207e+00,0.000000e+00,Coefficient
SEGMENT_1,A5,+2.148971847865e-02,0.000000e+00,Coefficient
,
SEGMENT_2,--- LIMITS ---,-,-,-
SEGMENT_2,T_LIMIT_LOW,15.0240,K,Min temperature
SEGMENT_2,T_LIMIT_HIGH,25.1382,K,Max temperature
SEGMENT_2,R_MIN,7.522219890000e+00,Ohm,Min resistance
SEGMENT_2,R_MAX,8.900431590000e+00,Ohm,Max resistance
SEGMENT_2,--- DIAGNOSTICS ---,-,-,-
SEGMENT_2,POLYNOMIAL_DEGREE,8,-,Polynomial degree
SEGMENT_2,REDUCED_CHI_SQUARED,0.0878,-,-
SEGMENT_2,AIC,-701.5148,-,-
SEGMENT_2,BIC,-679.2135,-,-
SEGMENT_2,--- MODEL ---,-,-,-
SEGMENT_2,A0,-1.335446540939e+06,0.000000e+00,Coefficient
SEGMENT_2,A1,+1.349056209583e+06,0.000000e+00,Coefficient
SEGMENT_2,A2,-5.950741307949e+05,0.000000e+00,Coefficient
SEGMENT_2,A3,+1.497001983430e+05,0.000000e+00,Coefficient
SEGMENT_2,A4,-2.349165516434e+04,0.000000e+00,Coefficient
SEGMENT_2,A5,+2.354886774272e+03,0.000000e+00,Coefficient
SEGMENT_2,A6,-1.472728502534e+02,0.000000e+00,Coefficient
SEGMENT_2,A7,+5.253959709206e+00,0.000000e+00,Coefficient
SEGMENT_2,A8,-8.186753365243e-02,0.000000e+00,Coefficient
