PARAMETER,VALUE,UNIT,COMMENT
Function_Type,Polynomial N-th degree,-,Model type
X_Transformation,x = R (Raw Resistance),-,Representation
,,,
--- LIMITS ---,-,-,-
T_LIMIT_LOW,5.9679,K,Min temperature
T_LIMIT_HIGH,24.5561,K,Max temperature
R_MIN,7.512127225000e+00,Ohm,Min resistance
R_MAX,9.664139352000e+00,Ohm,Max resistance
--- DIAGNOSTICS ---,-,-,-
POLYNOMIAL_DEGREE,10,-,Polynomial degree
REDUCED_CHI_SQUARED,9250.9758,-,-
AIC,-358.7183,-,-
BIC,-342.5952,-,-
--- MODEL ---,-,-,-
A0,-1.209454057630e+05,9.563523e+01,Coefficient
A1,+5.604100478875e+04,5.788093e+01,Coefficient
A2,-6.185109021736e+03,1.330956e+01,Coefficient
A3,-4.615557961745e+02,1.340234e+00,Coefficient
A4,-8.235933215705e+00,2.067748e-02,Coefficient
A5,+3.985739421046e+01,1.937321e-02,Coefficient
A6,-4.282639480796e+00,2.788401e-03,Coefficient
A7,-2.871858820726e-01,2.634339e-04,Coefficient
A8,+7.970393847371e-02,3.210125e-05,Coefficient
A9,-5.284295077587e-03,1.999246e-06,Coefficient
A10,+1.205648598669e-04,4.584921e-08,Coefficient
