Segment;T_measured_K;R_measured_Ohm;T_fitted_K;Residual_K;Residual_mK
1;5.96789890;7.51212723;5.96784069;0.00005821;0.05821214
1;6.22531403;7.54332694;6.22560133;-0.00028730;-0.28730348
1;7.06042973;7.63906445;7.06056008;-0.00013035;-0.13035049
1;7.36273480;7.67191063;7.36267452;0.00006028;0.06027951
1;7.67817172;7.70533037;7.67818596;-0.00001424;-0.01424140
1;8.35055610;7.77390775;8.35020229;0.00035381;0.35381224
1;8.70787195;7.80917295;8.70777265;0.00009931;0.09930848
1;9.46734793;7.88189426;9.46745082;-0.00010290;-0.10289690
1;9.87096395;7.91956112;9.87089203;0.00007193;0.07192891
1;11.19052840;8.03999572;11.19032887;0.00019953;0.19952738
1;11.66810159;8.08312602;11.66802729;0.00007430;0.07429782
1;12.68741326;8.17555856;12.68776907;-0.00035581;-0.35581408
1;13.80353481;8.27889728;13.80363652;-0.00010171;-0.10170871
1;14.09959865;8.30690621;14.09931188;0.00028677;0.28677264
1;15.48254601;8.44239094;15.48234916;0.00019685;0.19684554
2;15.48254601;8.44239094;15.48234993;0.00019608;0.19607981
2;15.93546712;8.48875317;15.93555978;-0.00009266;-0.09265648
2;16.40192588;8.53772791;16.40216563;-0.00023975;-0.23974639
2;17.00157265;8.60259020;17.00147478;0.00009787;0.09787272
2;17.37562651;8.64422676;17.37531343;0.00031308;0.31308319
2;17.88324557;8.70227233;17.88279338;0.00045219;0.45219033
2;18.40655544;8.76410350;18.40649297;0.00006247;0.06246713
2;18.94641089;8.83000708;18.94641135;-0.00000046;-0.00046250
2;19.49959723;8.89990168;19.49952619;0.00007104;0.07103729
2;20.06754425;8.97432888;20.06779112;-0.00024687;-0.24687313
2;20.39511508;9.01846295;20.39525914;-0.00014406;-0.14405995
2;21.25989483;9.13946881;21.25962084;0.00027399;0.27398774
2;21.88153048;9.23070544;21.88168114;-0.00015066;-0.15065941
2;22.52192840;9.32829848;22.52183036;0.00009804;0.09803936
2;22.52311074;9.32843015;22.52267755;0.00043319;0.43318548
2;23.18110764;9.43282183;23.18130211;-0.00019447;-0.19447305
2;23.85923618;9.54459079;23.85936119;-0.00012501;-0.12501357
2;24.55611239;9.66413935;24.55591571;0.00019668;0.19668261
