SECTION,PARAMETER,VALUE,UNIT,COMMENT
METADATA,Function_Type,Polynomial N-th degree,-,Type
METADATA,Num_Segments,2,-,Segments
METADATA,X_Transformation,x = R (Raw Resistance),-,Data
,
SEGMENT_1,--- LIMITS ---,-,-,-
SEGMENT_1,T_LIMIT_LOW,5.9679,K,Min temperature
SEGMENT_1,T_LIMIT_HIGH,15.4825,K,Max temperature
SEGMENT_1,R_MIN,7.512127225000e+00,Ohm,Min resistance
SEGMENT_1,R_MAX,8.442390938000e+00,Ohm,Max resistance
SEGMENT_1,--- DIAGNOSTICS ---,-,-,-
SEGMENT_1,POLYNOMIAL_DEGREE,6,-,Polynomial degree
SEGMENT_1,REDUCED_CHI_SQUARED,37.5084,-,-
SEGMENT_1,AIC,-242.5284,-,-
SEGMENT_1,BIC,-224.5825,-,-
SEGMENT_1,--- MODEL ---,-,-,-
SEGMENT_1,A0,+2.395035708083e+05,0.000000e+00,Coefficient
SEGMENT_1,A1,-1.929318216718e+05,0.000000e+00,Coefficient
SEGMENT_1,A2,+6.450315429256e+04,0.000000e+00,Coefficient
SEGMENT_1,A3,-1.145828224170e+04,0.000000e+00,Coefficient
SEGMENT_1,A4,+1.140742613052e+03,0.000000e+00,Coefficient
SEGMENT_1,A5,-6.035222251942e+01,0.000000e+00,Coefficient
SEGMENT_1,A6,+1.325760912816e+00,0.000000e+00,Coefficient
,
SEGMENT_2,--- LIMITS ---,-,-,-
SEGMENT_2,T_LIMIT_LOW,15.4825,K,Min temperature
SEGMENT_2,T_LIMIT_HIGH,24.5561,K,Max temperature
SEGMENT_2,R_MIN,8.442390938000e+00,Ohm,Min resistance
SEGMENT_2,R_MAX,9.664139352000e+00,Ohm,Max resistance
SEGMENT_2,--- DIAGNOSTICS ---,-,-,-
SEGMENT_2,POLYNOMIAL_DEGREE,5,-,Polynomial degree
SEGMENT_2,REDUCED_CHI_SQUARED,53.8694,-,-
SEGMENT_2,AIC,-290.7148,-,-
SEGMENT_2,BIC,-283.7594,-,-
SEGMENT_2,--- MODEL ---,-,-,-
SEGMENT_2,A0,+4.894593834099e+03,0.000000e+00,Coefficient
SEGMENT_2,A1,-2.916168366652e+03,0.000000e+00,Coefficient
SEGMENT_2,A2,+6.787991784253e+02,0.000000e+00,Coefficient
SEGMENT_2,A3,-7.767771263181e+01,0.000000e+00,Coefficient
SEGMENT_2,A4,+4.397139163396e+00,0.000000e+00,Coefficient
SEGMENT_2,A5,-9.880151111166e-02,0.000000e+00,Coefficient
