n;m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;2;5;0.999979;14647320.366239;542493.346898;-222.981247;-215.652567;3.620293;70.129244;0.690417;0.362634;7.080776;0.029002
2;3;6;0.999998;1380933.657792;53112.832992;-296.223444;-287.429028;3.620293;19.776036;0.212881;0.528609;9.285620;0.009631
2;4;7;1.000000;259441.079137;10377.643165;-350.047294;-339.787143;3.620293;9.018554;0.088702;0.717066;10.322850;0.005734
2;5;8;1.000000;89102.829467;3712.617894;-384.133643;-372.407755;3.620293;5.981355;0.048227;0.752980;11.107283;0.003873
2;6;9;1.000000;44322.319656;1927.057376;-401.832878;-388.641255;3.620293;5.062643;0.033668;0.691827;11.057638;0.003971
2;7;10;1.000000;9333.732718;424.260578;-449.393088;-434.735729;3.620293;1.476265;0.017335;1.285628;11.447948;0.003267
2;8;11;1.000000;371.925648;17.710745;-545.677643;-529.554548;3.620293;0.403527;0.003005;2.183085;0.547027;0.760702
2;9;12;1.000000;370.402017;18.520101;-543.153037;-525.564206;3.620293;0.416232;0.003013;2.177479;0.431788;0.805821
3;2;6;0.999999;546890.744327;21034.259397;-326.174796;-317.380381;3.028187;14.488703;0.134162;0.516798;12.580970;0.005636
3;3;7;1.000000;5590.624041;223.624962;-455.807707;-445.547555;3.028187;1.402719;0.016156;0.833927;11.657314;0.008654
3;4;8;1.000000;2483.450448;103.477102;-480.220562;-468.494675;3.028187;1.001530;0.010661;1.085682;9.015500;0.029086
3;5;9;1.000000;596.345314;25.928057;-528.638996;-515.447373;3.028187;0.570081;0.004668;1.862044;4.997157;0.172005
3;6;10;0.999998;1128638.001336;51301.727333;-294.228883;-279.571524;3.028187;16.570088;0.193208;0.856001;12.630000;0.005509
3;7;11;1.000000;429.238930;20.439949;-537.490400;-521.367305;3.028187;0.454831;0.003898;2.053165;1.009739;0.798896
3;8;12;1.000000;370.518251;18.525913;-543.264742;-525.675911;3.028187;0.414244;0.003010;2.178153;1.048811;0.789444
4;2;7;1.000000;2804.607920;112.184317;-480.774235;-470.514084;4.607452;1.004785;0.011030;1.106280;10.938155;0.027268
4;3;8;1.000000;2618.141269;109.089220;-478.136093;-466.410205;4.607452;1.034087;0.010985;1.068763;9.288530;0.054279
4;4;9;1.000000;915.170999;39.790043;-520.852950;-507.661326;4.607452;0.477606;0.005232;1.675347;5.628665;0.228649
4;5;10;1.000000;460.224159;20.919280;-543.665833;-529.008474;4.607452;0.410238;0.003772;2.281336;5.465039;0.242820
4;6;11;1.000000;591.535017;28.168334;-524.907294;-508.784199;4.607452;0.568916;0.004572;1.892322;5.780797;0.216127
4;7;12;1.000000;439.499951;21.974998;-539.463504;-521.874673;4.607452;0.423082;0.003684;2.234528;5.483757;0.241161
5;2;8;1.000000;2604.299573;108.512482;-478.135871;-466.409984;3.280485;1.038811;0.010959;1.065522;10.210951;0.069474
5;3;9;1.000000;2582.323713;112.274944;-484.429783;-471.238160;3.280485;1.127076;0.009421;1.195707;18.433675;0.002449
5;4;10;1.000000;457.209555;20.782253;-542.827882;-528.170523;3.280485;0.418555;0.003857;2.242048;5.941503;0.311953
5;5;11;1.000000;457.328950;21.777569;-540.739700;-524.616605;3.280485;0.420130;0.003859;2.240536;5.926721;0.313415
5;6;12;1.000000;1137.608744;56.880437;-498.263132;-480.674301;3.280485;0.952425;0.006738;1.717892;7.203448;0.205944
6;2;9;1.000000;630.910288;27.430882;-527.817962;-514.626339;3.744989;0.569521;0.004726;1.867395;8.631706;0.195374
6;3;10;1.000000;2534.503570;115.204708;-476.020462;-461.363103;3.744989;1.003654;0.010592;1.125670;9.485898;0.148039
6;4;11;1.000000;2476.353440;117.921592;-482.203133;-466.080038;3.744989;1.103469;0.008975;1.241793;19.451302;0.003466
6;5;12;1.000000;437.569048;21.878452;-541.174431;-523.585600;3.744989;0.401743;0.003582;2.355119;6.622853;0.357137
7;2;10;1.000000;447.192762;20.326944;-544.647157;-529.989798;6.522128;0.401765;0.003691;2.284077;6.741141;0.456321
7;3;11;1.000000;398.283354;18.965874;-539.837390;-523.714295;6.522128;0.454958;0.003533;2.010171;5.774493;0.566314
7;4;12;1.000000;471.194695;23.559735;-540.079144;-522.490313;6.522128;0.401779;0.003663;2.320232;7.159699;0.412444
8;2;11;1.000000;425.498446;20.261831;-538.952094;-522.828999;3.905455;0.442490;0.003826;2.096995;7.658082;0.467562
8;3;12;1.000000;447.118297;22.355915;-540.666551;-523.077720;3.905455;0.402969;0.003663;2.287126;9.203560;0.325416
9;2;12;1.000000;374.724490;18.736224;-540.980472;-523.391641;4.029327;0.443446;0.003156;2.143672;10.517451;0.310239
