Segment;T_measured_K;R_measured_Ohm;T_fitted_K;Residual_K;Residual_mK
1;6.22531403;7.54332694;6.22529166;0.00002237;0.02236830
1;7.06042973;7.63906445;7.06051974;-0.00009001;-0.09001434
1;7.36273480;7.67191063;7.36268545;0.00004935;0.04935393
1;7.67817172;7.70533037;7.67820162;-0.00002990;-0.02989993
1;8.35055610;7.77390775;8.35014737;0.00040873;0.40872836
1;8.70787195;7.80917295;8.70768863;0.00018333;0.18332889
1;9.46734793;7.88189426;9.46740889;-0.00006097;-0.06096755
1;9.87096395;7.91956112;9.87092130;0.00004265;0.04264920
1;11.19052840;8.03999572;11.19047959;0.00004881;0.04881425
1;11.66810159;8.08312602;11.66807919;0.00002240;0.02240407
1;12.68741326;8.17555856;12.68746415;-0.00005089;-0.05089417
1;13.80353481;8.27889728;13.80356157;-0.00002676;-0.02675583
1;14.09959865;8.30690621;14.09952788;0.00007077;0.07077190
1;15.48254601;8.44239094;15.48255516;-0.00000915;-0.00914725
2;15.48254601;8.44239094;15.48253886;0.00000715;0.00714658
2;15.93546712;8.48875317;15.93536902;0.00009810;0.09809506
2;16.40192588;8.53772791;16.40199539;-0.00006951;-0.06950644
2;17.00157265;8.60259020;17.00151615;0.00005650;0.05650169
2;17.37562651;8.64422676;17.37546680;0.00015971;0.15971207
2;17.88324557;8.70227233;17.88301002;0.00023555;0.23555158
2;18.40655544;8.76410350;18.40666620;-0.00011076;-0.11075936
2;18.94641089;8.83000708;18.94646866;-0.00005777;-0.05776968
2;19.49959723;8.89990168;19.49945860;0.00013863;0.13863030
2;20.06754425;8.97432888;20.06765390;-0.00010965;-0.10965129
2;20.39511508;9.01846295;20.39512339;-0.00000831;-0.00831437
2;21.25989483;9.13946881;21.25961476;0.00028007;0.28006765
2;21.88153048;9.23070544;21.88178703;-0.00025655;-0.25654634
2;22.52192840;9.32829848;22.52193731;-0.00000891;-0.00891283
2;22.52311074;9.32843015;22.52278439;0.00032635;0.32634676
2;23.18110764;9.43282183;23.18124338;-0.00013574;-0.13574458
2;23.85923618;9.54459079;23.85921648;0.00001970;0.01969535
