n;m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;2;5;1.000000;4970.412957;382.339458;-251.961574;-247.509715;3.467127;2.220209;0.008597;1.049613;6.386876;0.041031
2;3;6;1.000000;378.734284;31.561190;-302.460256;-297.118025;3.467127;0.292777;0.002453;2.736714;4.508536;0.104950
2;4;7;1.000000;366.775225;33.343202;-301.056212;-294.823610;3.467127;0.301474;0.002384;2.684145;3.589276;0.166188
2;5;8;1.000000;394.092313;39.409231;-296.412261;-289.289287;3.467127;0.369141;0.002421;2.392371;0.573182;0.750819
3;2;6;1.000000;369.349029;30.779086;-303.024498;-297.682268;5.484494;0.292629;0.002398;2.718538;4.602092;0.203363
3;3;7;1.000000;368.625254;33.511387;-301.042949;-294.810347;5.484494;0.298620;0.002392;2.699961;4.555878;0.207360
3;4;8;1.000000;323.820737;32.382074;-301.390929;-294.267955;5.484494;0.330588;0.001935;2.510282;4.492324;0.212976
4;2;7;1.000000;368.524165;33.502197;-301.015304;-294.782702;3.698797;0.299598;0.002395;2.691588;4.601380;0.330695
4;3;8;1.000000;367.837389;36.783739;-298.968877;-291.845903;3.698797;0.285038;0.002415;2.750178;4.559842;0.335511
5;2;8;1.000000;832.899451;83.289945;-278.913951;-271.790977;2.255209;0.792337;0.003437;1.311232;9.221838;0.100536
